,0,1,count
0,crew,sample,14
1,crew,conference,952
2,crew,melfi,13
3,crew,sband,729
4,crew,camera,20
5,crew,photography,10
6,crew,removal,106
7,crew,assembly,4
8,crew,temperature,3
9,crew,eva,176
10,crew,item,34
11,crew,wrs,0
12,crew,page,12
13,crew,recovery,0
14,crew,power,24
15,crew,rack,15
16,crew,loop,0
17,crew,closure,11
18,crew,emergency,13
19,crew,hardware,48
20,crew,setup,79
21,crew,camcorder,4
22,crew,edv,0
23,crew,stowage,13
24,crew,ops,20
25,crew,closeout,3
26,crew,radio,3
27,crew,ham,2
28,crew,session,34
29,crew,data,45
30,crew,transfer,57
31,crew,questionnaire,2
32,crew,downlink,15
33,crew,mec,12
34,crew,air,13
35,crew,sm,71
36,crew,sampling,24
37,crew,fan,3
38,crew,cleaning,19
39,crew,maintenance,10
40,crew,сож,1
41,crew,ssc,5
42,crew,support,48
43,crew,cleanup,0
44,crew,cable,5
45,crew,cargo,5
46,crew,file,1
47,crew,comm,25
48,crew,config,33
49,crew,reconfig,13
50,crew,test,53
51,crew,check,46
52,crew,monitoring,27
53,crew,water,2
54,crew,private,12
55,crew,icv,11
56,crew,fgb,13
57,crew,measurements,0
58,crew,lab,18
59,crew,battery,11
60,crew,status,55
61,crew,charge,2
62,crew,payload,14
63,crew,video,48
64,crew,review,33
65,crew,msg,1
66,crew,experiment,38
67,crew,procedure,25
68,crew,inspection,34
69,crew,laptop,4
70,crew,tank,0
71,crew,morning,1
72,crew,soyuz,64
73,crew,unit,3
74,crew,replacement,1
75,crew,bag,16
76,crew,filter,1
77,crew,start,6
78,crew,photo,55
79,crew,regeneration,1
80,crew,cartridge,0
81,crew,бмп,0
82,crew,tagup,213
83,crew,specialists,28
84,crew,activation,14
85,crew,preparation,34
86,crew,installation,66
87,crew,dc1,47
88,crew,node,5
89,crew,equipment,19
90,crew,prep,200
91,crew,return,17
92,crew,stow,55
93,crew,exercise,12
94,crew,physical,6
95,crew,day,12
96,crew,tvis,20
97,crew,ims,5
98,crew,collection,26
99,crew,hrf,8
100,crew,blood,21
