0,1,2,3,4,5,6,7,8,9,10,11,12
GMT,Crew,Activity / ODF or R/G,,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,,
06:10–06:40,,Personal hygiene (post-sleep),,,,,,,,,,
06:40–07:30,,BREAKFAST,,,,,,,,,,
07:30–08:00,,Work prep,,,,,,,,,,
08:00–08:15,,Daily planning conference (morning),,,,,,,,,,
08:15–11:15,"CDR, FE-2",Loading unneeded items into Progress (using IMS) / r/g 936,,,,,,,,,,
08:15–10:30,FE-1,,,,,,,,,,,
10:30–12:00,FE-1,Physical exercise (USOS plan),,,,,,,,,,
11:15–12:15,FE-2,Physical exercise (USOS plan),,,,,,,,,,
11:15–11:35,CDR,"???-4 ""?????? "": photo ops",,,,,,,,,,
11:35–11:50,CDR,"Finish regeneration of ? 1 absorption cartridge in ?? ?  / RODF ? ? ??  ? ? ,item 7.3, pages 7-4, 7-5, steps 2, 3",,,,,,,,,,
11:50–12:50,CDR,LUNCH,,,,,,,,,,
12:00–13:00,FE-1,LUNCH,,,,,,,,,,
12:15–13:15,FE-2,LUNCH,,,,,,,,,,
13:00–13:15,CDR,Candidate activity: ????? ? : observations and photography / r/g 946,,,,,,,,,,
12:50–13:25,CDR,"PAO TV event: conference with the prime minister of Russia (backup window) /RODF ???, pages 2-5, 2-6, item 2.4",,,,,,,,,,
13:10–13:25,FE-1,,,,,,,,,,,
13:15–13:25,FE-2,,,,,,,,,,,
13:10–13:25,CDR,Private family conference (nominal window),,,,,,,,,,
13:25–14:05,FE-2,? ? ?  maintenance / see Note 1,,,,,,,,,,
13:25–14:25,CDR,"Installation of docking mechanism in Progress / RODF ??? ???, item 2.2,page. 2-2",,,,,,,,,,
13:25–14:10,FE-1,,,,,,,,,,,
14:25–15:00,CDR,"PAO TV event: conference with the prime minister of Russia (nominal window) /RODF ???, pages 2-5, 2-6, item 2.4",,,,,,,,,,
14:40–15:00,"FE-1, FE-2",,,,,,,,,,,
14:45–14:55,CDR,Private family conference (backup window),,,,,,,,,,
14:55–16:15,FE-2,OBT SSRMS OPS-SIM,,,,,,,,,,
14:55–15:55,FE-1,,,,,,,,,,,
15:35–15:55,CDR,"Pre-departure activation of Progress and air duct removal / ??, items 5.1, 5.2,page 5-1",,,,,,,,,,
15:55–16:15,"FE-1, CDR","Closing hatches ???-?? and ?? -? ?? / ??, item 5.4, pages 5-2, 5-3, steps 1, 2",,,,,,,,,,
16:15–17:05,"FE-1, CDR","SM/Progress (? ? (?? )-???) interface leak check / ??, item 5.4, page 5-4, step 3",,,,,,,,,,
16:15–17:45,FE-2,Physical exercise (USOS plan),,,,,,,,,,
17:15–18:15,CDR,Physical exercise (cycle-1),,,,,,,,,,
17:15–18:45,FE-1,Physical exercise (USOS plan),,,,,,,,,,
18:15–19:15,CDR,Physical exercise (IRED-1),,,,,,,,,,
18:15–18:45,"FE-1, FE-2",OBT SSRMS TRNG-TAGUP,,,,,,,,,,
18:45–19:00,"FE-1, FE-2",Work prep,,,,,,,,,,
19:00–19:15,"FE-1, FE-2",Review plan for the next day,,,,,,,,,,
19:15–19:30,CDR,"Begin regeneration of ? 2 absorption cartridge in ?? ?  / RODF ? ? ??  ? ? , page7-3, item 7.3, step 1",,,,,,,,,,
19:15–19:30,"FE-1, FE-2",Daily planning conference (evening),,,,,,,,,,
19:30–20:00,,DINNER,,,,,,,,,,
20:00–20:30,"CDR, FE-2",Daily food ration prep,,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,,
