0,1,2,3,4,5
GMT,,CREW,,ACTIVITY,
07:30-07:40,,"ISS-13, CDR-12,SFP",,Morning inspection,
07:30-07:40,,FE-12,,"Morning inspection. Inspection of Circuit Breaker [АЗС] in DC1 FuseBox [БПП] and fuses in DC1 Fuse Boxes БПП-30, БПП-36",
07:40-08:10,,"ISS-13, CDR-12,SFP",,Post-sleep,
07:40-08:00,,FE-12,,,
08:00-08:10,,FE-12,,IMMUNO. Urine collection to Urine Receptacle (termination),
08:10-09:00,,"ISS-13, CDR-12,SFP",,BREAKFAST,
08:10-08:30,,FE-12,,"IMMUNO. Second urine sample collection from Urine receptacles, placingsample in Cryogem-03",
08:30-08:40,,,Post-sleep,,
08:40-09:30,,,BREAKFAST,,
09:00-09:25,,"FE-13, CDR-12",,Work prep,
09:00-09:30,,"SFP, CDR-13",,Work prep,
09:25-09:30,,"FE-13, CDR-12",,Connect DCP power cable,
09:30-09:45,,.,,Daily Planning Conference (S-band),
09:45-11:30,,"CDR-12, FE-13",,Expedition 12-Expedition 13 crew handover,
,,,SFP,,
09:45-10:05,,FE-12,,ИПД air sampling for ammonia. Close-out ops,
09:45-10:00,,CDR-13,,БМП Ф2 Absorption Cartridge regeneration (start),
10:00-10:05,,,KUBIK. KUBIK 1 status check,,
10:05-10:10,,,KUBIK. KUBIK 2 status check,,
10:10-10:30,,"FE-12, CDR-13",,Photo of internal surface of the receiving cone on SM Docking Assembly(-X) and FGB АСП-Б (-Y),
10:30-10:45,,,"Motorola phone charging setup, start charge. Tagup as necessary (S-band)",,
,,,SFP,,
10:45-10:55,,FE-12,,Three-channel gas analyzer activation,
11:00-11:05,,"FE-12, CDR-13",,Motorola phone charging - status check,
,,,SFP,,
11:20-11:25,,"FE-12, CDR-13",,Motorola phone charging - status check,
11:30-11:45,,FE-13,,CMS exercise overview,
11:30-12:30,,CDR-12,,Physical Exercise (TVIS),
11:40-11:45,,"CDR-13,FE-12",,Motorola phone charging - status check,
11:45-11:55,,,"Motorola phone charging - terminate charging, cleanup",,
11:45-12:45,,FE-13,,Physical Exercise (RED),
11:55-12:55,,"FE-12, CDR-13",,Expedition 12 to Expedition 13 crew handover,
,,,SFP,,
,,,,,
,12:30-12:50,,,,SEEDS. Transfer photos to laptop
12:45-13:00,,FE-13,,SLD configuration,
12:50-13:00,,CDR-12,,PAO hardware setup,
12:55-13:55,,FE-12,,"Physical Exercise (TVIS), day 2",
12:55-13:35,,CDR-13,,BIOECOLOGY. Kit 9 removal from BIOECOLOGY kit A03 and transfer toSoyuz,
13:00-13:10,,"FE-13, CDR-12",,Crew prep for PAO,
13:10-13:30,,,Associated Press and ABC News PAO event (Ku + S-band),,
,13:20-13:25,,SFP,,SMEK. Press key 2
13:35-13:50,,CDR-13,,CMS hardware overview,
,13:40-14:00,,SFP,,SMEK. Experiment one deactivation
13:55-14:00,,FE-12,,On MCC Go ISS O2 repress from Progress 355 СрПК (start),
13:55-14:00,,CDR-12,,LAB window shutter closure,
14:00-15:00,,.,,LUNCH,
15:00-15:30,,"CDR-12, ISS13",,Start DOUG software,
