0,1,2,3,4,5,6
GMT,CREW,ACTIVITY,,,,
15:30-15:40,,Morning inspection,,,,
15:40-16:00,FE-1,Post-sleep,,,,
15:40-15:55,FE-2,,,,,
15:40-15:55,CDR,Biochemical urine test,,,,
15:55-16:15,"CDR, FE-2(assistance)",Portable Clinical Blood Analyzer (PCBA) Analysis,,,,
16:00-16:15,FE-1,Biochemical urine test,,,,
16:15-16:30,FE-2,Biochemical urine test,,,,
,"CDR, FE-1",Post-sleep,,,,
16:30-16:50,"FE-2, CDR(assistance)",Portable Clinical Blood Analyzer (PCBA) Analysis,,,,
16:30-16:40,FE-1,Stowing Urolux hardware,,,,
16:40-17:25,BREAKFAST,,,,,
16:50-17:05,"CDR, FE-2",Post-sleep,,,,
17:05-17:55,BREAKFAST,,,,,
17:25-17:55,FE-1,Prep for Work,,,,
17:55-18:10,,Daily Planning Conference (S-band),,,,
18:10-18:30,CDR,Prep for Work,,,,
18:10-18:20,FE-2,,,,,
18:15-18:30,FE-1,Electron Liquid Unit [БЖ] #056 Pressure Check (Elektron-VM),,,,
18:20-19:20,FE-2,VTR Troubleshooting,,,,
18:30-18:50,"CDR, FE-1",24-hour ECG monitoring (start),,,,
18:50-19:20,"FE-1, CDR(assistance)",Periodic Health Status,,,,
19:20-19:50,"CDR, FE-2(assistance)",,,,,
19:20-19:50,FE-1,Crew departure prep,,,,
19:50-20:05,Private Medical Conference (S + Ku-band),,,,,
19:50-20:20,"FE-2, CDR(assistance)",Periodic Health Status,,,,
20:05-20:30,FE-1,"TV PAO “Cosmonautics Day Greetings” / (То= 20:05, Т1, Т2, Т3 from СПП)",,,,
20:20-20:30,"CDR, FE-2",,,,,
20:30-22:00,CDR,Physical Exercise (CEVIS),,,,
20:30-21:00,FE-1,Crew departure prep,,,,
20:30-20:55,FE-2,Periodic Health Status (PHS): data logging,,,,
21:05-22:35,FE-1,"Physical Exercise (TVIS), Day 1",,,,
21:05-21:20,FE-2,On Board Training RPM Conference (S-band),,,,
21:20-22:20,Physical Exercise (RED),,,,,
22:05-22:20,CDR,Private Medical Conference (S + Ku-band),,,,
22:20-22:35,FE-2,,,,,
22:35-23:35,,LUNCH,,,,
GMT,,CREW,,ACTIVITY,,
18:00-18:10,,,,Morning inspection,,
18:10-18:35,,CDR-15,,Post-sleep,,
18:10-18:40,,"ISS-14, FE-1-15,SFPVC",,Post-sleep,,
18:35-18:50,,CDR-15,,RS HAM radio session,,
,18:40-19:00,,SFPVC,,BREAKFAST,
18:40-19:20,,"ISS-14, FE-1-15",,BREAKFAST,,
18:50-19:20,,CDR-15,,,,
,19:00-19:15,,SFPVC,,VC12 HAM radio session with City of Bristow (USA),
,19:15-19:35,,SFPVC,,BREAKFAST,
19:20-19:35,,"ISS-14,CDR-15,FE-1-15",,Daily Planning Conference (S-band),,
19:35-19:45,,"ISS-14,CDR-15,FE-1-15",,BREAKFAST,,
,19:38-19:48,,SFPVC,,Private Conference with Space Adventure using IP-Phone (Ku-band),
19:45-20:15,,"CDR, FE-1-15,CDR-15",,Prep for Work,,
19:45-20:00,,FE-1,,,,
19:45-20:10,,FE-2,,,,
,19:50-20:20,,SFPVC,,Prep for Work,
20:00-20:15,,FE-1,,ИПД air sampling for ammonia in SM,,
20:10-20:20,,FE-2,,ROBOT simulator setup,,
20:15-20:30,,CDR-15,,Verify ИП-1 sensor installation,,
20:15-20:20,,FE-1-15,,Activate and set up Cryogem-03 refrigerator to -22 degrees C,,
20:15-20:30,,CDR,,Private Medical Conference (S-band),,
20:15-20:30,,FE-1,,SM air sampling using АК-1М sampler,,
20:20-20:30,,FE-1-15,,BIOEMULSION. Placing Ice Packs in Cryogem-03,,
20:20-20:30,,FE-2,,PAO hardware setup,,
20:30-20:40,,,,Crew prep for PAO,,
20:40-21:00,,,E14-E15 Handover Ceremony (S + Ku-band),,,
21:00-21:40,,FE-1,,Microbial sample collection,,
21:00-22:40,,CDR-15,,E15 crew familiarization with the ISS,,
,21:10-21:25,,SFPVC,,MATRIX Z1. Preparations and Photo/Video 6,
21:15-22:15,,FE-2,,Physical Exercise (RED),,
21:15-22:15,,FE-1-15,,Physical Exercise (CEVIS),,
,21:30-21:45,,SFPVC,,Earth Photo/Video Ops,
21:40-23:45,,FE-1,,Packing return equipment in Soyuz 219,,
21:45-21:50,,CDR,,ALTEA - deleting data from CNSM laptop,,
21:50-21:55,,,ALTEA - dosimeter deactivation,,,
21:55-22:00,,,ALTEA - dosimeter activation,,,
GMT,CREW,ACTIVITY,,,,
00:00-00:10,.,Morning inspection,,,,
00:10-00:40,.,Post-sleep,,,,
00:40-01:30,.,BREAKFAST,,,,
04:00-07:00,.,Weekly housekeeping,,,,
07:00-07:05,FE-2,Disconnecting DCP cable,,,,
07:00-08:30,CDR,"Physical Exercise (TVIS), day 1",,,,
07:10-07:15,FE-2,ALTEA Recovery - Part 1,,,,
07:30-07:35,FE-2,ALTEA Recovery - Part 1,,,,
08:30-10:00,FE-1,"Physical Exercise (TVIS), day 1",,,,
09:00-10:00,FE-2,Physical Exercise (RED),,,,
10:00-11:00,.,LUNCH,,,,
11:00-11:20,FE-1,Private family conference (S-band),,,,
11:20-11:50,FE-1,СОЖ maintenance,,,,
12:40-13:00,CDR,Private family conference (S-band),,,,
13:00-14:00,CDR,Physical Exercise (VELO+RED) day 1,,,,
13:55-14:55,FE-1,Physical Exercise (VELO+RED) day 1,,,,
13:14-13:29,FE-2,Private Psychological Conference (S-band),,,,
14:20-15:50,FE-2,Physical Exercise (TVIS),,,,
15:30-15:35,CDR,HAM radio session set up,,,,
15:35-15:45,CDR,Ham radio session using PC,,,,
15:50-16:05,FE-2,Private Family Conference (S+Ku-band),,,,
16:55-17:00,FE-2,Transfer TVIS/RED/CEVIS/HRM data to MEC,,,,
17:00-17:30,.,DINNER,,,,
17:30-18:00,.,Daily Food Prep,,,,
18:00-19:00,.,Pre-sleep,,,,
19:00-04:00,.,SLEEP,,,,
GMT,,CREW,,ACTIVITY,,
