0,1,2,3,4,5,6,7,8,9
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:10,Morning Inspection,,,,,,,,
06:10-06:40,Post-sleep,,,,,,,,
06:40-07:30,BREAKFAST,,,,,,,,
07:30-08:00,Prep for Work,,,,,,,,
08:00-08:15,Daily Planning Conference (S-band),,,,,,,,
08:15-08:45,FE-1 Crew departure prep,,,,,,,,
08:15-08:20,FE-2 HAM Radio Powerdown in SM,,,,,,,,
08:20-08:30,FE-2 RED inspection and access evaluation,,,,,,,,
08:30-09:50,FE-2 RED cable replacement,,,,,,,,
08:30-08:35,CDR Lab Window Shutter Close,,,,,,,,
08:45-08:50,CDR Activation of A31P Laptop,,,,,,,,
08:55-09:55,"FE-1 Physical Exercise (TVIS), day 2",,,,,,,,
08:55-09:55,CDR Physical Exercise (CEVIS),,,,,,,,
09:50-10:35,FE-2 On-orbit calibration of RED,,,,,,,,
,ATV / ISS Rendezvous. Tagup with ATV specialists (S-band),,,,,,,,
09:55-10:20,"CDR, FE-1 Preparation for ATV rendezvous and docking",,,,,,,,
10:20-10:30,"CDR, FE-1 PCE ( МБРЛ) Test 2",,,,,,,,
10:30-10:45,"FE-1, CDR PCE (МБРЛ) Comm config",,,,,,,,
10:35-12:05,FE-2 Physical Exercise (RED),,,,,,,,
10:45-15:15,"FE-1,CDR ISS-MCC-M TV (VHF, Ku-band). Monitor ATV rendezvous and docking",,,,,,,,
12:05-12:45,FE-2 IWIS Installation,,,,,,,,
12:55-13:10,FE-2 CSLM2 - 15-min PL procedure review,,,,,,,,
13:10-14:10,FE-2 Physical Exercise (CEVIS),,,,,,,,
14:10-15:10,FE-2 Crew time for ISS adaptation and orientation,,,,,,,,
15:10-15:15,FE-2 On MCC Go ISS repress from Progress 363 СрПК (start),,,,,,,,
15:15-16:15,LUNCH,,,,,,,,
16:15-16:45,FE-1 Crew departure prep,,,,,,,,
16:15-16:20,CDR Photo/TV: Laptop A31P deactivation,,,,,,,,
16:15-16:20,FE-2 ISS repress from Progress 363 СрПК (terminate),,,,,,,,
16:20-17:00,FE-2 СОЖ maintenance,,,,,,,,
16:30-16:40,CDR CWC audit,,,,,,,,
16:45-17:25,FE-1 Evening work prep.,,,,,,,,
16:45-17:45,CDR Evening work prep,,,,,,,,
17:00-17:10,FE-2 IWIS data copy,,,,,,,,
17:10-17:15,FE-2 Battery Stowage Assembly (BSA) Battery Recharge Terminate,,,,,,,,
17:15-18:05,FE-2 Start BSA battery charge,,,,,,,,
17:25-17:45,FE-1 Elektron purge and deactivation,,,,,,,,
17:45-19:15,CDR Physical Exercise (RED),,,,,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:10,.,Morning Inspection,,,,,,,
06:10-06:40,.,Post-sleep,,,,,,,
06:40-07:30,.,BREAKFAST,,,,,,,
07:30-07:45,.,Prep for Work,,,,,,,
07:45-08:00,.,Daily Planning Conference (S-band),,,,,,,
08:00-08:15,.,Prep for Work,,,,,,,
08:15-08:30,FE-2,JLP HCTL Status and JLP Shell Temperature Periodic Monitor,,,,,,,
08:25-09:05,CDR,Search for equipment for СКВ2 Compressor R&R,,,,,,,
08:30-09:05,FE-1,Transfer of FGB containers from ATV,,,,,,,
08:30-08:40,FE-2,Glove Box (MSG): activation,,,,,,,
08:40-08:50,FE-2,CSLM-2 - Vacuum Vent Start 1,,,,,,,
08:50-09:20,FE-2,Start Filling CWC from the Lab Condensate Tank,,,,,,,
09:05-09:30,"CDR,FE-1",Equipment set up and TV PAO Greetings Downlink (Ku + S-band),,,,,,,
09:20-09:30,FE-2,N2 Hatch Unlatch,,,,,,,
09:30-09:50,FE-2,FDS - replacement of portable masks,,,,,,,
09:30-11:00,CDR,Physical Exercise (TVIS) day 1,,,,,,,
09:40-09:55,FE-1,URAGAN. Observations and photography,,,,,,,
09:55-10:55,FE-1,Installation of containers in zone 48 (ГА plane 2). Tagup with specialists asnecessary (S-band),,,,,,,
10:00-10:15,FE-2,Terminate filling CWC from Lab Condensate Tank,,,,,,,
10:15-10:30,FE-2,RED inspection and access evaluation,,,,,,,
10:30-12:00,FE-2,Physical Exercise (RED),,,,,,,
10:55-11:55,FE-1,ISS crew orientation,,,,,,,
