0,1,2,3,4,5,6,7,8
GMT,CREW,ACTIVITY,,,,,,
06:00-06:10,,Morning Inspection,,,,,,
06:10-06:40,,Post-sleep,,,,,,
06:40-07:30,,BREAKFAST,,,,,,
07:30-10:30,"FE-1, FE-2",Weekly Housekeeping,,,,,,
07:30-10:30,CDR,"Weekly HousekeepingGrille cleaning in fans: ВПрК, ВПхО, ФС5, ФС6, ФС9, FGB ЦВ2",,,,,,
10:30-11:30,FE-2,Physical Exercise (TVIS),,,,,,
10:30-10:35,FE-1,Glacier status check,,,,,,
10:35-10:40,FE-1,MELFI: hardware status check,,,,,,
10:40-10:45,FE-1,MERLIN hardware and temperature status Check,,,,,,
11:30-13:00,CDR,"Physical Exercise (TVIS), day 2",,,,,,
11:30-13:00,FE-2,Physical Exercise (ARED),,,,,,
13:00-14:00,,LUNCH,,,,,,
14:00-14:30,,Weekly planning conference (S-band),,,,,,
14:30-14:35,FE-1,MELFI: hardware status check,,,,,,
14:30-14:40,FE-2,Potable Water Dispenser (PWD): Daily Ambient Flush,,,,,,
15:00-15:35,CDR,EXPOSE-R. Copy БСММ (Multiplex Bus Synch Unit) data to memory card,,,,,,
16:45-18:15,FE-1,Physical Exercise (ARED),,,,,,
17:45-18:25,CDR,СОЖ Maintenance,,,,,,
18:15-19:15,FE-1,Physical Exercise (CEVIS),,,,,,
18:25-19:25,CDR,Physical Exercise (ARED),,,,,,
19:15-19:20,FE-1,Glacier status check,,,,,,
19:15-19:20,FE-2,OCA SSC router reboot,,,,,,
19:20-19:25,FE-1,MELFI - hardware status check,,,,,,
19:20-19:25,FE-2,SSC file server reboot,,,,,,
19:25-19:30,FE-1,MERLIN hardware and temperature status Check,,,,,,
19:25-19:30,FE-2,"Transfer of TVIS, RED, and HRM data to MEC",,,,,,
19:30-21:30,,"Presleep (dinner, daily food prep, evening toilet)",,,,,,
21:30-06:00,,SLEEP,,,,,,
Task List,CDR,URAGAN. Observations and photography,,,,,,
ECON. Observations and Photography,,,,,,,,
Audit of station photo equipment,,,,,,,,
Cleaning Digital Image Sensor,,,,,,,,
Fan replacement,,,,,,,,
Stow discarded hardware in Progress 366 (with IMS support),,,,,,,,
GMT,CREW,ACTIVITY,,,,,,
06:00-06:10,,Morning Inspection,,,,,,
06:10-06:40,Post-sleep,,,,,,,
06:40-07:30,BREAKFAST,,,,,,,
07:30-10:30,CDR,"Weekly HousekeepingGrille cleaning in fans: ВПрК, ВПхО, ФС5, ФС6, ФС9, FGB ЦВ2",,,,,,
07:30-07:50,FE-1,Nutrition and Repository: Urine Sample Collection,,,,,,
07:50-08:00,Nutrition and Repository: MELFI Urine Sample First Insertion,,,,,,,
08:00-08:15,FE-2,Nutrition and Repository: blood draw operator,,,,,,
08:00-08:20,FE-1,Nutrition and Repository: blood draw,,,,,,
08:15-08:20,FE-2,Nutrition and Repository: Photography,,,,,,
08:20-09:10,Weekly Housekeeping,,,,,,,
08:20-08:30,FE-1,Nutrition and Repository FE2: Refrigerated Centrifuge Setup,,,,,,
08:30-08:40,Nutrition and Repository: Config Refrigerated Centrifuge,,,,,,,
09:10-09:15,FE-2,Nutrition and Repository: Photography,,,,,,
09:10-09:30,FE-1,Nutrition and Repository: Blood Sample Insertion into MELFI,,,,,,
09:15-10:45,FE-2,Physical Exercise (ARED),,,,,,
09:30-09:40,FE-1,Nutrition and Repository: Stow Blood Sample Collection and ProcessingHardware,,,,,,
09:40-11:50,Weekly Housekeeping,,,,,,,
10:30-11:10,CDR,IZGIB (BEND)-DAKON. Closeout Ops. Tagup with specialists (S-band),,,,,,
10:45-11:45,FE-2,Weekly Housekeeping,,,,,,
11:20-11:35,CDR,Private Psychological Conference (VHF),,,,,,
11:45-11:50,FE-2,PAO Hardware Setup,,,,,,
11:50-12:00,,Crew Prep for PAO,,,,,,
12:00-12:20,TV conference (Ku-band) /Greetings to the participants of Flight Safety seminar;TV conference between ISS crew and [НТВ] broadcast company,,,,,,,
12:20-13:20,CDR,"Physical Exercise (VELO), day 4",,,,,,
12:20-13:30,FE-2,Weekly Housekeeping,,,,,,
12:20-13:05,FE-1,,,,,,,
13:05-13:25,Nutrition and Repository: Urine Samples Collection,,,,,,,
13:25-13:30,Nutrition and Repository: Insertion of Urine Samples into MELFI,,,,,,,
13:30-14:00,,Weekly Planning Conference (S-band),,,,,,
