0,1,2,3,4
GMT,CREW,ACTIVITY,,
21:00-21:10,,Morning inspection,,
21:10-21:40,Post-sleep,,,
21:40-22:30,BREAKFAST,,,
01:15-02:15,FE-2,Physical exercise (VELO + Load Trainer-1 / day 3),,
01:15-02:45,CDR,Physical exercise (TVIS day 3),,
01:35-02:15,FE-1,СОЖ maintenance,,
03:15-04:15,,LUNCH,,
04:15-04:30,FE-1,LAB CCAA switch,,
04:30-04:40,Payload status check,,,
05:15-05:50,IMS file prep,,,
05:35-05:55,FE-2,On MCC GO: ISS repress with O2 from Progress,,
05:55-06:05,FE-1,EMU power source charge (term),,
06:05-06:10,CDR,Inspection of БРПК-2 separator,,
06:05-06:10,FE-2,Air conditioner system (СКВ) fans inspection,,
06:05-07:05,FE-1,Physical exercise (TVIS),,
07:05-07:10,TVIS Weekly maintenance,,,
07:10-08:40,Physical exercise (RED),,,
07:55-09:15,FE-2,Physical exercise  (TVIS day 3),,
08:15-09:15,CDR,Physical exercise (VELO + Load Trainer-1 / day 3),,
08:40-08:45,FE-1,Battery charge (120V),,
08:45-09:15,Work prep,,,
09:15-09:30,,Daily planning conference (S-band),,
09:30-10:00,Daily food prep,,,
10:00-10:30,DINNER,,,
10:30-11:30,Pre-sleep,,,
11:30-20:00,SLEEP,,,
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning inspection,,
06:10-06:40,Post-sleep,,,
06:40-07:30,BREAKFAST,,,
07:30-07:45,Work prep,,,
07:45-08:00,Daily planning conference (S-band),,,
08:00-08:15,Work prep,,,
08:20-08:30,FE-1,Daily payload status check,,
08:30-08:50,Setup fan for EMU battery discharge,,,
08:35-09:15,FE-2,Removal of portable pressurizing unit БНП (for stowage) in ПхО (S-band),,
,CDR,Removal of portable pressurizing unit (БНП) in DC1,,
08:50-09:00,FE-1,Connection of EMU battery to fan for discharge,,
09:15-09:30,"CDR, FE-2",IMS tagup (S-band),,
09:30-09:45,FE-2,Ф2 БМП absorbent bed regeneration (term),,
09:45-10:45,"CDR, FE-2",Hardware search for crew support Ethernet network reconfiguration,,
10:00-11:30,FE-1,Physical exercise (RED),,
11:00-12:30,FE-2,"Physical exercise (TVIS, day 2)",,
11:30-12:30,FE-1,Physical exercise (CEVIS),,
,CDR,"Physical exercise (VELO + Load Trainer 1, day 2)",,
12:30-13:30,,LUNCH,,
13:30-13:35,FE-1,EMU battery discharge (term),,
13:30-14:30,FE-2,ВВ2 РО Fan ops,,
13:30-14:00,CDR,СОЖ maintenance,,
13:50-13:55,FE-1,Glove box (MSG): activation,,
13:55-14:25,Glove box (MSG): inspection,,,
14:05-14:25,CDR assist,,,
14:25-15:10,FE-1,SUBSA: cleanup ops,,
14:30-16:30,"CDR, FE-2","DC1 nominal config setup, tools and hardware stowage",,
15:10-15:55,FE-1,SUBSA – cleanup ops (video imaging),,
15:55-16:25,SUBSA: final cleanup ops,,,
16:25-16:35,Glove box (MSG) – power off,,,
16:30-17:30,FE-2,"Physical exercise (VELO + Load Trainer 1, day 2)",,
16:30-18:00,CDR,"Physical exercise (TVIS, day 2)",,
16:35-17:05,FE-1,Microbiological analysis T + 2,,
17:05-17:25,Microbiological sample data upload to MEC,,,
17:25-17:35,IVCPDS spectrometer power cycle,,,
17:35-17:45,EMU battery charge (init),,,
17:45-18:05,Transfer TVIS/RED/CVIS data to MEC,,,
18:05-18:20,,ISS crew tagup with Flight Director (S-band),,
18:20-18:40,CDR,On MCC GO: ISS repress with O2 from Progress СРПК,,
18:20-18:50,FE-1,Fan close-out ops,,
GMT,Crew,Activity,,
06:00–06:10,,Morning inspection,,
06:10–06:40,Post-sleep,,,
06:40–07:30,BREAKFAST,,,
09:00–09:10,CDR,ELECTRON-VM Fluids Unit (БЖ): mating of ТМИ-connector,,
09:10–09:30,CDR,ELECTRON-VM activation,,
09:30–11:00,CDR,Physical exercise (VELO + Load Trainer day 3),,
09:50–10:00,FE-1,Off-day LAB payload status check,,
10:00–11:30,Physical exercise (RED),,,
11:00–12:30,FE-2,Physical exercise (VELO + Load Trainer day 3),,
11:30–12:30,FE-1,Physical exercise (CEVIS),,
12:10–12:30,CDR,On MCC GO: ISS repress with О2 from Progress СРПК system,,
12:30–13:30,,LUNCH,,
13:30–14:00,Weekly planning conference (S-band),,,
14:00–17:00,Weekly housecleaning,,,
17:00–18:00,CDR,Physical exercise (TVIS-3),,
17:20–18:00,FE-2,Maintenance of СОЖ,,
18:00–19:00,Physical exercise (TVIS-3),,,
19:30–20:00,,DINNER,,
20:00–20:30,Daily food prep,,,
20:30–21:30,Pre-sleep,,,
21:30–06:00,SLEEP,,,
GMT,CREW,ACTIVITY / ODF or r/g,,
03:00–03:10,,Morning inspection,,
03:10–03:40,Post-sleep,,,
03:40–04:30,BREAKFAST,,,
06:10–06:30,FE-1,Pulmonary Function in Flight (PuFF): GASMAP HRF setup and powerup,,
06:30–07:00,EMU fan battery charge: setup,,,
06:30–07:30,"CDR, FE-2","ORLAN water tank refill / ORLAN Ops, item 2.4.14, page 2-19",,
07:00–07:10,FE-1,EMU fan battery charge (init),,
07:30–07:50,Pulmonary Function in Flight (PuFF): initial calibration,,,
07:30–08:30,CDR,Physical exercise (TVIS-1),,
07:50–08:30,FE-1,Pulmonary Function in Flight (PuFF): standard test,,
08:30–08:40,"CDR, FE-1","ORLAN dryout / ORLAN Ops, item 3.3, page 3-3",,
08:40–08:50,"Removal of БК-3 O2 tanks and БРТА battery / ORLAN Ops, item 2.4.9, page2-17",,,
08:50–09:50,,LUNCH,,
09:50–10:20,EVA tagup (S-band),,,
10:20–11:00,FE-2,Maintenance of СОЖ,,
10:20–10:30,FE-1,Off-day LAB payload status check,,
10:30–10:35,"CDR, FE-1","ORLAN dryout / ORLAN Ops, item 3.3, page 3-3",,
10:35–10:40,FE-1,EMU fan battery charge (term),,
10:40–11.10,EMU fan battery charge (closeout ops),,,
10:40–11:20,CDR,Pulmonary Function in Flight (PuFF): standard test,,
11:10–11:25,FE-1,Private medical conference (S-band),,
11:20–12:20,"CDR, FE-2","Prep of ORLAN ORUs, auxiliary equipment and personal gear. Tagup w/ORLAN specialist (S-band) / r/g 4092",,
11:25–12:25,FE-1,Physical exercise (CEVIS),,
12:20–13:20,FE-2,Physical exercise (TVIS-1),,
12:30–12:40,"CDR, FE-1","ORLAN dryout / ORLAN Ops, item 3.3, page 3-3",,
12:40–13:10,FE-1,Pulmonary Function in Flight (PuFF) и GASMAP HRF- откл. пит. и укладка,,
12:45–13:00,CDR,Private medical conference (S-band),,
13:00–13:30,Daily food prep,,,
13:20–13:30,FE-2,,,
13:30–14:00,,DINNER,,
14:00–15:00,Pre-sleep,,,
15:00–23:30,SLEEP,,,
GMT,CREW,ACTIVITY,,
00:00-00:10,,Morning inspection,,
00:10-00:40,Post-sleep,,,
00:40-01:30,BREAKFAST,,,
01:30-01:45,Daily planning conference (S-band),,,
01:45-02:15,"CDR, FE-2",Work prep,,
01:45-02:10,FE-1,,,
02:10-02:15,SSRMS cable disconnection,,,
02:15-03:00,ADVASC – nutrient exchange,,,
02:15-02:45,FE-2,СОЖ maintenance,,
02:30-03:55,CDR,Physical exercise (TVIS day 2),,
02:45-03:15,FE-2,INTERACTION – data collection,,
03:00-04:30,FE-1,Physical exercise (RED),,
03:15-04:45,FE-2,Physical exercise (VELO + Load Trainer 1 day 2),,
03:55-04:35,CDR,INTERACTION – data collection and backup,,
04:30-04:45,FE-1,Food questionnaire,,
04:35-04:45,CDR,Comm & tracking config for EVA,,
04:45-05:05,,Checkout of ORLAN systems during suited exercise,,
05:05-05:20,ORLAN Interface Unit (БСС) checkout,,,
05:20-05:30,"CDR, FE-2",Comm setup for suited exercise,,
05:30-06:00,,Comm test / biomed parameter check. Tagup w/ ground specialists,,
06:00-07:00,LUNCH,,,
07:00-07:05,FE-1,VOA deactivation,,
07:05-07:35,,Gear donning,,
07:35-07:50,"CDR, FE-1",ORLAN ingress. Backpack closure,,
