0,1,2,3,4,5
GMT,Crew,Activity,,,
06:00-06:10,,Morning inspection,,,
06:10-06:40,Post-sleep,,,,
06:40-07:30,BREAKFAST,,,,
07:30-08:00,FE-1,Work prep,,,
07:30-07:55,CDR,,,,
07:55-08:00,PLANTS-2. Hardware monitoring,,,,
08:00-08:15,,DPC (S-band),,,
08:15-12:45,FE-1,EMU repair – cap cleaning and rotor installation,,,
08:15-08:25,CDR,"Tag up with ""AGAT"" specialist (S-band)",,,
08:25-09:10,КАВ (humidity condensate) sampling from СРВ-К2М – equipment prep and set up,,,,
09:10-10:10,IMS update after Progress transfers,,,,
10:10-10:15,КАВ sampling from СРВ-К2М – sampling bag replacement,,,,
10:15-11:15,Physical Exercise (TVIS) day 2,,,,
11:15-11:20,КАВ sampling from СРВ-К2М – sampling bag replacement,,,,
11:20-11:50,Physical Exercise (RED),,,,
11:50-12:20,Photography of the docking probe mark on the passive cone of the docking assembly,,,,
12:20-12:45,"КАВ sampling from СРВ-К2М - closeout, prep for next sampling session",,,,
12:45-13:45,,LUNCH,,,
13:45-13:50,CDR,КАВ sampling from СРВ-К2М - monitoring,,,
13:45-14:45,FE-1,RED canisters prep for installation,,,
13:50-15:20,CDR,IMS update after Progress transfers,,,
14:45-15:15,FE-1,RED canisters installation,,,
15:15-16:45,Physical Exercise (RED),,,,
15:20-15:25,CDR,КАВ sampling from СРВ-К2М - monitoring,,,
15:25-15:55,"КАВ sampling from СРВ-К2М - closeout, tear down",,,,
15:55-16:25,СОЖ maintenance,,,,
16:25-16:45,IMS file prep,,,,
16:45-17:45,FE-1,Physical Exercise (TVIS),,,
16:55-17:55,CDR,Physical Exercise (VELO+Force Loade/ cycle 1) day 2,,,
17:45-17:50,FE-1,Weekly TVIS maintenance,,,
17:50-17:55,Payload status check,,,,
17:55-18:25,,Daily plan review,,,
18:25-18:40,,DPC (S-band),,,
18:40-19:10,,Report prep,,,
19:10-19:40,,Hand ergometry. Tag up with МО-6 specialist (S-band) T0=19.27.30,,,
19:40-20:10,CDR,Daily food prep,,,
19:40-19:55,FE-1,PFC (S-band),,,
19:55-20:15,,Tag up with Photo/TV specialists (S-band),,,
20:10-20:40,CDR,DINNER,,,
20:15-20:40,FE-1,,,,
20:40-21:30,CDR,Pre-sleep,,,
20:40-21:00,FE-1,Daily food prep,,,
21:00-21:30,,Pre-sleep,,,
21:30-06:00,,,,,
Task list,CDR,,,,
,Equipment search for crew data exchange network set up,,,,
GMT,CREW,ACTIVITY,,,
06:00-06:10,.,Morning inspection,,,
06:10-06:40,.,Post-sleep,,,
06:40-07:30,.,BREAKFAST,,,
07:30-08:00,.,Prep for work,,,
08:00-08:30,.,"Study of bioelectrical activity of heart at rest, То=08:14. Tagup with specialists.(UHF)",,,
08:30-08:35,CDR,RASTENIYA-2. Hardware operation monitoring,,,
08:35-08:50,.,DPC (S-band),,,
08:50-09:05,CDR,Regeneration of absorbent cartridge (ПП) of БМП filter 2 (start),,,
08:50-11:05,FE-1,Unloading and inventory of Progress-350 cargo,,,
09:05-11:05,CDR,,,,
11:05-12:05,Physical exercise TVIS – day 1,,,,
11:10-11:15,FE-1,Increment 9 – payload status check,,,
11:15-11:45,FE-1,СОЖ maintenance (Monitoring of ИП-1 sensors installation ),,,
11:45-12:05,FE-1,IMS delta file prep,,,
12:05-12:35,FE-1,Audiogram recording using EARQ s/w,,,
12:05-12:35,CDR,Physical exercise RED – day 1,,,
12:35-13:35,.,LUNCH,,,
13:35-14:35,.,DOUG s/w review,,,
14:35-16:05,FE-1,Unloading and inventory of Progress-350 cargo,,,
14:35-16:20,CDR,,,,
16:05-17:35,FE-1,Physical exercise RED,,,
16:20-16:45,CDR,Audiogram recording using EARQ s/w,,,
16:45-17:15,CDR,Interactions – data collection,,,
17:15-18:15,CDR,Physical exercise (VELO + Force Loader-1) – day 1,,,
17:35-18:35,FE-1,Physical exercise CEVIS,,,
18:15-18:45,CDR,Daily plan review,,,
18:35-19:05,FE-1,,,,
18:45-19:05,CDR,Report prep,,,
19:05-19:20,.,DPC (S-band),,,
19:20-19:50,FE-1,Report prep,,,
19:20-19:30,CDR,,,,
19:30-20:00,CDR,Daily food prep,,,
19:50-20:00,FE-1,,,,
20:00-20:30,.,DINNER,,,
20:30-21:30,.,Pre-sleep,,,
21:30-06:00,.,SLEEP,,,
