0,1,2
GMT,CREW,ACTIVITY
09:00-09:10,.,Morning Inspection
09:10-09:20,FE-2,Post-sleep
09:10-09:20,CDR,Calf volume measurement
09:10-09:20,FE-1,МО-8. Configuration Set-up
09:20-09:35,CDR,Body mass measurement
09:20-09:30,FE-2,Calf volume measurement
09:20-09:35,FE-1,Post-sleep
09:35-10:05,CDR,Post-sleep
09:35-09:50,FE-2,Body mass measurement
09:35-09:45,FE-1,Calf volume measurement
09:45-10:00,FE-1,Body mass measurement
09:50-10:05,FE-2,Post-sleep
10:00-10:10,FE-1,MO-8. Close-out ops
10:05-10:55,"FE-2,CDR",BREAKFAST
10:10-10:55,FE-1,BREAKFAST
10:55-11:10,.,Daily Planning Conference (S-band)
11:10-12:10,CDR,Progress 361 Docking Mechanism Removal
11:10-11:30,FE-2,Prep for Work
11:10-11:30,FE-1,Post-sleep
11:30-13:00,FE-2,Physical Exercise (TVIS)
11:30-12:00,FE-1,Prep for Work
12:10-14:10,CDR,Progress 361 unloading and IMS updates
12:10-13:10,FE-1,
13:00-14:00,FE-2,Physical Exercise (RED)
13:10-14:10,FE-1,Installation of Local Temperature Sensor Switching Unit (ЛКТ) (ТА251М1Б) and ROMUnit in Progress 361
14:00-16:35,FE-2,Hardware Prepack for Return on 13A.1
14:10-16:10,CDR,PROFILAKTIKA. Cycle Ergometer Experiment w/assistance. Tagup with specialists (S-band)
14:10-14:50,FE-1,GCF-JAXA. Transfer and set up hardware in ТБУ [Universal Bioengineering Thermostat] /r/g 5887
14:50-15:05,FE-1,GCF-JAXA. Hardware photo
15:10-15:40,FE-1(assists),PROFILAKTIKA. Cycle Ergometer Experiment
15:40-16:40,FE-1,Installing УС-21 container in Progress 361
16:10-16:25,CDR,"ANTIGEN. Transfer and set up BIOECOLOGIA containers 13, 14, 15, 17 in DC1"
16:25-16:40,CDR,"ANTIGEN. Photography of Bioecologia Kits #4, 5 at exposure locations"
16:40-17:40,.,LUNCH
17:40-19:30,FE-2,Hardware Prepack for Return on 13A.1
17:40-18:10,CDR,EMU cooling loop filtration to eliminate biomass and particulate matter
18:10-18:50,CDR,СОЖ Maintenance
19:10-19:30,CDR,EMU Cooling Loop config
19:25-21:25,FE-1,PROFILAKTIKA. Cycle Ergometer Experiment w/assistance. Tagup with specialists (S-band)
19:40-19:50,FE-2,APS-1 Configuration
19:50-20:15,FE-2,Emergency Book Updates
20:05-20:35,CDR(assists),PROFILAKTIKA. Cycle Ergometer Experiment
20:15-21:15,FE-2,LHA Remove and R&R
20:35-20:55,CDR,IMS update
20:55-21:25,CDR,Prep for Work
21:15-21:20,FE-2,"Transfer TVIS, RED, HRM, and CEVIS data to MEC."
21:20-21:25,FE-2,Evening work prep
21:25-21:40,.,Daily Planning Conference (S-band)
21:40-22:10,CDR,EMU cooling loop filtration to eliminate biomass and particulate matter
21:40-22:30,"FE-1, FE-2",Prep for Work
22:10-22:30,CDR,Prep for Work
22:30-23:00,.,DINNER
23:00-23:30,.,Daily Food Prep
23:30-00:30,.,Pre-sleep
00:30-09:00,.,SLEEP
Task List,"CDR, FE-1",RS ISS Audit in the current day work area
,RS ISS Module Photo/Video,
CDR,ODF replacement,
FE-1,PLANTS-1. Payload status check,
GMT,CREW,ACTIVITY
08:35-08:45,"FE-1,CDR",Morning Inspection
08:35-08:50,FE-2,Biochemical urine test
08:45-09:15,"FE-1,CDR",Post-sleep
08:50-09:25,FE-2,
09:15-10:05,"FE-1,CDR",BREAKFAST
09:25-10:20,FE-2,
10:05-10:35,"FE-1,CDR",Prep for Work
10:20-10:35,FE-2,
10:35-10:50,.,Daily Planning Conference (S-band)
10:50-11:05,FE-2,Prep for Work
11:35-11:55,FE-1,РМА2 config for Shuttle departure
11:40-12:00,CDR,Undocking photo/TV
13:00-14:10,CDR,РМА2 depress
13:15-13:35,FE-2,BPSMU stow
13:35-13:50,FE-2,Private Medical Conference (S-band)
13:50-14:00,FE-2,VTR bypass reconfig - part 1
13:50-14:20,FE-1,DIATOMEA. World Ocean Observations
14:00-14:10,FE-2,VTR bypass reconfig - part 2
14:10-14:25,FE-2,PCS power down
14:10-15:40,CDR,"Physical Exercise (TVIS), day 3"
14:25-14:40,FE-2(subj)FE-1 -СМО,Post–EVA Crew Health Status
14:40-15:00,FE-1,Post-EVA Crew Health Status – data transfer
14:40-15:40,FE-2,Physical Exercise (RED)
15:30-15:35,FE-1,Comm reconfig for nominal ops
15:40-16:40,.,LUNCH
16:40-17:40,CDR,Cleaning Smoke Detector #2 in Node 1
16:40-17:10,FE-1,Replacement of Urine Receptacle [М-П] and Filter-Insert [Ф-В] in the toilet[АСУ]. (Use М-П 3036155 B/C 00043646R and Ф-В #605058 B/C00043722R ФГБ1ПГЛ_3_303_1 in bag 359-10)
16:40-17:10,FE-2,Post-EVA EMU Water Recharge
17:10-17:50,FE-1,СОЖ Maintenance
17:25-17:45,FE-2,PMA2 leak check (start)
17:55-18:10,FE-2,Private Psychological Conference (S +Ku-band)
18:00-19:30,FE-1,"Physical Exercise (TVIS), day 3"
18:15-18:35,FE-2,PMA2 Leak Check Termination and Equipment Teardown
18:15-19:15,CDR,Physical Exercise (RED)
18:35-19:05,FE-2,Post-EVA EMU Glove Photo for Ground Analysis
19:10-19:25,FE-2,Questionnaire - journal entry
19:25-19:40,FE-2,SLEEP - Actiwatch set up
19:30-20:30,FE-1,"Physical Exercise (VELO+RED), day 3"
19:40-20:00,FE-2,SLEEP [СОН] Experiment. Data downlink and donning Actiwatch device
20:00-21:30,FE-2,Physical exercise (TVIS)
21:05-21:25,CDR,IMS update
21:25-21:30,CDR,Transfer TVIS/RED/CEVIS/HRM data to MEC
21:30-22:00,.,Daily food prep
22:00-22:30,.,DINNER
22:30-23:30,.,Pre-sleep
23:30-08:00,.,SLEEP
Task List,FE-1,GSF-JAXA. ТБУ temperature monitoring (in the morning)
Matryoshka-R. MOSFET-dosimeter reading monitoring,,
URAGAN. Observation and photography,,
GMT,CREW,ACTIVITY
09:05-09:15,"CDR, FE-1",Morning Inspection
09:05-09:20,FE-2,Biochemical urine test
09:15-09:45,"CDR, FE-1",Post-sleep
09:20-09:50,FE-2,
09:45-10:35,"CDR, FE-1",BREAKFAST
09:50-10:35,FE-2,
10:35-10:50,,Daily Planning Conference (S-band)
10:50-11:10,FE-1,Prep for Work
10:50-11:20,"CDR, FE-2",
11:10-11:50,FE-1,СОЖ Maintenance / ИП-1 position verification
11:20-12:20,FE-2,DAIU Equipment Setup
11:50-12:20,"FE-1, CDR","TV Greetings to International Aerospace Salon MAKS and Participants ofBaikonur-Anti-Terror 2007 Exercise  (То=11:44, Т1,Т2,Т3-from СПП)"
12:20-12:35,FE-2,DAIU Pre-Troubleshooting Voice Check and Safing
12:25-12:55,CDR,DYKHANIE [RESPIRATION]. Experiment setup
12:35-12:55,FE-2,DAIU Stowage Removal
12:45-14:15,FE-1,"Physical Exercise (TVIS), Day 1"
12:55-13:15,CDR,IMS update
12:55-13:10,FE-2,Questionnaire - journal entry
13:10-14:10,Physical Exercise (RED),
13:15-14:15,CDR,DYKHANIE [RESPIRATION]. Experiment and closeout ops
14:15-15:35,"Physical Exercise (TVIS), Day 1",
14:15-14:30,FE-2subject,Post–EVA crew health status
,FE-1 СМО,
14:30-14:50,FE-1,Post-EVA crew health status – data transfer
14:30-15:00,FE-2,DAIU Stowage Removal
