0,1,2,3
TIME,CREW,,
06:00-06:05,CDR,Reading Reminder,
06:00-06:10,FE-1,Morning Inspection. Laptop RS1(2) Reboot,
06:00-06:10,FE-2,Morning Inspection. Reload Laptop RSS2,
06:00-06:10,FE-4,Morning Inspection. SM ПСС (Caution & Warning Panel) Test,
06:00-06:10,"FE-5, FE-6",Morning Inspection,
06:05-06:15,CDR,Morning Inspection,
,"FE-1, FE-2,",,
06:10-06:40,"FE-4, FE-5,",Post-sleep,
,FE-6,,
06:15-06:40,CDR,Post-sleep,
06:40-07:10,,BREAKFAST,
07:10-07:35,,Daily Planning Conference (S-band),
07:35-07:55,,BREAKFAST,
07:55-11:15,CDR,R2 - Camcorder Setup,
07:55-08:05,"FE-1, FE-6",Work Prep,
07:55-08:05,FE-2,CASKAD. Manual Mixing in Bioreactor,
07:55-11:05,FE-4,Re-installation of SM СТТС ПА amplifiers. Tagup with specialists /,
07:55-08:05,FE-5,ROBONAUT - Camcorder Video Setup,
08:05-10:05,"FE-1, FE-2","Gather EVA Equipment and Tools. Photography, Photo Downlink Tagup with specialists",
08:05-08:25,FE-5,Work Prep,
08:05-08:10,FE-6,HAM-VIDEO Powerdown,
08:10-09:10,FE-6,T2 Exercise,
08:25-09:25,FE-5,BCATC1. Sample Initialization and Photography,
09:10-10:40,FE-6,ARED Exercise,
09:25-10:35,FE-5,T2 Exercise,
10:05-11:05,"FE-1, FE-2",Specific EVA Procedure Review. Tagup with specialists,
10:35-10:40,FE-5,SHD - Space Headaches Weekly Questionnaire,
10:40-12:40,"FE-5, FE-6",IFM - Assemble the External TV Camera Group (ETVCG) in preparation for upcoming EVA,
11:05-11:25,FE-1,24-hour BP Monitoring (terminate),
11:05-11:35,"FE-2, FE-4 assists",Hand Ergometry Test То= 11:14. Tagup with specialists (VHF),
11:15-12:35,CDR,ARED Exercise,
11:35-12:05,FE-1,DC1 EVA Support Panel (ПОВ) Test. Tagup with specialists,
11:35-13:05,FE-2,"БД-2 Exercise, Day 3",
11:35-12:35,FE-4,"VELO Exercise, Day 3",
12:05-12:35,FE-1,ПхО EVA Support Panel (ПОВ) Test. Tagup with specialists,
12:35-13:45,CDR,CEVIS Exercise,
TIME,CREW,ACTIVITY,
06:00-06:10,FE-1,Morning Inspection. Laptop RS1(2) Reboot,
06:00-06:10,FE-2,Morning Inspection. Reload Laptop RSS2,
06:00-06:10,"CDR, FE-4, FE-5, FE-6",Morning Inspection,
06:10-06:40,,Post-sleep,
,"CDR, FE-1,",,
06:40-07:30,"FE-2, FE-5,",BREAKFAST,
,FE-6,,
06:40-07:30,FE-4,BREAKFAST. SM ПСС (Caution & Warning Panel) Test,
07:30-10:30,"CDR, FE-5, FE-6",Weekly Housekeeping,
,,"Weekly Housekeeping / МО, Book 1, 1.2.1, p. 1-2",
,,"SM Ventilation Subsystem Preventive Maintenance, Group E",
07:30-10:30,FE-1,FGB ЦВ2 Fan Cleaning,
,,Inspection of Air Conditioner,
,,Cleaning Auxiliary Computer System (ВКС) Laptops,
07:30-10:30,FE-4,"Weekly Housekeeping / МО, Book 1, 1.2.1, p. 1-2  Cleaning Auxiliary Computer System (ВКС) Laptops",
08:05-08:20,FE-2,ABOUT GAGARIN FROM SPACE. Preparation of equipment for relay of CHIBIS signal,
08:20-08:30,FE-2,CASKAD. Manual Mixing in Bioreactor,
08:35-08:40,FE-2,ABOUT GAGARIN FROM SPACE. Hardware deactivation,
,,"Weekly Housekeeping / МО, Book 1, 1.2.1, p. 1-2",
08:40-11:40,FE-2,Cleaning Auxiliary Computer System (ВКС) Laptops БМП,
,,(Micropurification Unit) Fan Grille Cleaning,
10:30-11:30,FE-1,"БД-2 Exercise, Day 2",
10:30-11:40,FE-5,T2 Exercise,
11:00-11:05,CDR,RST - Kit Retrieval from MELFI,
11:05-11:30,CDR,RST. MELFI Sample Insertion,
11:15-11:30,FE-4,Private Family Conference (Ku + S-band),
11:30-13:00,FE-1,ARED Exercise,
11:30-11:40,FE-6,COL - V/Camera Activation in HD mode for PAO,
11:40-11:50,FE-6,Voice Test prior to PAO from Columbus,
11:50-12:00,FE-6,COL - V/Camera Deactivation in HD mode used for PAO,
12:00-13:00,FE-4,"VELO Exercise, Day1",
13:00-14:00,,LUNCH,
14:00-14:40,FE-4,СОЖ Maintenance,
14:00-14:10,FE-5,Food Frequency Questionnaire,
14:30-14:40,FE-6,SPHERES - Battery Replacement,
14:40-14:55,"FE-1, FE-2, FE-4",Telephone Conference with Rossiyskiy Cosmos Magazine Editor (S-band),
TIME,CREW,,
06:00-06:10,"CDR, FE-5",Morning Inspection,
06:00-06:10,FE-1,Morning Inspection. Laptop RS1(2) Reboot,
06:00-06:10,FE-2,"Morning Inspection. Reload Laptop RSS2 / r/g 1009, step 1",
06:00-06:10,FE-4,Morning Inspection. SM ПСС (Caution & Warning Panel) Test,
06:00-06:10,FE-6,Cygnus - Cygnus PROX Power Activation,
,"CDR, FE-1,",,
06:10-06:40,"FE-2, FE-4,",Post-sleep,
,FE-5,,
06:10-06:20,FE-6,Morning Inspection,
06:20-06:50,FE-6,Post-sleep,
,"CDR, FE-1,",,
06:40-07:30,"FE-2, FE-4,",BREAKFAST,
,FE-5,,
06:50-07:40,FE-6,BREAKFAST,
,"CDR, FE-1,",,
07:30-07:45,"FE-2, FE-4,",Work Prep,
,FE-5,,
07:40-07:45,FE-6,Work Prep,
07:45-08:05,,Daily Planning Conference (S-band),
08:05-09:15,CDR,ARED Exercise,
08:05-09:15,FE-5,T2 Exercise,
08:05-10:15,FE-6,Final ATV Ingress. Tagup with specialists,
08:10-08:20,FE-2,CASKAD. Manual Mixing in Bioreactor,
08:10-08:20,FE-4,Photo/Video of ATV Final Ingress,
,,"Gather EVA Equipment and Tools. Photography, Photo Downlink Tagup",
08:20-10:20,"FE-1, FE-2",,
,,with specialists,
,,Remating БИТС 2-12 connectors from ЭА025М (ЗУ1Б) to ЭА025М,
08:20-08:40,FE-4,,
,,(ЗУ1А) Device. Tagup with specialists,
,,Demating/mating БИТС2-12 telemetry connectors. Tagup with,
08:40-08:55,FE-4,,
,,specialists,
,,Remating БИТС 2-12 connectors from ЭА025М (ЗУ1Б) to ЭА025М,
08:55-09:30,FE-4,,
,,(ЗУ1А) Device. Tagup with specialists,
09:15-10:15,"CDR, FE-5",Cygnus/Node 2 Vestibule Configuration for Demate,
09:30-10:30,FE-4,"БД-2 Exercise, Day 2",
10:20-10:35,FE-1,Preparing Orlan Comm and Telemetry Assets,
10:20-10:35,FE-2,EVA Medical Kit Configuration,
,"CDR, FE-5,",,
10:30-10:50,,Cygnus Departure Conference,
,FE-6,,
,,Checkout of Beta-08 Data Output Device (УСИ) using Gamma-1M.,
10:35-11:05,"FE-1, FE-2",,
,,Tagup with specialists,
10:50-12:20,"CDR, FE-5",Node 2 Nadir CBM Controller Panel Assembly (CPA) Installation,
,,Cleaning Potok-150 MK Air Purification System Pre-filters,
12:00-13:00,FE-2,Weekly HousekeepingCleaning Auxiliary Computer System (ВКС) Laptops,
12:20-12:40,FE-5,HAM Radio Session,
13:00-13:05,CDR,IVA - Exercise Clothes Survey,
,"FE-1, FE-2,",,
13:00-14:00,"FE-4, FE-5,",LUNCH,
,FE-6,,
13:05-14:05,CDR,LUNCH,
14:00-14:40,FE-1,СОЖ Maintenance,
14:00-14:40,"FE-2, FE-4",Installation of overlay plates on FGB interior panels (panel 404) Tagup with specialists as necessary,
14:00-14:20,FE-6,HRF Urine Sample Collection,
14:05-14:15,CDR,Food Frequency Questionnaire,
14:20-14:25,FE-6,HRF - MELFI Sample Insertion,
15:10-16:25,FE-4,ARED Exercise,
15:15-15:30,FE-1,Private Psychological Conference (VHF),
16:25-17:45,FE-5,ARED Exercise,
16:45-18:15,FE-1,"БД-2 Exercise, Day 3",
16:45-17:45,FE-6,CEVIS Exercise,
16:50-17:05,FE-2,Private Psychological Conference (VHF),
17:45-19:15,FE-6,ARED Exercise,
18:05-19:05,FE-2,"БД-2 Exercise, Day 2",
18:15-18:20,FE-1,IVA - Exercise Clothes Survey,
18:50-18:55,CDR,Dried Clothes Stowage,
18:55-19:10,CDR,JRNL - Journal Entry,
19:00-19:15,FE-5,JRNL - Journal Entry,
19:05-19:10,FE-2,IVA - Exercise Clothes Survey,
19:10-19:15,FE-2,Dried Clothes Stowage,
19:10-19:15,CDR,IVA - Routine Clothes Survey,
19:15-19:25,FE-2,CASKAD. Manual Mixing in Bioreactor,
19:15-19:30,FE-6,Health Maintenance System (HMS) - Food Rations Photography,
19:20-19:25,FE-1,Dried Clothes Stowage,
19:25-19:30,"FE-1, FE-2",IVA - Everyday Clothes Survey,
19:15-20:10,CDR,Pre-sleep,
19:30-21:25,"FE-1, FE-2",Pre-sleep,
19:30-21:30,"FE-4, FE-5, FE-6",Pre-sleep,
20:10-20:25,CDR,Private Family Conference,
20:25-21:25,CDR,Pre-sleep,
21:25-21:30,"FE-1, FE-2",IVA - Reading Exercise Clothes Reminder,
TIME,CREW,,
06:00-06:10,CDR,Morning Inspection,
06:00-06:10,FE-1,Morning Inspection. Laptop RS1(2) Reboot,
06:00-06:10,FE-2,Morning Inspection. Reload Laptop RSS2,
06:00-06:10,FE-4,Morning Inspection. SM Caution & Warning Pane (ПСС) Test,
06:00-06:05,FE-5,Reading Reminder to film T2 Exercise,
06:00-06:05,FE-6,Reading REMINDER,
06:05-06:15,FE-5,Morning Inspection,
06:05-06:10,FE-6,Reading Reminder to film T2 Exercise,
06:10-06:40,CDR,Post-sleep,
06:10-06:25,FE-1,Biochemical Urine Test,
06:10-06:55,FE-2,Post-sleep,
06:10-06:25,FE-4,Post-sleep,
06:10-06:20,FE-6,Morning Inspection,
06:15-06:40,FE-5,Post-sleep.,
06:20-06:40,FE-6,Post-sleep.,
06:25-07:00,FE-1,Post-sleep,
06:25-06:40,FE-4,Biochemical Urine Test,
06:40-07:30,"CDR, FE-5",BREAKFAST,
