0,1,2,3,4,5
GMT,CREW,,,,
06:00-06:10,,Morning inspection,,,
06:10-06:40,,Post-sleep,,,
06:40-07:15,,BREAKFAST,,,
07:15-07:30,,Daily planning conference (S-band),,,
07:30-07:45,,BREAKFAST,,,
07:45-08:15,,Work prep,,,
,,FGB ИДЭ-2 smoke detector cleaning (location of needle cleaning accessories:,,,
08:15-11:15,,,,,
,,ИДЭ-2 or ФГБ1ПГО_4_412 in or ФГБ1ПГО_4_409_1 w. b. #II-2 248-16),,,
11:15-12:45,FE-1,Physical Exercise (TVIS) 2,,,
11:15-12:15,,Physical Exercise (RED),,,
,CDR,,,,
12:15-12:45,,EXPRESS Rack 3: Starting software upload,,,
12:45-12:50,FE-1,On MCC Go ISS O2 repress from Progress 354 СрПК (start),,,
12:50-13:50,,LUNCH,,,
13:50-14:10,CDR,EPO procedure review,,,
13:50-13:55,,ISS O2 repress using Progress 354 СрПК (terminate),,,
,FE-1,,,,
13:55-15:15,,Recharging СКВ1 with Khladon,,,
14:10-14:20,,Setting up camera for EPO,,,
14:20-14:40,CDR,ЕРО. Demonstration,,,
14:50-15:50,,MISSE3/4 collar install,,,
15:15-16:45,FE-1,Cleaning ВТ7 screen on ГЖТ4,,,
15:50-16:20,,СОЖ maintenance,,,
16:20-16:30,CDR,EXPRESS Rack 3: terminate Interface Controller software upload,,,
16:30-18:00,,Physical Exercise (TVIS),,,
16:45-16:55,,Taking readings from АОК ГАНК-4М gas analyzer,,,
16:55-17:15,FE-1,IMS update,,,
17:15-18:15,,Physical Exercise (VELO+RED) day 2,,,
18:00-18:05,,"Transferring TVIS, RED, and HRM data to MEC",,,
,CDR,,,,
18:05-18:35,,,,,
,,Daily plan review,,,
18:15-18:45,FE-1,,,,
18:35-18:50,CDR,VHF1 comm check (via DRY),,,
18:45-18:55,FE-1,Report prep,,,
18:55-19:10,,Daily planning conference (S-band),,,
19:10-19:30,,Report prep,,,
19:30-20:00,,DINNER,,,
20:00-20:30,FE-1,Daily food prep,,,
20:00-20:30,CDR,Daily food prep,,,
20:30-21:30,,Pre-sleep,,,
,,,,,
21:30-06:00,,SLEEP,,,
GMT,CREW,,,,
,CDR,Morning inspection.,,,
06:00-06:10,,Morning inspection. Morning inspection. Inspection of Circuit Breaker [АЗС] on,,,
,FE-1,,,,
,,"DC1 Power Switch Panel (БВП) and fuses in DC1 Fuse Boxes БПП-30, БПП-36",,,
06:10-06:40,,Post-sleep,,,
06:40-07:30,,BREAKFAST,,,
07:30-07:40,,Work prep,,,
07:40-07:55,,Daily planning conference (S-band),,,
07:55-08:15,,Work prep,,,
08:15-08:25,FE-1,NOA (ESANO1). Hardware setup and activation. Tagup as necessary (S-band),,,
08:15-11:15,CDR,Preventive maintenance of SM ventilation system. Groups B and C. Terminate.,,,
08:25-08:45,,Cleaning БВН [Fan With Heater] screen in Soyuz,,,
,,NOA (ESANO1). Measurements and close out ops. Tagup as necessary (S-band,,,
08:55-09:20,,,,,
,FE-1,),,,
09:20-09:30,,NOA (ESANO1). Data dump from RSE Laptop via БСР-ТМ,,,
09:30-11:25,,Progress 354 transfers with IMS updates,,,
11:15-11:25,,CWC inventory,,,
,CDR,,,,
11:25-12:25,,Physical Exercise (TVIS),,,
11:25-12:25,,Physical Exercise (VELO+RED) day 4,,,
,FE-1,,,,
12:25-12:30,,On MCC Go ISS O2 repress from Progress 354 СрПК (start),,,
12:30-13:30,,LUNCH,,,
13:30-13:35,FE-1,ISS O2 repress from Progress 354 СрПК (terminate),,,
13:30-13:45,CDR,Food questionnaire,,,
13:35-15:10,FE-1,Progress 354 transfers with IMS updates,,,
13:45-14:00,,Rebooting all PCS (weekly),,,
14:00-14:05,,Rebooting OCA SSC router,,,
14:05-14:10,,Carbon dioxide monitoring,,,
,CDR,,,,
14:10-14:25,,Volatile Organic Analyzer (VOA) Training Video,,,
14:25-14:40,,Tagup with specialists before VOA maintenance (S-band),,,
14:40-15:10,,СОЖ maintenance,,,
15:10-16:40,,IFM LAB1D4 (CHeCS) RACK AAA cleaning,,,
16:40-17:00,FE-1,IMS update,,,
16:40-18:10,CDR,Physical Exercise (RED),,,
17:00-18:30,FE-1,Physical Exercise TVIS-4ay 4,,,
18:10-18:30,CDR,Daily plan review,,,
18:30-18:45,,Daily planning conference (S-band),,,
18:45-19:00,FE-1,,,,
,,Daily plan review,,,
18:45-18:55,CDR,,,,
18:55-19:00,CDR,"Transferring TVIS, RED, and HRM data to MEC",,,
19:00-19:30,,Report prep,,,
19:30-20:00,,DINNER,,,
20:00-20:30,Daily food prep,,,,
20:30-21:30,Pre-sleep,,,,
21:30-06:00,SLEEP,,,,
GMT,CREW,ACTIVITY,,,
06:00-06:10,.,Morning inspection,,,
06:10-06:40,Post-sleep,,,,
06:40-07:30,BREAKFAST,,,,
09:00-09:20,FE-1,Search for and adjust Training Harness for TVIS exercise,,,
09:20-10:50,Physical Exercise (TVIS) Day 3,,,,
10:50-12:20,CDR,Physical Exercise (TVIS),,,
12:20-13:00,FE-1,Filling EDV [KOB] for Elektron. Tagup with specialists (S-band),,,
12:20-13:20,CDR,Physical Exercise (RED),,,
13:00-13:30,FE-1,СОЖ maintenance.  Check ИП-1 position,,,
13:30-14:30,.,LUNCH,,,
14:30-14:35,FE-1,Activate the Repeater Mode on the Sputnik-SM Ham Radio,,,
14:40-15:10,.,Weekly planning conference (S-band),,,
15:10-15:25,FE-1,Private medical conference (Ku + S-band),,,
15:30-15:45,Physical training tagup (VHF),,,,
16:45-17:00,CDR,Private medical conference (Ku + S-band),,,
17:10-18:10,FE-1,Physical Exercise (VELO+RED) Day 3,,,
18:10-18:15,CDR,"Transferring TVIS, RED, and HRM data to MEC",,,
