0,1,2,3,4
GMT,CREW,,ACTIVITY,
06:00-06:10,"FE-1, FE-2",,Morning Inspection,
06:00-06:05,FE-5,,PROK- PH Urine Test,
06:00-06:05,FE-4,,Elektron-VM Aerosol Filter Inspection,
06:00-06:05,"CDR, FE-6",,Self-test,
06:05-06:10,FE-5,,Self-test,
06:05-06:10,"CDR, FE-4,FE-6",,Morning Inspection,
06:10-06:40,"CDR, FE-6",,Post-sleep,
06:10-06:20,"FE-4, FE-5",,Post-sleep,
06:10-06:20,"FE-1, FE-2",,Hematocrit  Test,
06:20-06:30,"FE-4, FE-5",,Hematocrit  Test,
06:20-06:40,FE-2,,Post-sleep,
06:20-06:30,FE-1,,Post-sleep,
06:30-06:35,FE-1,,Hematocrit  Equipment Stowage,
06:30-06:40,"FE-4, FE-5",,Post-sleep,
06:35-07:30,FE-1,,BREAKFAST,
06:40-07:30,"CDR, FE-2,FE-4, FE-5,FE-6",,BREAKFAST,
07:30-07:45,FE-6,,Prep for Work,
07:30-07:50,"CDR, FE-1,FE-2, FE-4,FE-5",,Prep for Work,
07:45-07:50,FE-6,,Set up video equipment to film ARED exercise,
07:50-08:15,,,Daily Planning Conference (S-band),
08:15-09:15,"CDR, FE-5,FE-6",,Crew Handover,
08:15-09:15,FE-2,,ARED Physical Exercise,
08:15-09:45,FE-4,,"Physical Exercise (TVIS), day 1",
08:15-08:25,FE-1,,BAR. Terminate Kelvin Charging,
08:25-10:25,FE-1,,BAR. Taking Kelvin-video measurements in MRM2. Data downlink Tagup withspecialists (S-band),
09:15-10:15,FE-5,,Crew time for ISS adaptation and orientation,
09:15-09:20,CDR,,MEAS Experiment Unit Attachment to CBEF IU MICRO-G,
09:15-10:45,FE-6,,ARED Physical Exercise,
09:20-09:25,CDR,,MEAS Exp Unit Attachment to CBEF IU MICRO-G,
09:25-09:35,CDR,,T2 Tool Search,
09:40-10:00,FE-2,,ECLIPSE-BEACON [ТЕНЬ-МАЯК] Sequence setup and start,
09:45-10:45,CDR,,Physical Exercise (CEVIS),
09:45-10:00,FE-4,,Private Family Conference (Ku + S-band),
10:00-13:00,"FE-2, FE-4",,"EVA-27 procedures and preliminary timeline review, watching DVD /",
10:25-11:55,FE-1,,"Physical Exercise (TVIS), day 4",
10:45-11:45,FE-6,,Crew time for ISS adaptation and orientation,
10:45-12:15,CDR,,ARED Physical Exercise,
10:55-11:55,FE-5,,Physical Exercise (CEVIS),
11:55-12:55,FE-5,,US Sound Level Meter (SLM) Setup and Acoustic Survey,
12:00-12:20,FE-1,,БСПН Software Upgrade on БСПН HDD Primary Partition /,
