0,1,2,3
TIME,CREW,,
06:00-06:10,"CDR,FE-3, FE-4,FE-5",Morning inspection,
06:00-06:05,FE-6,Reaction Self-test,
,,Morning inspection.,
06:00-06:10,FE-2,"RSS1,2 reboot",
,,Laptop RS1(2) reboot,
06:05-06:10,FE-6,Morning inspection,
06:10-06:40,"CDR,FE-2,FE-3,FE-4,FE-5,FE-6",Post-sleep,
06:40-07:30,"FE-2,FE-3,FE-4,FE-5, FE-6",Morning meal.,
06:40-07:30,CDR,Morning meal. ПСС СМ c/o (after breakfast),
07:30-07:35,FE-6,SERV – opening Lab window shutter,
07:30-07:35,FE-3,"BIOME – check-up, question 1",
07:35-08:05,FE-2,SEYSMOPROGNOZ. МКСД performance monitoring. Specialist conference,
08:30-08:40,FE-2,URAGAN. НА ФСС battery charge up (start),
09:30-09:45,FE-3,ARED Exercise,
10:00-11:00,FE-6,T2 exercise,
11:00-12:30,CDR,ARED exercise,
11:00-12:00,FE-3,T2 exercise,
11:40-12:10,FE-2,URAGAN. Use НА ФСС for observation and photography,
12:30-13:00,"CDR,FE-2, FE-4",Greetings Video Recording,
13:00-14:00,.,Midday meal,
14:00-14:30,CDR,NAPOR – mini РСА. Photograph volume behind panel 428 Specialist Tag-up.,
14:00-14:40,FE-4,СОЖ maintenance,
14:40-15:10,FE-2,Pre-EVA-37 КВД and КСД valve grid vacuuming,
15:10-16:40,FE-4,БД-2 (2) exercise,
15:20-16:50,FE-5,ARED exercise,
16:10-16:25,FE-6,Private Family Conference,
16:40-18:10,FE-2,БД-2 (1) exercise,
16:50-18:20,FE-6,ARED exercise,
16:50-17:50,FE-5,CEVIS exercise,
17:55-18:10,FE-5,Private Family Conference,
18:10-19:10,FE-2,VELO-1 exercise,
18:10-19:10,CDR,БД-2-2 exercise,
19:10-19:20,"CDR,FE-2, FE-4",DPC (S-band),
19:20-19:30,FE-6,Closing USOS window shutter,
19:25-19:40,FE-3,Private Family Conference,
TIME,CREW,,
06:00-06:10,CDR,"Morning Inspection. Laptop RS1(2) Reboot RSS1,2 Reboot",
06:00-06:10,FE-4,Morning Inspection. SM ПСС [Caution & Warning Panel] Test,
,,Morning Inspection.,
06:00-06:10,FE-2,Inspection of СМ-У connector on МНР-НС separator pump behind АСУ,
,,panel 139,
06:00-06:10,"FE-3, FE-5",Morning Inspection,
06:00-06:05,FE-6,REACTION - Self-Reaction Test,
06:05-06:15,FE-6,Morning Inspection,
,"CDR, FE-2,",,
06:10-06:40,"FE-4, FE-3,",Post-sleep,
,FE-5,,
06:15-06:45,FE-6,Post-sleep,
,"CDR, FE-2,",,
06:40-07:30,"FE-4, FE-3,",BREAKFAST,
,FE-5,,
06:45-07:35,FE-6,BREAKFAST,
,"CDR, FE-2,",,
