0,1,2,3,4,5,6
GMT,Crew,Activity / ODF or R/G,,,,
06:00–06:10,,Morning inspection,,,,
06:10–06:40,,Post-sleep,,,,
06:40–07:30,,BREAKFAST,,,,
08:25–08:40,FE-1,????? ? . Earth observations / ?/? 658 + note,,,,
08:40–08:50,"FE-1, PLT",? ?????-??  System: Test of Smoke Detector (? ? ) No. 6 / ?/? 672,,,,
09:00–09:15,CDR,Deactivate FPP / Uplinked Procedures: OCA_1108B FPP ReactivationProcedures (25-Jan-01)/Steps 10 - 11,,,,
09:15–10:05,"FE-1,PLT (assist)","Cardio-? ? ? ?: setup experiment / ? ?  item 4.1, page 4-3",,,,
10:05–11:55,FE-1,"Cardio-? ? ? ?: conduct experiment / ? ?  item 4.2.1.1, page 4-12+ r/g",,,,
10:05–10:15,PLT (assist),,,,,
10:15–11:15,PLT,Physical exercise (IRED),,,,
11:15–11:55,PLT (assist),"Cardio-? ? ? ?: conduct experiment / ? ?  item 4.2.1.2, page 4-14",,,,
11:20–12:20,CDR,Physical exercise (TVIS),,,,
11:55–12:20,"FE-1,PLT (assist)","Cardio-? ? ? ?: finishing ops / ? ?  item 4.3, page 4-27",,,,
12:20–13:20,,LUNCH,,,,
16:30–18:00,CDR,Physical exercise (IRED),,,,
17:50–19:20,PLT,Physical exercise (TVIS-1),,,,
18:00–18:15,CDR,??? FPP / Uplinked Procedures: OCA_1108B FPP Reactivation Procedures (25-Jan-01) Steps 1-9,,,,
18:20–19:20,FE-1,Physical exercise (IRED-1),,,,
19:20–19:50,,DINNER,,,,
20:00–20:30,,Daily food ration prep,,,,
20:30–21:30,,Pre-sleep,,,,
21:30–06:00,,SLEEP,,,,
GMT,Crew,,Activity / ODF or R/G,,,
06:00–06:10,,Morning inspection,,,,
06:10–06:40,,Post-sleep,,,,
06:40–07:30,,BREAKFAST,,,,
07:30–08:00,,Work prep,,,,
08:00–08:30,CDR,IWIS Shutdown / SODF; ASSEMBLY OPERATIONS ISS-4A: IWIS,,,,
08:00–10:10,PLT,,,,,
,,Stow disposable equipment in Progress using IMS / r/g 538,,,,
08:00–11:00,FE-1,,,,,
08:30–08:50,CDR,"Activate floating potential probes (FPP) / ÎÑÀ_1108B steps 1-4, 7-9",,,,
08:50–09:05,CDR,Food questionnaire / OCA_1116 item 7,,,,
09:20–10:10,CDR,Stow disposable equipment in Progress using IMS / r/g 538,,,,
10:10–11:10,PLT,Physical exercise (IRED-1),,,,
10:10–11:10,CDR,Physical exercise (TVIS),,,,
11:00–12:15,FE-1,Physical exercise (TVIS-1),,,,
11:20–12:15,CDR,Disconnect QD connectors in Node 1 ITCS / ÎÑÀ_1048,,,,
11:46–11:55,PLT,Private medical conference,,,,
12:15–13:10,,LUNCH,,,,
13:12–13:30,,ISS-1/ISS-2 crew conference via OCA,,,,
13:30–14:30,CDR,Test CMG heaters using DAT laptop / OCA_0651,,,,
13:30–16:00,FE-1,,,,,
13:30–14:50,,Stow disposable equipment in Progress using IMS / r/g 538,,,,
,PLT,,,,,
15:06–16:00,,,,,,
14:50–15:15,PLT,Monitor ÏÑÑ test,,,,
14:30–14:50,CDR,Test RAMV in Node 1 / ÎÑÀ_1170,,,,
14:52–15:05,CDR,Private medical conference via ÎÑÀ,,,,
15:05–16:35,CDR,Physical exercise (IRED),,,,
,"PLT, FE-1",,,,,
16:00–17:00,,Evaluation of physical fitness on TVIS (Òî=16:21) / r/g 529,,,,
,(assist.),,,,,
17:02–17:17,,PAO event / ÎÑÀ_1232,,,,
