0,1,2,3,4,5
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–07:50,Work prep,,,,
07:50–08:05,Morning DPC (S-band),,,,
08:10–08:20,CDR,PAO setup,,,
08:20–08:35,Increment 4 payload status check,,,,
08:20–09:15,FE-2,Review of updated EVA procedures,,,
08:35–09:35,CDR,Replacement of 3 Interface Modules for Induction Pressure Sensors (??? ),,,
08:45–10:15,FE-1,Physical exercise (RED),,,
09:15–10:15,FE-2,Physical exercise (TVIS),,,
09:35–09:45,CDR,Demating of ??? ?? ? -connector,,,
09:45–11:15,Replacement of 3 Interface Modules for Induction Pressure Sensors (??? ),,,,
10:15–11:15,FE-1,Physical exercise (TVIS),,,
10:15–11:45,FE-2,Physical exercise (RED),,,
11:15–11:25,CDR,Mating of ??? ?? ? -connector to ????2-12,,,
11:25–12:25,Physical exercise (cycle-2),,,,
11:45–12:00,FE-2,Private medical conference (S-band),,,
12:00–12:20,EMU battery charge from PSA socket (start) (to 20 hrs),,,,
12:00–12:15,FE-1,Private medical conference (S-band),,,
12:20–13:05,"FE-1, FE-2",EMU procedure review (wrist-worn cue cards),,,
12:40–12:55,CDR,Private medical conference (S-band),,,
13:05–14:05,,LUNCH,,,
14:05–14:17,Prep for PAO media event,,,,
14:17–14:32,Downlink for Houston Livestock Show and Rodeo / ESPN (S-Ku-band),,,,
14:55–15:55,"FE-1, FE-2",Joint Airlock pre- and post-EVA config OBT,,,
14:55–15:35,CDR,IMS file prep,,,
15:35–17:05,Physical exercise (TVIS+IRED day 2),,,,
15:55–16:55,"FE-1, FE-2",EMU C&W training,,,
16:55–17:55,EMU service cooling umbilical installation / removal of non-EVA items,,,,
17:05–17:45,CDR,Maintenance of ? ? ?,,,
17:45–18:25,Prep for ? ? -21. Power supply charge and CRYOGEM activation,,,,
17:55–18:25,"FE-1, FE-2",Joint Airlock EVA config,,,
18:25–18:55,Work prep,,,,
18:25–18:40,CDR,Daily plan review,,,
18:40–18:55,Report prep,,,,
18:55–19:10,,Daily planning conference (S-band),,,
19:10–19:30,Conference with MCC FCT: 8A R2 S/W load,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:55,FE-1,Post-sleep,,,
06:10–06:40,"CDR, FE-2",,,,
06:40–06:50,FE-2,MO-8: setup,,,
,CDR,MO-7: Calf volume measurement,,,
06:50–07:05,MO-8: Body mass measurement,,,,
06:55–07:05,FE-1,MO-7: Calf volume measurement,,,
07:05–07:20,MO-8: Body mass measurement,,,,
07:10–07:20,FE-2,MO-7: Calf volume measurement,,,
07:20–07:35,MO-8: Body mass measurement,,,,
07:20–07:30,CDR,Checkout of ? ?0501 Gas Analyzer using ? ?3 Gas Meter control readings,,,
07:30–08:20,FE-1,BREAKFAST,,,
08:05–08:10,IV-CPDS power cycle,,,,
07:30–07:45,CDR,Regeneration of ? 1 absorption bed in ?? ?  (init),,,
07:35–07:45,FE-2,MO-8: concluding ops,,,
07:45–08:20,"CDR, FE-2",BREAKFAST,,,
08:20–08:35,,Daily planning conference (S-band),,,
08:35–09:05,Prep for work,,,,
09:05–09:35,CDR,Maintenance of ? ? ?,,,
09:30–10:15,FE-1,On-board Hearing Assessment (OHA): h/w setup,,,
10:15–10:30,UF1 payload status check,,,,
10:15–10:45,FE-2,IMS file prep,,,
10:15–10:35,CDR,On-board Hearing Assessment (OHA),,,
10:35–11:05,FE-1,EPO procedure familiarization,,,
10:40–12:10,CDR,Physical exercise (TVIS+RED day 1),,,
10:45–11:05,FE-2,On-board Hearing Assessment (OHA),,,
11:05–11:25,FE-1,,,,
11:05–11:35,FE-2,EPO procedure familiarization,,,
11:25–12:10,FE-1,On-board Hearing Assessment (OHA): concluding ops,,,
11:35–12:35,FE-2,Physical exercise (TVIS),,,
12:10–13:10,"CDR, FE-1",LUNCH,,,
12:35–13:35,FE-2,,,,
13:10–14:10,CDR,Replacement of ??? Pretreat And Water Dispenser (? ???),,,
13:10–13:40,FE-1,EPO: camcorder setup,,,
13:40–15:10,"FE-1, FE-2",EPO: use of tools in microgravity demonstration,,,
14:15–14:55,CDR,Replacement of pipeline 5182-03 in ???,,,
14:55–16:15,Replacement of ? -? hose (???-? ? ??) and ?-? tank,,,,
