0,1,2,3,4
GMT,,CREW,,ACTIVITY
21:15-21:25,,"FE-4, FE-5",,Morning Inspection
21:15-21:20,,FE-1,,Elektron-VM Aerosol Filter Inspection
21:15-21:20,,"CDR, FE-6",,SLEEP Data Log Entry
21:20-21:25,,"FE-1, CDR,FE-6",,Morning Inspection
21:25-21:55,,,,Post-sleep
21:55-22:50,,FE-6,,BREAKFAST
21:55-22:45,,"FE-1, FE-4,FE-5",,
21:55-22:05,,CDR,,
22:05-23:05,,CDR,,Physical Exercise (CEVIS)
22:45-22:50,,FE-5,,D2XS Battery Recharge
22:45-23:05,,"FE-1, FE-4",,Work Prep
22:50-23:05,,FE-6,,Work Prep
22:50-23:05,,FE-5,,Work Prep
23:05-23:20,,"FE-1, FE-4,CDR, FE-6,FE-5",,Daily Planning Conference (S-band)
23:20-23:40,,FE-6,,Work Prep
23:20-00:00,,FE-1,,PLANTS-2. Plant sample collection
23:20-00:20,,FE-5,,ARED Rack Transfer Prep
23:35-00:00,,CDR,,BREAKFAST
23:40-01:10,,FE-6,,Physical Exercise T 2
23:55-00:20,,FE-4,,ARED Rack Transfer Prep
00:00-00:40,,FE-1,,"IZGIB-DAKON. Data Downlink, Reboot Hardware"
00:00-00:15,,CDR,,Node 3 Leak Check Termination
00:15-02:10,,"MS2,CDR",,NODE 3 Vestibule Outfitting  Part 1
00:20-01:00,,FE-4,,Network connection adapter (АСП) Installation
00:45-01:00,,FE-1,,Switch VOZDUKH to Automatic Control Mode
01:00-01:30,,"FE-1, FE-4",,БРИ and Cable Installation
01:05-01:15,,FE-5,,Terminate EHS GC/DMS Ops
01:10-02:10,,FE-6,,Physical Exercise (CEVIS)
01:30-02:10,,FE-1,,СОЖ Maintenance
01:30-02:30,,FE-4,,Connecting Cables to БРИ
01:35-01:45,,FE-5,,Water Recovery System (WRS) Urine Pretreat Assembly (UPA) Fill
01:45-01:55,,FE-5,,Post-EVA D2XS Camera Reconfig
01:55-02:00,,FE-5,,Photo/TV Hatch Video Setup
02:00-02:50,,FE-5,,Node 3 IMV Installation
02:10-02:20,,CDR,,Node 3 Atmosphere Sampling Operations after Hatch Opening
02:10-02:35,,FE-6,,SODF Emergency Book Deployment
02:20-02:30,,CDR,,Positive Pressure Relief Valve Cap Installation
02:30-04:00,,FE-4,,Cable installation to БСК
02:35-02:50,,FE-6,,Preparation for EVA
02:35-04:10,,CDR,,Node 3 Vestibule Outfitting Part 2
02:50-03:00,,FE-5,,PEPS Unstow
02:50-03:20,,FE-6,,Node 3 Ops
03:00-03:35,,FE-5,,Portable Emergency Provisions (PEPS) Installation
03:15-04:15,,FE-1,,Physical Exercise T2 (-2)
03:20-03:35,,FE-6,,Inspection Maneuver
03:35-05:15,,FE-6,,HYZOD. Cover Install
03:35-04:10,,FE-5,,Rack Hardware Installation
04:00-04:40,,FE-4,,СБИ cable Installation (for БРИ and АСП)
04:10-04:15,,CDR,,Camcorder Prep
04:15-05:15,,FE-5,,Physical Exercise (T2)
04:15-05:15,,CDR,,LUNCH
04:45-05:45,,"FE-1, FE-4",,LUNCH
05:15-07:15,,CDR,,Node 3 Vestibule Outfitting Part 2
05:15-06:15,,"FE-5, FE-6",,LUNCH
05:45-06:45,,FE-1,,PLANTS-2.  Progress Hardware Transfers and Preparation for Installation
05:45-06:00,,FE-4,,Switching Vozdukh to manual mode (Mode 5)
06:10-06:25,,FE-4,,Verify ИП-1 Flow Meter Configuration
06:15-06:20,,FE-5,,EHS GC/DMS Ops Terminate
06:15-07:15,,CDR,,Physical Exercise (CEVIS)
06:15-06:25,,FE-6,,QD Transfer
06:20-06:25,,FE-5,,Photo/TV hardware set up for ARED Transfer
