0,1,2,3,4,5,6,7
GMT,Crew,,Activity,,,,
06:00-06:05,CDR,Reaction Self-test,,,,,
06:00-06:10,FE-1,Morning Inspection. Laptop RS2(1) Reboot,,,,,
06:00-06:10,FE-4,Morning Inspection. Testing C&W panel in SM,,,,,
06:00-06:10,"FE-5,FE-6",Morning Inspection,,,,,
06:00-06:10,FE-2,Morning Inspection RSS2 Reboot,,,,,
06:05-06:10,CDR,Morning Inspection,,,,,
06:10-06:40,.,Morning Inspection,,,,,
06:40-07:30,.,Breakfast,,,,,
07:30-07:55,.,Daily Planning Conference (S-band),,,,,
07:55-08:10,CDR,Work Prep,,,,,
07:55-08:15,"FE-1,FE-2",Work Prep,,,,,
07:55-08:05,FE-4,Work Prep,,,,,
07:55-08:05,FE-5,MSG- Visual Inspection of Hardware,,,,,
07:55-08:10,FE-6,PHS Hardware Setup,,,,,
08:05-08:35,FE-4,LCS. RSE-LCS Laptop activation to start recording,,,,,
08:05-08:50,FE-5,CSLM2- hardware assembly,,,,,
08:10-08:25,CDR,Periodic Health Status Evaluation - Subject,,,,,
08:10-08:25,FE-6,Periodic Health Status Evaluation – Assist,,,,,
08:15-09:20,FE-1,Life on ISS – Photo/ Video,,,,,
08:15-09:35,FE-2,Return to ISS ROS Nominal Network Configuration Tagup with specialists. (S-band),,,,,
08:25-08:45,CDR,Periodic Health Status (PHS) Evaluation Data Entry and Hardware Stow,,,,,
08:25-09:55,FE-6,SPHERES – Activation and Video Recording,,,,,
08:35-09:35,FE-4,Physical Exercise (T2) – Day 1,,,,,
08:45-09:35,CDR,CRU – Prep for SW installation,,,,,
08:50-10:35,FE-5,CSLM2 – Hardware Installation and Cable Connection,,,,,
09:20-09:35,FE-1,On MCC go. Regeneration of Micropurification unit (БМП) Ф1cartridge (begin),,,,,
09:35-10:05,CDR,Return to Nominal Network Config on USOS,,,,,
,FE-2,"TV ISS-MCC Video Greetings downlink То= 09:40, Т1,T2,T3 from СПП",,,,,
09:35-10:15,,,,,,,
,"FE-1,FE-4",TV ISS-MCC Video Greetings downlink,,,,,
09:55-12:55,FE-6,SPHERES – Camera Setup and Video Recording,,,,,
10:05-11:05,CDR,Physical Exercise - T2,,,,,
10:15-11:50,FE-2,Crew Support Sub. Network reconfig and testing Tagup with specialists. (S-band),,,,,
10:20-11:50,FE-1,Cleaning of ВТ-7 heat exchanger fan mesh screens on ГЖТ4,,,,,
