0,1,2,3
,,conference (S-band),
08:25-08:50,FE-6,MEDAKA - Sample Exchange,
08:25-09:55,FE-3,ARED Exercise,
08:25-08:40,"CDR, FE-2, FE-4",IMS Tagup (S-band),
,,"CASKAD. Removal from ТБУ-В No. 04 (+4 deg), ТБУ-В No. 04",
08:40-09:35,FE-2,adjustment (+ 26 deg) and placement in the Glovebox. Tagup with,
,,specialists (S-band),
08:40-10:00,FE-4,"VIRTUAL. Setup, Conduct Experiment and Closeout Ops",
08:45-08:50,FE-5,Camcorder setup to capture T2 exercise,
08:50-08:55,FE-6,SHD - Weekly Questionnaire,
08:50-09:45,FE-5,T2 Exercise,
08:50-09:35,CDR,ASEPTIC. Photography of Medium before the experiment. Tagup with specialists (S-band),
09:10-09:15,FE-6,USND2 - Hardware activation,
09:35-09:50,CDR,ASEPTIC. Placement in the GB,
09:35-09:45,FE-2,ASEPTIC Experiment Photography,
09:40-09:50,FE-6,Ultrasound - Scanning Prep,
09:45-10:10,FE-2,URAGAN. Observation and Photography using Photo Spectrum System,
09:50-10:30,FE-6,Ultrasound Scan - Subject,
09:50-09:55,CDR,ASEPTIC Box Sterilization Activation,
09:50-10:30,FE-5,Ultrasound Scan - Operator,
09:55-10:25,CDR,ASEPTIC Photo Edit and Downlink,
10:00-10:55,FE-3,T2 Exercise,
10:05-11:05,FE-4,Kulonovskiy Kristall Experiment Ops,
10:10-12:10,FE-2,ТГК 421 Progress (SM Aft) Rodnik БВ 1 Tank 1bladder compression,
10:25-10:55,CDR,ASEPTIC. Cryogem-03 Refrigerator Setup and Activation at + 37 C setting,
10:30-10:35,FE-6,Ultrasound Post Exam Ops,
10:30-12:00,FE-5,ARED Exercise,
10:35-10:45,FE-6,Ultrasound Data Export,
10:55-11:05,CDR,ASEPTIC Repositioning Equipment in the Box,
11:05-11:25,FE-6,WHC Fill,
11:05-12:05,CDR,"БД-2 Exercise, Day 2",
11:10-12:10,FE-4,"VELO Exercise, Day 2",
11:10-11:30,FE-3,MELF2 Battery Changeout,
11:35-12:40,FE-6,Cardiac Scan - Subject,
12:00-13:00,FE-3,SAMS-CU -  Photo Download,
12:00-12:25,FE-5,OH - Assistance in performing cardiac scan and blood pressure measurement,
12:05-12:10,CDR,ASEPTIC Box Sterilization Deactivation,
12:10-12:25,FE-4,CASCADE Photography,
12:10-13:10,CDR,LUNCH,
,,"CASKAD. Fill Bioreactor, Remove from the Glovebox-S, and Setup in",
12:10-13:10,FE-2,ТБУ-В No. 04 at +26 deg C. Photography.  Tagup with specialists (S-,
,,band),
12:25-13:25,FE-4,LUNCH,
12:25-13:05,FE-5,ARED - Cable R&R,
12:40-13:00,FE-3,Move contents from two LAB locations in preparation for SpX-3 CPCG-HM installations,
12:50-13:15,FE-6,MEDAKA - Sample Exchange,
13:00-14:00,FE-3,LUNCH,
13:05-13:15,FE-5,Ham Radio Deactivation,
13:10-13:50,CDR,ASEPTIC. Surface Sampling and Beginning of Air Sampling Before Sterilization. Tagup with specialists (S-band),
13:10-14:10,FE-2,LUNCH,
13:15-14:15,"FE-5, FE-6",LUNCH,
13:25-13:35,FE-4,ASEPTIC Experiment Photography,
13:35-14:05,FE-4,KULONOVSKIY KRISTALL. File Preparation and Downlink / r/g 4771,
,,Installation of Local Temperature Sensor Switching Unit (ЛКТ) No.,
13:50-14:50,CDR,"1417726329 and ROM No. 1417726937 (СМ1РО_3_314_1, bag 353-8",
,,(00037141R)) in ТКГ 422 (DC1),
14:00-14:05,FE-3,SHD - Weekly Questionnaire,
14:05-14:20,FE-3,IMS and Stowage Conference,
14:05-14:25,FE-4,FGB-Power Data Grapple Fixture Cable Resistance measurement - Preparation,
14:10-14:50,FE-2,IDENTIFIKATSIYA. Copy ИМУ-Ц micro-accelerometer data to laptop,
14:15-14:20,FE-5,SHD - Weekly Questionnaire,
14:15-14:20,FE-6,PPS - Transfer,
14:20-17:05,FE-3,SODI Equipment Stow,
14:20-14:35,FE-5,Annual Test of Columbus SUPs 120V DC Power Outlets,
14:25-15:25,"FE-4, FE-6",FGB-Power Data Grapple Fixture Cable Resistance measurement,
14:35-15:15,FE-5,RGN REC-TNK - Recycle Tank Quick Disconnect (QD) Reconfig,
15:20-16:40,CDR,ARED Exercise,
15:15-15:25,FE-5,HAM Radio Power Up,
15:25-15:45,FE-2,IMS Update,
15:25-15:45,FE-4,FGB-Power Data Grapple Fixture Cable Resistance measurement - Closeout Ops,
15:25-16:25,FE-5,SPHERES - Camera Setup and Video Recording,
15:25-15:40,FE-6,USND2 - Close-out Ops and Stowage,
15:40-15:45,FE-6,Photo/TV Camcorder Setup Verification,
15:45-16:45,FE-2,"VELO Exercise, Day 1",
15:45-17:15,FE-4,"БД-2 Exercise, Day 2",
15:45-16:40,FE-6,T2 Exercise,
11:05-12:30,FE-5,NANO - Installation and Activation of Platform-2 Tool,
11:15-11:25,CDR,SEINER. FSS Battery Charge (start),
11:15-12:45,FE-4,"БД-2 Exercise, Day 2",
11:25-11:30,CDR,TERMO-LADA. Visual Inspection of Hardware Operation,
11:35-12:35,FE-2,"VELO Exercise, Day 1",
11:55-12:05,FE-6,USOS Window Shutter Close,
12:05-13:05,FE-3,T2 Exercise,
12:05-13:35,FE-6,ARED Exercise,
12:30-12:50,FE-5,NANO - Hardware Setup and Checkout,
12:35-13:35,"CDR,FE-2",LUNCH,
12:45-13:45,FE-4,LUNCH,
13:00-14:00,FE-5,LUNCH,
13:05-14:05,FE-3,LUNCH,
