0,1,2,3,4,5
,,,,,
Radiogram No. 4424u,Form 24 for 01/01/07,,,,
CREW OFF-DUTY,,,,,
GMT CREW,ACTIVITY,,,,
,Morning inspection. Inspection of circuit breaker [АЗC] on DC1 Power,,,,
06:00-06:10 .,,,,,
,"Switch Panel (БВП) and fuses on БПП-30, БПП-36 in DC1",,,,
06:10-06:40 .,Post-sleep,,,,
06:40-07:30 .,BREAKFAST,,,,
11:00-11:05 CDR,TVIS Weekly Maintenance,,,,
11:05-12:35 CDR,Physical Exercise (TVIS + CEVIS),,,,
11:25-12:55 FE-1,"Physical Exercise (TVIS), day 2",,,,
12:00-13:00 FE-2,Physical Exercise (RED),,,,
12:55-13:00 FE-1,On MCC Go ISS O2 repress from Progress 357 СрПК (start),,,,
13:00-14:00 .,LUNCH,,,,
14:00-14:05 FE-1,ISS O2 repress from Progress 357 СрПК (terminate),,,,
14:05-14:35 FE-1,СОЖ maintenance,,,,
15:15-16:15 CDR,Physical Exercise (RED),,,,
16:10-17:10 FE-1,Physical Exercise (VELO+RED) day 2,,,,
16:25-17:55 FE-2,Physical Exercise (CEVIS),,,,
16:58-17:13 CDR,Private Family Conference (S-band),,,,
17:55-18:00 FE-2,Payload status check,,,,
18:00-18:15 FE-2,Questionnaire - journal entry,,,,
18:10-18:15 CDR,Transfer TVIS/RED/CEVIS/HRM data to MEC,,,,
18:15-18:45 .,Evening work prep,,,,
18:45-19:00 .,Daily Planning Conference (S-band),,,,
19:00-19:30 .,Evening work prep,,,,
19:30-20:00 .,DINNER,,,,
20:00-20:30 .,Daily Food Prep,,,,
20:30-21:30 .,Pre-sleep,,,,
21:30-06:00 .,SLEEP,,,,
Task List FE-1,Sigma s/w application adjustment,,,,
GMT,CREW,ACTIVITY,,,
08:30-08:40,,Morning Inspection,,,
08:40-09:10,,Post-sleep,,,
09:10-10:00,,BREAKFAST,,,
10:00-10:15,,Prep for Work,,,
10:15-10:30,,Daily Planning Conference (S-band),,,
10:30-11:00,FE-2,SAFER CBT - setup,,,
10:30-10:40,"CDR, FE-1",Prep for Work,,,
10:40-10:45,CDR,Payload status check,,,
10:40-12:40,FE-1,"Installation of vibration isolators, mufflers and replacement of brackets forfan ВПО8. Tagup (S-band)",,,
10:45-11:00,CDR,FQD Trainer Installation,,,
11:00-11:30,CDR,SAFER CBT,,,
11:00-11:20,FE-2,Prep for Work,,,
11:20-11:50,FE-2,СОЖ Maintenance.,,,
11:30-12:30,CDR,Physical Exercise (RED),,,
11:50-12:20,FE-2,SAFER CBT,,,
12:20-12:45,FE-2,SAFER CBT - stowage,,,
12:30-14:00,CDR,Physical Exercise (TVIS + CEVIS),,,
12:40-14:00,FE-1,"Physical Exercise (TVIS), day 1",,,
12:45-13:45,FE-2,Physical Exercise (RED),,,
13:45-13:55,FE-2,PAO hardware setup,,,
14:00-14:10,FE-1,Crew prep for PAO,,,
14:00-14:05,FE-2,HAM radio setup,,,
14:05-14:10,FE-2,HAM radio session,,,
14:10-14:30,CDR,ODF Procedure Update,,,
14:10-14:35,FE-1,Test Session with Paris (Expolang-2007) (Ku + S-band),,,
14:15-14:35,FE-2,IMS Update,,,
14:35-15:05,,EMU C&W System Familiarization,,,
15:05-15:35,,Decompression sickness hardware familiarization (BTA),,,
15:35-16:35,,LUNCH,,,
16:35-16:40,CDR,PCS - reconnect,,,
16:35-18:35,FE-1,Installation of vibration isolators and replacement of brackets for fanВПО9. Tagup (S-band),,,
16:35-18:50,FE-2,EVA timeline review,,,
16:40-18:50,CDR,EVA timeline review,,,
18:35-19:35,FE-1,Physical Exercise (VELO+RED) day 1,,,
18:50-19:35,"CDR, FE-1",EVA tagup with MCC (S-band),,,
19:35-21:05,FE-2,Physical Exercise (CEVIS),,,
19:35-20:55,"CDR, FE-1",EVA Drill - interaction discussion,,,
20:55-21:35,FE-1,Report prep,,,
21:00-21:35,CDR,Report prep,,,
21:05-21:10,FE-2,Transfer TVIS/RED/CEVIS/HRM data to MEC,,,
21:10-21:35,FE-2,Report prep,,,
21:35-21:50,,Daily planning conference (S-band),,,
21:50-22:00,,Report prep,,,
22:00-22:30,,DINNER,,,
22:30-23:00,,Daily food prep,,,
23:00-00:00,,Pre-sleep,,,
00:00-08:30,,SLEEP,,,
Task List,FE-1,Rasteniya-2. Payload status check,,,
ТБУ (Universal Bioengineering Thermostat). Temperature check,,,,,
GMT,CREW,,,,
08:30-08:40,,Morning Inspection,,,
08:40-09:10,,Post-sleep,,,
09:10-10:00,,BREAKFAST,,,
10:00-10:30,,Prep for Work,,,
10:30-10:45,,Daily Planning Conference (S-band),,,
10:45-11:00,,ISS crew and ГОГУ (RSA Flight Control Team) weekly conference (S-band),,,
11:00-11:30,"CDR, FE-2",SAFER CBT using CD,,,
11:00-11:15,FE-1,Taking readings from АОК ГАНК-4М gas analyzer,,,
11:15-11:30,FE-1,IMS tagup (S-band),,,
11:30-12:00,"CDR, FE-2",SAFER test,,,
11:30-13:00,FE-1,Progress 359 transfers and IMS updates,,,
12:00-12:30,"CDR, FE-2",METOX installation,,,
12:30-14:00,CDR,Physical Exercise (TVIS + CEVIS),,,
12:30-13:00,FE-2,VOA activation,,,
13:00-14:30,FE-1,"Physical Exercise (TVIS), Day 3",,,
13:15-14:15,FE-2,Physical Exercise (RED),,,
14:00-14:30,CDR,EMU helmet light installation,,,
14:25-14:30,FE-2,Checking VOA analyzer,,,
14:30-15:30,,EVA Decontamination Drill,,,
15:30-16:30,,LUNCH,,,
16:30-18:15,,EVA procedure review,,,
18:15-18:30,,ISS14 / МКС-15 Crew Handover Conference (S-band),,,
18:30-19:00,FE-1,СОЖ maintenance,,,
18:30-18:50,FE-2,IMS Update,,,
18:45-18:50,CDR,Payload status check,,,
18:50-19:00,CDR,O2 level check,,,
18:50-18:55,FE-2,OCA SSC router reboot,,,
18:55-19:00,FE-2,SSC file server reboot,,,
19:00-19:45,,EVA tagup with MCC (S-band),,,
19:45-20:45,CDR,Physical Exercise (RED),,,
