0,1,2,4
GMT,CREW,ACTIVITY,
06:00-06:10,"FE-1, FE-2",Morning Inspection,
06:00-06:20,CDR,Blood test using Portable Clinical Blood Analyzer (PCBA) - CMO,
06:10-06:40,"FE-1, FE-2",Post-sleep,
06:20-06:30,CDR,Morning Inspection,
06:30-07:00,CDR,Post-sleep,
06:40-07:30,"FE-1, FE-2",BREAKFAST,
07:00-07:30,CDR,BREAKFAST,
07:30-07:45,,Daily Planning Conference (S-band),
07:45-08:05,CDR,BREAKFAST,
07:45-08:05,FE-1,"Prep and TV downlink of A. F. Strekalov’s birthday greetings (То=07:40, Т1,Т2, Т3 activation from СПП)",
07:45-08:15,FE-2,Prep for Work,
08:05-08:35,CDR,Prep for Work,
08:15-09:20,FE-2,PMA3 Depress,
08:15-08:45,FE-1,Prep for Work,
08:35-08:45,CDR,Data input following blood test using Portable Clinical Blood Analyzer (PCBA),
08:45-08:55,CDR,PCBA Stowage after the test,
08:55-10:25,FE-1,"Progress 362 unloading and IMS updates. Provide access to containers III-3, III-4 (See Progress 362 Transfer Ops, 31, p.7)",
08:55-09:55,CDR,Physical Exercise (CEVIS),
09:20-10:20,FE-2,Progress 362 unloading and IMS updates,
09:55-11:25,CDR,Physical Exercise (RED),
10:20-10:40,FE-2,PMA3 leak check,
10:25-11:05,FE-1,СОЖ Maintenance,
10:40-11:10,FE-2,Progress 362 unloading and IMS updates,
11:05-13:35,FE-1,PROFILAKTIKA. Test exercise on TVIS. Tagup (S-band),
11:10-11:30,FE-2,PMA3 leak check closeout ops,
11:25-11:35,CDR,CWC audit,
11:35-12:05,FE-2,CDRA Removal,
11:35-13:35,CDR,CDRA Removal,
12:05-13:05,FE-2,Physical Exercise (CEVIS),
13:05-13:35,FE-2,CDRA Removal,
13:35-13:40,FE-1,On MCC Go ISS O2 repress from Progress 362 СрПК (start),
13:40-14:40,,LUNCH,
14:40-14:45,FE-1,ISS O2 repress from Progress 362 СрПК (terminate),
14:40-14:45,FE-2,PAO hardware setup,
14:45-14:55,,Crew prep for PAO,
14:55-15:15,,PAO event (S + Ku-band),
15:15-18:15,CDR,CDRA R&R,
15:15-16:15,FE-2,CDRA R&R,
15:15-18:15,FE-1,Urine Transfer from EDV-U to Progress Water Tank 1,
16:15-16:20,FE-2,BCAT-3. Camera checkout,
16:45-18:15,FE-2,Physical Exercise (RED),
18:15-18:20,FE-2,Transfer TVIS/RED/CEVIS/HRM data to MEC,
18:15-18:35,FE-1,IMS update,
18:20-18:45,CDR,Glove Box (MSG): video equipment set up,
18:20-18:45,FE-2,Evening work prep,
18:35-18:45,FE-1,Evening work prep,
