0,1,2,3,4
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning Inspection,,
06:10-06:40,Post-sleep,,,
06:40-07:30,BREAKFAST,,,
07:30-07:40,Prep for Work,,,
07:40-07:55,Daily Planning Conference (S-band),,,
07:55-08:15,"FE-1, FE-2",Prep for Work,,
08:00-11:35,CDR,CGSE Valve Unit Removal And Replacement,,
08:15-09:10,FE-1,ПК-3 PLUS. Plasma Chamber Evacuation. Tagup with specialists (S-band),,
08:25-08:35,FE-2,"Camcorder installation in Node 1, A/L, and LAB",,
08:35-08:45,G1 Camcorder configuration for ARED ops in Node 1,,,
08:45-10:15,Physical Exercise (ARED),,,
09:10-09:55,FE-1,ППК-3 PLUS. Software Installation. Tagup with specialists (S-band),,
09:55-10:25,ПК-3 PLUS. Copy Data and Download Log Files From the Experiment Box.Tagup with specialists (S-band),,,
10:25-11:05,Pressurize Spare Elektron Liquid Unit #056,,,
10:45-10:55,FE-2,Terminate EMU Metox Regeneration,,
10:55-11:05,Start EMU Metox Regeneration,,,
11:05-12:35,FE-1,МО-3. Physical Fitness Evaluation (on treadmill). Tagup with specialists (S-band),,
11:05-11:25,FE-2,PaRIS Umbilical Mate,,
11:25-12:25,Adjust PaRIS rack to center,,,
11:35-11:50,CDR,SAMS Initial Ghost Load Start,,
11:50-12:00,CDR Mid-Increment Questionnaire,,,
12:00-13:30,Physical Exercise (ARED),,,
12:25-12:30,FE-2,EXPRESS Rack 6 Potable Water Dispenser Iodinated Ambient Water flush.,,
12:30-13:00,OGS Waste Water Filter R&R,,,
12:35-13:15,FE-1,СОЖ Maintenance,,
13:15-14:15,"FE-1, FE-2",LUNCH,,
13:30-14:30,CDR,,,
14:15-14:20,FE-1,ПК-3 PLUS. Pressure Check,,
14:15-16:45,FE-2,EVA Tool Config,,
14:20-14:35,FE-1,Private Medical Conference (S + Ku-band),,
14:30-15:20,CDR,"Replacement of filters in FGB dust collectors ПС1, ПС2ФГБ1ПГО_2_224_1, bag 361, b/c 00044553R or ФГБ1ПГО_2_224-312_1, bag 358-9, b/c 00043385R).Update the IMS",,
14:35-17:05,FE-1,"ПК3 Panel ЭК9, ЭК10 Solenoid Valve Tests and Leak Check.Tagup withspecialists (S-band)",,
15:35-17:05,CDR,,,
15:20-15:35,CDR,Private Medical Conference (S + Ku-band),,
16:45-17:00,FE-2,Re-stow A/L and LAB camcorders,,
17:00-18:00,Physical Exercise (СЕVIS),,,
17:05-17:15,CDR,SAMS Initial Ghost Load Termination,,
17:05-18:05,FE-1,"Physical Exercise (VELO), day 4",,
17:15-18:05,CDR,Evening Work Prep,,
18:00-18:05,FE-2,HAM Radio Setup,,
18:05-18:10,FE-1,ПК-3 PLUS. Pressure Check,,
18:05-19:05,CDR,Physical Exercise (TVIS),,
18:05-18:15,FE-2,HAM Radio Session,,
18:10-18:30,FE-1,IMS Update,,
18:15-18:35,FE-2,Evening Work Prep,,
18:30-19:05,FE-1,,,
18:35-18:50,FE-2,Private Medical Conference (S + Ku-band),,
18:50-19:05,Evening Work Prep,,,
19:05-19:20,,Daily Planning Conference (S-band),,
19:20-19:30,Evening Work Prep,,,
19:30-21:25,FE-1,"Presleep (Dinner, Daily Food Prep, Evening Toilet)",,
19:30-21:30,"CDR, FE-2",,,
21:25-21:30,FE-1,ПК-3 PLUS. Turbo pump deactivation,,
21:30-06:00,,SLEEP,,
GMT,CREW,ACTIVITY,,
06:00-06:10,,Morning Inspection,,
06:10-06:40,Post-sleep,,,
06:40-07:30,BREAKFAST,,,
07:30-07:50,CDR,Nutrition and Repository - Urine Sample Collection,,
07:50-07:55,Nutrition and Repository - Urine Sample MELFI Insertion,,,
07:55-08:15,Nutrition and Repository - blood samples,,,
07:55-08:10,FE-2,Nutrition and Repository - blood sampling operator,,
08:15-08:25,CDR,Nutrition and Repository - Refrigerated Centrifuge Setup,,
08:25-08:35,Nutrition and Repository- Refrigerated Centrifuge Config,,,
09:05-09:25,Nutrition and Repository - Blood Sample Insertion into MELFI,,,
09:15-09:35,FE-2,EPO (PL) demonstration - procedure review,,
09:25-09:35,CDR,Nutrition and Repository - Stow Blood Sample Collection and ProcessingHardware,,
09:35-09:50,FE-2,Educational Payload Ops (EPO) Camcorder SetUp,,
09:35-10:35,CDR,Physical Exercise (TVIS),,
