0,1,2,3,4,5,6
GMT,,CREW,,ACTIVITY,,
06:00-06:05,,CDR,,SLEEP Data Log Entry,,
06:00-06:10,,"FE-1, FE-2,FE-5, FE-6",,Morning Inspection,,
06:00-06:05,,FE-4,,Elektron-VM Aerosol Filter Inspection,,
06:05-06:10,,"CDR, FE-4",,Morning Inspection,,
06:10-06:40,,,,Post-sleep,,
06:40-07:30,,,,BREAKFAST,,
07:30-07:55,,,,Work Prep,,
07:55-08:20,,,,Daily Planning Conference (S-band),,
08:20-08:35,,,,ISS Crew and ГОГУ (RSA Flight Control Team Management) Weekly Conference(S-band),,
08:35-11:05,,FE-1,,TYPOLOGY Experiment. Tagup with specialists (S-band),,
08:35-08:45,,FE-6,,EHS GC/DMS Ops Start,,
08:45-09:45,,CDR,,Physical Exercise T 2,,
08:45-09:50,,"FE-5, FE-6",,"Node 2 Nadir/HTV Vestibule Outfitting, Part 2",,
08:50-09:10,,FE-2,,TYPOLOGY Experiment Assistance,,
09:10-09:25,,"FE-2, FE-4",,IMS Tagup (S-band),,
09:35-11:05,,FE-2,,"Physical Exercise (TVIS), Day 3",,
09:50-10:10,,FE-5,,ESA Weekly Crew Conference,,
09:50-10:00,,FE-6,,Node 2 Nadir CBM Controller Panel Assembly 3 (CPA3) Maintenance,,
09:55-10:35,,FE-4,,IDENTIFICATION. Copy ИМУ-Ц micro-accelerometer data to laptop,,
10:00-11:30,,FE-6,,Physical Exercise (ARED),,
10:10-11:25,,"CDR, FE-5",,Node 2 Nadir CBM Controller Panel Assembly (CPA) Removal,,
10:35-12:05,,FE-4,,МО-3. Periodic Fitness Evaluation,,
11:05-12:05,,"FE-1, FE-2",,Conference on specifics of Progress 409 docking. Tagup with specialists (S-band)/ r/g 5227,,
11:25-12:30,,"CDR, FE-5",,"Node 2 Nadir/HTV Vestibule Outfitting, Part 3",,
11:30-12:30,,FE-6,,Physical Exercise T2,,
12:05-13:05,,FE-1,,"Physical Exercise (VELO), Day 3",,
12:05-13:05,,FE-4,,Physical Exercise (ARED),,
