0,1,2,3,4,5,6
GMT,Crew,Activity / ODF or R/G,,,,
21:30–21:40,,Morning inspection,,,,
21:40–22:10,,Personal hygiene (post-sleep),,,,
22:10–22:35,,BREAKFAST,,,,
22:35–22:50,,Daily planning conference via S-band,,,,
22:50–23:20,,Work prep,,,,
23:20–23:50,FE-2,C&DH PCS/SSC A/L,,,,
23:30–23:40,FE-1,HRF RAD SUITE DEACT,,,,
22.07.01,,,,,,
00:20–01:20,FE-2,Physical exercise (TVIS),,,,
00:15–00:20,CDR,Downlink of ? ?  counter data,,,,
00:20–00:25,CDR,Downlink of ???  data,,,,
00:25–01:05,CDR,Maintenance of ? ? ?,,,,
00:50–01:00,FE-1,Regeneration of CO2 absorption cartridge (end),,,,
01:10–01:35,FE-1,Transfer ops,,,,
01:30–01:45,FE-1,Transfer conference via S-band,,,,
02:00–02:20,,Crew farewell,,,,
02:20–02:45,CDR,Hatch closing,,,,
03:05–03:10,CDR,Test SM comm panel configuration,,,,
03:15–04:15,,LUNCH,,,,
04:15–04:50,"CDR, FE-1",PMA-2 DEPART CNFG,,,,
04:15–04:40,FE-2,LAB P/L STBUS MONITR,,,,
04:54,,Undocking,,,,
05:05–07:05,FE-1,?? ?-2 depress,,,,
07:05–07:15,FE-1,HRF RAD SUITE ACT,,,,
05:05–07:05,CDR,Physical exercise (TVIS+cycle),,,,
07:05–07:25,CDR,Transfer conference via S-band,,,,
05:20–06:50,FE-2,Physical exercise (IRED),,,,
07:50–08:00,FE-1,EMU METOX REGEN INIT,,,,
08:15–08:30,FE-1,SAMS ICU/D1 ACT,,,,
08:35–09:15,,Additional meal,,,,
09:21–09:33,CDR,PRIVATE FAMILY CONFERENCE via Ku-band,,,,
11:00–13:30,FE-1,Physical exercise,,,,
15:17–15:32,FE-1,PRIVATE FAMILY CONFERENCE (during pre-sleep routine),,,,
13:10–13:20,FE-2,PRIVATE PSYCHOLOGICAL CONFERENCE,,,,
13:15–13:45,CDR,Report prep,,,,
13:35–13:45,FE-1,PRIVATE PSYCHOLOGICAL CONFERENCE,,,,
14:15–14:45,,FD/ISS-2 crew conference via S-band,,,,
14:45–15:00,FE-2,PRIVATE FAMILY CONFERENCE (during pre-sleep routine),,,,
14:30–15:00,,DINNER,,,,
GMT,Crew,Activity/ ODF or R/G,,,,
07:30 - 07:40,.,Morning inspection,,,,
07:40 - 08:10,.,Personal hygiene (post-sleep),,,,
08:10 - 09:00,.,BREAKFAST,,,,
09:00 - 09:40,CDR,ECLSS system maintenance per Ground instructions,,,,
09:30 - 09:55,FE-2,Payload c/0 in the LAB,,,,
09:40 - 09:50,CDR,Camcorder battery charging ?/? ??? ? ?  item 3-2p.3.2,,,,
12:15 - 12:20,CDR,Urine counter data downlink,,,,
12:20 - 12:25,CDR,???  data downlink,,,,
13:50 - 14:05,CDR,PPC,,,,
14:30 - 14:45,FE-1,PFC,,,,
15:00 - 16:00,.,LUNCH,,,,
16:25 - 16:40,FE-2,PFC,,,,
16:55 - 17:12,CDR,PFC with TV,,,,
18:00 - 18:20,FE-2,Delta file downlink prep,,,,
20:15 - 20:45,CDR,Review plan for the next day,,,,
20:15 - 20:45,"FE-1,FE-2",Work prep,,,,
20:45 - 21:00,.,Daily planning conference,,,,
21:00 - 21:30,.,Dinner,,,,
21:30 - 22:00,.,Daily food ration prep,,,,
22:00 - 23:00,.,Personal hygiene (pre-sleep),,,,
23:00 - 07:30,.,SLEEP,,,,
GMT,Crew,Activity / ODF or R/G,,,,
15:00–15:10,Morning inspection,,,,,
15:10–15:40,Personal hygiene (post-sleep),,,,,
15:40–16:30,BREAKFAST,,,,,
16:30–17:00,Work prep,,,,,
17:00–17:15,Morning DPC,,,,,
17:15–18:20,Reviewing 7?  timeline,,,,,
18:20–18:50,ISS2/ISS3 crew conference,,,,,
18:50–19:15,Reviewing 7?  timeline,,,,,
19:15–20:45,FE-1 CBM checkout,,,,,
19:15–21:45,CDR Physical exercise (TVIS+cycle-2),,,,,
19:15–19:30,FE-2 Periodical inspection of RED,,,,,
19:30–21:00,FE-2 Physical exercise (RED),,,,,
20:45–21:45,FE-1 Physical exercise (TVIS),,,,,
21:45–22:45,"CDR, FE-2 Removal of Regul-OS Set 3 / r/g 1482",,,,,
21:45–22:00,FE-1 ARIS pushrod disconnect,,,,,
22:00–00:30,FE-1 Prep equipment/transfers for 7A,,,,,
22:45–22:55,CDR Demating ?? ? -connectors from ????2-12 / r/g 1482,,,,,
22:55–00:10,"CDR, FE-2 Removal of Regul-OS Set 3 / r/g 1482",,,,,
00:10–00:20,CDR Mating ?? ? -connectors to ????2-12 (candidate) / r/g 1482,,,,,
00:20–00:50,"CDR, FE-2 Removal of Regul-OS Set 3 / r/g 1482",,,,,
00:50–01:50,LUNCH,,,,,
01:50–05:00,CDR Removal of Regul-OS Set 3 / r/g 1482,,,,,
01:50–03:50,FE-2 Removal of Regul-OS Set 3 / r/g 1482,,,,,
02:10–02:30,FE-1 Delta file downlink prep,,,,,
02:30–02:55,FE-1 LAB payload status monitoring,,,,,
02:55–03:35,FE-1 DOSMAP: post-recharging MDU installation,,,,,
03:35–04:15,FE-1 Maintenance of ? ? ?,,,,,
03:50–04:20,FE-2 Defibrillator test,,,,,
04:15–05:45,FE-1 Physical exercise (RED),,,,,
04:45–05:45,FE-2 Physical exercise (TVIS),,,,,
05:00–05:30,CDR Report prep,,,,,
05:30–05:45,CDR Private medical conference,,,,,
05:45–06:15,CDR Reviewing plan for the next day,,,,,
05:45–06:15,"FE-1, FE-2 WORK PREP",,,,,
06:15–06:30,Daily planning conference,,,,,
06:30–07:00,DINNER,,,,,
07:00–07:30,Daily food ration prep,,,,,
07:30–08:30,Personal hygiene (pre-sleep),,,,,
08:30–17:00,SLEEP,,,,,
GMT,Crew,Activity / ODF or R/G,,,,
07:30-07:40,.,Morning inspection,,,,
07:40-08:10,.,Personal hygiene (post-sleep),,,,
08:10-09:00,.,BREAKFAST,,,,
09:00-09:10,CDR,Acoustic dosimeter ops radiogram # 1593,,,,
09:00-11:00,"FE-1,FE-2",Weekly station housekeeping / ? ?  book 1 /item.2.2.1 p?. 2-2,,,,
09:10- 11:00,CDR,,,,,
11:00-11:40,CDR,ICCLS system maintenance,,,,
11:20-11:35,FE-1,LAB payload status check and monitoring,,,,
11:40-12:20,CDR,Resuming condensate pumping from ? ? ? -2 using manualpump. Consultation with a specialist.,,,,
13:00-14:30,FE-2,Physical exercise RED,,,,
13:00-14:00,CDR,Physical exercise TVIS according to the 2nd day program,,,,
14:00-15:00,FE-1,Physical exercise TVIS,,,,
15:00-16:00,.,LUNCH,,,,
17:30-19:00,FE-1,Physical exercise RED,,,,
17:30-18:30,FE-2,Physical exercise TVIS,,,,
19:00-20:30,CDR,Physical exercise TVIS+RED according to the 2nd dayprogram,,,,
20:30-20:50,FE-2,Delta file downlink prep,,,,
21:00-21:30,.,Dinner,,,,
21:30-22:00,.,Daily food ration prep,,,,
22:00-23:00,.,Personal hygiene (pre-sleep),,,,
23:00-07:30,.,Sleep,,,,
GMT,Crew,Activity/ODF or R/G,,,,
07:30 - 07:40,,Morning inspection,,,,
07:40 - 08:10,,Post sleep,,,,
08:10 - 09:00,,Breakfast,,,,
09:00 - 09:30,FE-1,Work prep.,,,,
09:00 - 09:20,CDR,"Daily ECG recording (beginning) / ? ?  book 2, items 3.3.1, 3.3.2, pp. 3-13 - 3-14",,,,
09:00 - 09:20,FE-2,"Daily ECG recording (beginning) help / ? ?  book 2/items 3.3.1, 3.3.2, pg.3-13",,,,
09:30 - 09:45,,Daily planning conference,,,,
09:45 - 11:45,"FE-1, FE-2",Stow removable equipment in Progress (using inventory management system) / r/g 1592,,,,
09:45 - 09:55,CDR,"Charge Camcorder batteries. ??? ? ? /pg.3-2, item 3.2",,,,
09:55 - 11:55,CDR,Stow removable equipment kit in Progress (using inventory management system) / r/g1592,,,,
11:45 - 13:00,FE-2,Physical condition assessment,,,,
12:10 - 12:30,FE-1,BONNER BALL maintenance,,,,
12:10 - 12:40,CDR,Conduct video imagery of stowage of removable equipment in Progress / ?? ? ??? +r/g 1592,,,,
12:30 - 13:00,FE-1,DOSMAP. Begin MDU recharging,,,,
12:40 - 12:50,CDR,Inspect ? ? ? ? -1 separator,,,,
12:50 - 14:15,CDR,Physical exercise (TVIS+RED – 1),,,,
13:00 - 14:15,FE-1,Physical condition assessment,,,,
13:05 - 13:20,FE-2,Check payload equipment in LAB,,,,
14:15 - 15:15,,LUNCH,,,,
15:15 - 17:15,,Prepare equipment to be returned on 7? .1,,,,
17:15 - 17:30,.,Conference on flight results (S-band 16.42-17.35),,,,
17:30 - 18:00,FE-2,Record audiogram using ?? ?,,,,
17:30 - 19:00,FE-1,Physical exercise (RED),,,,
18:00 - 18:15,FE-2,Prepare Delta file for downlink,,,,
18:15 - 19:15,CDR,Physical exercise (TVIS – 1),,,,
18:50 - 20:20,FE-2,Physical exercise (RED),,,,
19:00 - 19:20,FE-1,Record audiogram using ?? ?,,,,
19:15 - 19:55,CDR,? ? ?maintenance,,,,
19:55 - 20:15,CDR,Record audiogram using ?? ?,,,,
20:20 - 20:50,,Report prep.,,,,
21:00 - 21:15,,Daily planning conference,,,,
21:15 - 21:45,,Dinner,,,,
21:45 - 22:00,,Daily food ration prep.,,,,
22:00 - 23:00,,Pre-sleep,,,,
23:00 - 07:30,,Sleep,,,,
GMT,Crew,Activity / ODF or R/G,,,,
21:00–21:10,,Morning inspection,,,,
21:10–21:40,,Personal hygiene (post-sleep),,,,
21:40–22:30,,BREAKFAST,,,,
22:30–22:45,,Daily planning conference,,,,
22:45–23:15,"CDR, FE-2",Work prep,,,,
22:45–23:05,FE-1,Work prep,,,,
23:05–23:35,FE-1,Node 1 STBD PPRV removal / MPEV installation,,,,
23:20–00:00,CDR,Configuring IWIS for DTO261,,,,
23:35–00:05,FE-2,Transfer of EVA equipment,,,,
23:35–00:05,FE-1,Node 1 MPEV/IMV test,,,,
00:00–02:00,CDR,Installation of Regul-OS set 1 / r/g,,,,
00:05–00:50,FE-2,Installation of air duct smoke detector,,,,
00:05–00:50,FE-1,Installation of IMV duct between Node 1 & A/L,,,,
00:05–01:50,"FE-1, FE-2",A/L IV hatch transfer,,,,
01:50–02:15,FE-2,LAB payload status monitoring,,,,
01:50–02:05,FE-1,Transfer of EVA equipment,,,,
02:05–02:10,CDR,Mating ?? ? -connectors to ????2-12 / r/g,,,,
02:05–02:35,FE-1,MDU recharging (start),,,,
02:10–03:10,CDR,Installation of Regul-OS set 1 / r/g,,,,
02:25–03:55,FE-2,Physical exercise (RED),,,,
02:40–03:40,FE-1,Physical exercise (TVIS),,,,
03:10–04:00,CDR,Review transfer list,,,,
03:40–03:55,FE-1,PRIVATE MEDICAL CONFERENCE,,,,
03:55–04:40,FE-1,Installation of video camera in A/L,,,,
03:55–04:10,FE-2,PRIVATE MEDICAL CONFERENCE,,,,
04:10–04:55,"FE-1, FE-2",A/L Aft NPRV removal and replacement with IMV,,,,
04:15–04:30,CDR,PRIVATE MEDICAL CONFERENCE,,,,
04:35–04:55,CDR,RESERVED FOR PAO EVENT,,,,
04:40–04:55,FE-1,A/L video CC test,,,,
04:55–05:55,,LUNCH,,,,
05:55–06:40,CDR,A/L rail removal,,,,
05:55–06:25,FE-1,A/L sampler installation,,,,
06:05–06:25,FE-2,Delta file downlink prep,,,,
06:25–08:00,FE-1,System check. Prep for A/L EVA. Closing A/L hatch,,,,
08:00–08:05,FE-1,A/L hatch closing,,,,
06:25–07:05,FE-2,Maintenance of ? ? ?  on MCC go,,,,
07:05–08:05,CDR,Physical exercise (cycle),,,,
07:05–08:05,FE-2,Physical exercise (CEVIS),,,,
08:05–09:05,,EVA procedure review,,,,
09:05–09:20,CDR,Disconnect STS/ISS O2 and N2 lines,,,,
,GMT,,Crew,,Activity / ODF or R/G,
,21:05–21:15,,,,Morning inspection,
,21:15–21:45,,,,Personal hygiene (post-sleep),
,21:45–22:35,,,,BREAKFAST,
,22:35–22:50,,,,Daily planning conference,
,22:50–23:20,,,,Work prep,
,23:20–23:30,,FE-1,,Opening & closing A/L hatch,
,23:20–00:00,,FE-2,,Maintenance of ? ? ?,
,23:20–23:30,,CDR,,Downlink of ???  and ? ?  counter data,
,23:30–01:30,,FE-1,,Physical exercise (CEVIS),
,23:30–23:40,,CDR,,Inspection of ????-1 separator,
,00:10–01:10,,FE-2,,Physical exercise (TVIS),
,00:40–00:45,,CDR,,SM/PM3 comm configuration check,
,00:45–01:20,,CDR,,URAGAN: Earth observations using LIV / r/g,
,01:10–01:30,,FE-2,,Survey of A/L in STS P/B with SSRMS cameras,
,01:20–02:20,,CDR,,Physical exercise (TVIS+cycle-2),
,01:30–02:00,,FE-2,,Positioning SSRMS to view ACBM ring,
,01:30–01:50,,FE-1,,Deployment of NODE1 STBD ACBM petals,
,01:55–02:10,,FE-1,,Mounting IMAX3D camera on bracket before EVA,
,02:00–02:15,,FE-2,,Moding SSRMS to single-joint configuration,
,02:45–02:50,,CDR,,EVA-1: IMAX filming ops,
,03:15–04:15,,CDR,,LUNCH,
,03:15–03:45,,FE-1,,,
,03:15–04:05,,FE-2,,,
,03:45–04:00,,FE-1,,IMAX lens change,
,03:58–04:13,,CDR,,Private family conference via VHF,
,04:00–05:55,,FE-1,,SSRMS operator assist,
,04:05–04:20,,FE-2,,SSRMS: A/L grapple in STS payload bay,
,04:15–04:20,,CDR,,IMAX: filming EVA-1,
,04:20–05:05,,FE-2,,SSRMS: A/L unberthing,
,04:55–05:00,,CDR,,IMAX: filming EVA-1,
,05:33–05:42,,CDR,,Private medical conference,
,05:05–06:05,,FE-2,,SSRMS: maneuvering A/L to pre-installation position,
,05:45–07:15,,CDR,,Physical exercise (TVIS+cycle),
,05:55–06:05,,FE-1,,CBM premate checkout,
,06:05–06:35,,"FE-1, FE-2",,AVU ops,
,06:35–07:05,,FE-1,,SSRMS operator assist,
,06:35–07:05,,FE-2,,SSRMS: maneuvering A/L to RTL position,
,07:05–07:15,,FE-1,,CBM: 1st stage mate,
,07:15–07:20,,FE-2,,SSRMS: mode to Limp,
,07:20–07:30,,FE-1,,CBM: 2nd stage mate,
GMT,Crew,Activity / ODF or R/G,,,,
06:00–06:10,,Morning inspection,,,,
06:10–06:40,,Personal hygiene (post-sleep),,,,
06:40–07:30,,BREAKFAST,,,,
07:30–07:55,"FE-1, FE-2",Work prep,,,,
07:30–07:40,CDR,Work prep,,,,
07:40–07:55,CDR,"Regeneration of absorption cartridge ? 1 (?? ? ) (start) / ? ? ??  ? ? , item 7.3,page 7-3, step 1",,,,
07:55–08:10,"FE-1, FE-2",Daily planning conference,,,,
07:55–08:05,CDR,Daily planning conference,,,,
08:05–08:30,CDR,"URAGAN: Video downlink / ???  ? ? , item 2.10, pages 2-26, 2-28 + r/g 1435",,,,
08:15–08:55,FE-1,DOSMAP: post-recharging installation of MDUs,,,,
08:45–09:40,CDR,Sound level meter ops / r/g 1452,,,,
08:55–09:10,FE-1,ADVASC: nutrient sampling,,,,
09:00–09:25,FE-2,LAB payload status monitoring,,,,
09:10–09:25,FE-1,ADVASC: condensate sampling,,,,
09:25–09:40,FE-1,ADVASC: air sampling,,,,
09:25–10:05,FE-2,INTERACTIONS: data collection,,,,
09:40–10:15,CDR,URAGAN: Earth observations using LIV video facility / r/g 1453,,,,
09:40–10:20,FE-1,Maintenance of ? ? ?,,,,
10:20–10:30,CDR,Private medical conference,,,,
10:25–11:55,FE-1,Physical exercise (RED),,,,
10:30–11:35,CDR,Sound level meter ops / r/g 1452,,,,
10:40–11:40,FE-2,Physical exercise (TVIS),,,,
11:40–11:50,CDR,Inspection of ????-1 separator,,,,
11:40–11:55,FE-2,DOUG startup,,,,
11:55–12:25,,PAO event,,,,
12:25–13:25,,LUNCH,,,,
13:35–16:35,"FE-1, FE-2",Robotics test,,,,
13:35–15:05,CDR,Transfer of SLM data to Laptop / r/g 1212,,,,
15:05–16:35,CDR,Physical exercise (TVIS+cycle-1),,,,
16:35–17:05,,Crew conference: 7A emergency scenarios,,,,
17:05–18:05,CDR,Physical exercise (TVIS+cycle-1),,,,
17:15–17:30,FE-1,Private medical conference,,,,
17:15–18:45,FE-2,Physical exercise (RED),,,,
17:45–18:45,FE-1,Physical exercise (TVIS),,,,
18:05–18:25,CDR,Delta file downlink prep,,,,
18:25–18:45,CDR,Report prep,,,,
18:45–19:15,"CDR, FE-1",Review plan for the next day,,,,
18:45–19:00,FE-2,Review plan for the next day,,,,
GMT,Crew,Activity/ODF or R/G,,,,
06:00 - 06:10,.,Morning inspection,,,,
06:10 - 06:40,.,Post sleep,,,,
06:40 - 07:30,.,Breakfast,,,,
,"FE-1,",,,,,
07:30 - 07:45,,Work prep.,,,,
,FE-2,,,,,
07:35 - 07:45,CDR,"Charge Camcorder storage batteries ODF ??A ? ?  pg.3-2, item 3.2",,,,
07:45 - 08:00,.,Daily planning conference,,,,
08:00 - 08:15,.,Work prep.,,,,
08:15 - 09:45,FE-2,Repair HD,,,,
08:15 - 09:55,FE-1,"Disassemble ?? Kurs equipment / ODF ? ?  ?? item19, pp.139-140",,,,
08:15 - 11:15,CDR,"Disassemble ?? Kurs equipment / ODF ? ?  ?? item 19, pp.139-140",,,,
09:55 - 10:45,FE-1,Downlink data within the scope of the “Vzaimodeistviye” experiment,,,,
09:55 - 11:15,FE-2,"Disassemble ?? Kurs equipment / ODF ? ?  ?? item 19, pp.139-140",,,,
10:45 - 12:15,FE-1,Physical exercise (RED),,,,
11:15 - 12:15,CDR,Physical exercise (active rest),,,,
11:15 - 12:15,FE-2,Physical exercise (TVIS),,,,
12:15 - 13:15,.,Lunch,,,,
,"FE-1,",,,,,
13:15 - 14:45,,Stow equipment in ? /L (? ? ),,,,
,FE-2,,,,,
14:45 - 15:15,FE-2,Disconnect cables from work stations,,,,
14:45 - 16:15,CDR,Resupply radiation monitoring system per r/g 1578,,,,
14:45 - 15:15,FE-1,Install H-REFLEX,,,,
15:15 - 15:40,FE-1,REFLEX-H - FE-1 as tester,,,,
15:20 - 15:40,FE-2,REFLEX-H - operator,,,,
15:40 - 16:00,FE-1,REFLEX-H - operator,,,,
15:40 - 16:05,FE-2,REFLEX-H - FE-2 as tester,,,,
16:00 - 16:20,FE-1,Operations with acoustic dosimeter,,,,
16:05 - 16:25,FE-2,Operations with acoustic dosimeter,,,,
,,"? ? -1 Study of Bioelectrical Activity of the Heart at Rest / ? ?  book 2, item",,,,
16:15 - 16:55,CDR,,,,,
,,"3.2, pp.3-7 through 3-12 ?0=16.34",,,,
,,"? ? -1 Study of Bioelectrical Activity of the Heart at Rest / ? ?  book 2, item",,,,
16:20 - 17:00,FE-1,,,,,
,,"3.2, pp.3-7 through 3-12 ?0 = 16.42",,,,
16:25 - 16:40,FE-2,Monitor ? ?  in LAB,,,,
16:40 - 17:10,FE-2,Repair RPCM N13B,,,,
17:05 - 17:30,CDR,REFLEX-H – commander as tester,,,,
17:05 - 17:35,FE-1,Begin MDU recharge,,,,
17:10 - 17:30,FE-2,REFLEX-H - operator,,,,
17:30 - 17:45,FE-2,REFLEX-H –stowage for storage,,,,
17:30 - 19:00,CDR,Physical exercise (active rest),,,,
GMT,Crew,Activity / ODF or R/G,,,,
06:00–06:10,,Morning inspection,,,,
06:10–06:40,,Personal hygiene (post-sleep),,,,
06:40–06:50,FE-1,"Prep steps / MO Vol. 2, item 3.8.1, pages 3-42 to 3-44",,,,
06:50–07:05,FE-1,"Body mass measurement / MO Vol. 2, item 3.8.2, page 3-45 to 3-47",,,,
06:55–07:05,CDR,"Calf volume measurement / MO Vol. 2, item 3.7, page 3-37",,,,
07:05–07:15,FE-2,"Calf volume measurement / MO Vol. 2, item 3.7, page 3-37",,,,
07:05–07:20,CDR,"Body mass measurement / MO Vol. 2, item 3.8.2, page 3-45 to 3-47",,,,
07:15–07:25,FE-1,"Calf volume measurement / MO Vol. 2, item 3.7, page 3-37",,,,
07:20–07:35,FE-2,"Body mass measurement / MO Vol. 2, item 3.8.2, page 3-45 to 3-47",,,,
07:30–08:20,CDR,BREAKFAST,,,,
07:35–08:20,FE-2,BREAKFAST,,,,
07:35–07:45,FE-1,"Concluding ops / MO Vol. 2, item 3.8.3, page 3-48",,,,
07:45–08:20,FE-1,BREAKFAST,,,,
08:20–08:45,,Work prep,,,,
08:45–09:00,,Daily planning conference,,,,
09:00–09:15,CDR,"Regeneration of ? 2 ?? ?  absorption cartridge (end) / ? ? ??  ? ? , item 7.3,pages 7-4, 7-5, steps 2, 4",,,,
09:00–09:30,FE-1,Transfer of DOSMAP Dostel data to HRF PC for subsequent downlink,,,,
09:10–09:20,FE-2,HRF smoke detector check,,,,
09:15–09:50,CDR,URAGAN: Earth observations with LIV support / r/g 1466,,,,
09:20–09:50,FE-2,HRF rack activation,,,,
09:50–10:50,CDR,Return to initial configuration: Regul-OS Relay Communications ControlSystem sets 1 & 3 / r/g 1456,,,,
09:50–09:55,FE-2,Water sample analysis,,,,
10:20–10:35,"FE-1, FE-2",Food questionnaire,,,,
10:35–11:15,FE-1,Maintenance of ? ? ?,,,,
10:35–11:00,FE-2,LAB payload status monitoring,,,,
11:00–11:20,FE-2,Delta file downlink prep / r/g 1469,,,,
11:05–12:20,CDR,Replacement of ??746(? ? ? ? ??) with ??746(? ? ? ? ??) in ??985?  /r/g 1457,,,,
11:15–12:45,FE-1,Physical exercise (RED),,,,
11:20–12:20,FE-2,Physical exercise (TVIS),,,,
12:20–12:30,FE-2,HRF rack counter powerdown,,,,
12:20–12:45,CDR,DIATOMEA: study of the World Ocean / r/g 1460,,,,
12:30–12:45,FE-2,DOUG startup,,,,
12:45–13:45,,LUNCH,,,,
13:45–14:45,FE-1,Food ration inventory audit / Report to MCC #s of empty non-dismantablefood containers,,,,
13:45–16:25,CDR,Robotics test,,,,
GMT,Crew,Activity / ODF or R/G,,,,
22:05–22:15,,Morning inspection,,,,
22:15–22:45,,Personal hygiene (post-sleep),,,,
22:45–23:35,,BREAKFAST,,,,
23:35–23:50,,Daily planning conference,,,,
23:50–00:05,,Work prep,,,,
00:05–02:10,CDR,NODE1-A/L vestibule outfitting (Part 2),,,,
00:05–00:10,FE-1,Leak check (end),,,,
00:10–00:20,FE-1,IMAX adjustment,,,,
00:20–00:30,FE-1,SAMS: ?? ? activation,,,,
00:05–00:30,FE-2,PCS/SSC hard drive swap,,,,
00:30–00:35,"FE-1, FE-2",Replacing Emergency Procedures,,,,
00:35–01:35,FE-2,Physical exercise (CEVIS),,,,
01:35–02:05,FE-2,Prep equipment for transfer to STS,,,,
00:35–01:10,FE-1,Maintenance of ? ? ?  on MCC go,,,,
01:10–02:10,FE-1,Physical exercise (TVIS),,,,
