0,1,2,3,4
GMT,CREW,ACTIVITY,,
06:00-06:05,FE-2,SLEEP - data logging,,
06:00-06:10,"CDR,FE-1",Morning Inspection,,
06:05-06:10,FE-2,,,
06:10-06:40,.,Post-sleep,,
06:40-07:30,.,BREAKFAST,,
09:00-10:30,FE-2,Physical Exercise (TVIS),,
10:30-11:30,FE-2,Physical Exercise (RED),,
10:30-10:45,FE-1,Charge/Discharge Stimul Batteries,,
10:45-12:00,FE-1,Wearing Stimul Suit,,
11:50-12:20,FE-2,Photo/TV - RPM (R-Bar Pitch Maneuver) Skills Training,,
12:00-13:00,CDR,"Physical Exercise (VELO + RED), day 4",,
12:20-12:25,FE-2,Download images taken from R-bar Pitch Maneuver On-Board Training fromcamera to U-Drive,,
13:00-14:00,.,LUNCH,,
14:00-14:40,FE-1,СОЖ Maintenance,,
14:00-14:05,CDR,On MCC Go ISS O2 repress from Progress 359 СрПК (start),,
14:00-14:30,FE-2,Skills training for the Shuttle R-Bar Pitch Maneuver,,
14:30-14:35,FE-2,Downlink images obtained during RPM OBT,,
15:05-15:10,CDR,ISS O2 repress from Progress 359 СрПК (terminate),,
15:30-17:00,CDR,Wearing Stimul Suit,,
16:15-16:30,FE-2,Private Family Conference (Ku + S-band),,
17:15-18:15,FE-1,"Physical Exercise (VELO + RED), day 4",,
18:00-18:15,FE-2,Questionnaire - log entry,,
18:15-19:00,.,Evening work prep,,
19:00-19:15,Daily Planning Conference (S-band),,,
19:15-19:30,Evening work prep,,,
19:30-20:00,DINNER,,,
20:00-20:30,Daily Food Prep,,,
20:30-21:30,Pre-sleep,,,
21:30-06:00,SLEEP,,,
Task List,CDR,URAGAN. Observation and Photography,,
FE-1,DIATOMEA. World Ocean Observations,,,
GMT,CREW,ACTIVITY,,
06:00-06:05,CDR,Disconnect Laptop RS2,,
06:00-06:10,FE-1,Morning Inspection,,
06:00-06:05,FE-2,SLEEP - data logging,,
06:05-06:10,FE-2,Morning Inspection,,
06:05-06:15,CDR,Activate and Check Laptop RS1 Version 07.05 operation,,
06:10-06:40,"FE-1, FE-2",Post-sleep,,
06:15-06:25,CDR,Morning Inspection,,
06:25-06:55,CDR,Post-sleep,,
06:40-07:30,"FE-1, FE-2",BREAKFAST,,
06:55-07:45,CDR,,,
07:30-07:45,"FE-1, FE-2",Prep for Work,,
07:45-08:00,,Daily Planning Conference (S-band),,
08:00-08:20,FE-1,Prep for Work,,
08:00-08:30,CDR,,,
