0,1,2,3,4,5
GMT,,CREW,,ACTIVITY,
06:00-06:10,,.,,Morning Inspection,
06:10-06:40,,.,,Post-sleep,
06:40-07:30,,.,,BREAKFAST,
07:30-07:35,,CDR,,PLASMA CRYSTAL-3 PLUS. ПК-3 PLUS EB Turbo-Pump Activation,
07:30-08:45,,FE-2,,Physical Exercise (IRED),
08:45-10:00,,FE-2,,Physical Exercise (TVIS),
09:05-10:05,,FE-1,,Physical Exercise (CEVIS),
10:05-11:05,,FE-3,,"Physical Exercise (VELO), day 3",
10:05-11:35,,FE-1,,Physical Exercise (IRED),
10:20-11:20,,FE-4,,Physical Exercise (CEVIS),
11:05-11:35,,FE-3,,Hygiene Procedures,
11:20-12:20,,CDR,,"Physical Exercise (TVIS), day 3",
11:20-12:50,,FE-4,,Physical Exercise (IRED),
12:00-12:10,,FE-1,,LAB Window Shutter Closure,
12:20-12:50,,CDR,,Hygiene Procedures,
12:50-13:50,,.,,LUNCH,
13:50-14:00,,CDR,,Monitoring TV signal on SSC1 Laptop during MPEG-2 Test (Ku+S-band),
13:50-13:55,,FE-1,,A31P Laptop Configuration,
14:00-14:30,,CDR,,Spectrum Analyzer Activation,
14:05-14:10,,FE-5,,HAM Radio Setup,
14:10-14:20,,FE-5,,HAM Radio Session,
14:30-15:10,,FE-3,,"СОЖ Maintenance. Flush Counter (СП), Water Supply System (СВО),Potok Air Purification System Data Calldowns",
15:00-15:05,,FE-4,,JPM  Laptop Activation,
15:10-15:20,,FE-5,,Connecting Rack Umbilical,
15:10-15:40,,"CDR,FE-3",,Preparation for Progress 402 approach to the ISS (to ПхО +Y port). Tagupwith specialists (S-band),
15:20-16:20,,FE-5,,Physical Exercise (CEVIS),
15:40-17:10,,"CDR,FE-3",,Retry Progress 402 approach to the ISS (to ПхО +Y Port).  Tagup withspecialists (S-band),
16:20-17:50,,FE-5,,Physical Exercise (IRED),
17:25-17:35,,CDR,,Progress Post Approach Comm Reconfig,
17:25-17:40,,FE-3,,Terminate Ku-band Video Downlink,
17:35-18:35,,CDR,,Physical Exercise (IRED),
17:40-18:40,,FE-3,,"Physical Exercise (TVIS), day 3",
17:50-18:40,,FE-4,,Evening Work Prep,
17:55-18:10,,FE-5,,Private Family Conference (Ku+S-band),
18:15-19:05,,"FE-2,FE-5",,Evening Work Prep,
18:20-18:35,,FE-1,,Removal of Test Equipment Used for TV Ku-band Downlink,
18:35-19:05,,"CDR,FE-1",,Evening Work Prep,
18:40-19:05,,FE-3,,Evening Work Prep,
18:40-18:55,,FE-4,,Private Family Conference (Ku+S-band),
GMT,,CREW,,ACTIVITY,
06:00-06:10,,CDR,,SONOCARD Experiment Termination,
06:00-06:05,,"FE-1, FE-4,FE-5",,SLEEP Data Log Entry,
06:00-06:10,,FE-2,,Morning Inspection,
06:00-06:10,,FE-3,,,
06:05-06:15,,FE-1,,"Morning InspectionInspection of DC1 Power Switch Panel (БВП) Circuit Breakers [АЗС] and DC1 БПП-30, БПП-36 Fuses",
06:05-06:10,,"FE-4, FE-5",,Morning Inspection,
06:10-06:20,,CDR,,,
06:10-06:40,,FE-2,,Post-sleep,
06:10-06:20,,FE-3,,МО-8 Setup,
06:10-06:35,,FE-4,,Post-Sleep,
06:10-06:20,,FE-5,,,
06:15-06:45,,FE-1,,,
06:20-06:50,,CDR,,,
06:20-06:35,,FE-5,,Body Mass Measurement,
06:20-06:35,,FE-3,,Post-Sleep,
06:35-06:50,,FE-3,,BREAKFAST,
06:35-06:55,,FE-5,,Post-Sleep,
06:35-06:50,,FE-4,,Body Mass Measurement,
06:40-07:30,,FE-2,,BREAKFAST,
06:45-07:35,,FE-1,,,
06:50-07:40,,CDR,,,
06:50-07:05,,FE-3,,Body Mass Measurement,
06:50-07:45,,FE-4,,BREAKFAST,
06:55-07:45,,FE-5,,,
07:05-07:15,,FE-3,,MO-8 Cleanup,
07:15-07:45,,FE-3,,BREAKFAST,
07:30-07:45,,FE-2,,Work Prep,
07:35-07:45,,FE-1,,,
07:40-07:45,,CDR,,,
07:45-08:10,,,,Daily Planning Conference (S-band),
08:10-08:25,,,,Crew conference with Astronaut Office (S-band),
08:25-10:05,,FE-3,,SM Ventilation System Preventive Maintenance. Group C,
08:25-08:45,,FE-5,,Work Prep,
08:25-08:35,,FE-1,,,
08:25-08:40,,FE-4,,,
