0,1,2,3,4,5,6,7,8,9,10,13,14
GMT,CREW,,ACTIVITY,,,,,,,,,
06:00-06:10,"CDR, FE-1,FE-3, FE-1-21,FE-5-21",,Morning Inspection,,,,,,,,,
06:00-06:10,FE-1,,Morning Inspection SM ПСС [Caution & Warning Panel] Test,,,,,,,,,
06:10-06:40,,,Post-sleep,,,,,,,,,
06:40-07:30,,,BREAKFAST,,,,,,,,,
07:30-07:35,FE-6,,Battery Replacement,,,,,,,,,
07:30-07:35,FE-3,,AORG Photography in Columbus prior to cleaning,,,,,,,,,
07:30-10:30,"CDR, FE-1",,"Weekly HousekeepingSM Ventilation Subsystem Preventive Maintenance, Group E FGB ЦВ2 FanCleaning",,,,,,,,,
07:30-10:30,FE-5,,Weekly Housekeeping,,,,,,,,,
07:35-10:35,FE-6,,,,,,,,,,,
07:35-10:25,FE-3,,,,,,,,,,,
08:15-09:30,FE-4,,"Weekly HousekeepingSM Ventilation Subsystem Preventive Maintenance, Group EFGB ЦВ2 Fan Cleaning",,,,,,,,,
09:30-10:30,FE-4,,"Physical Exercise (VELO), Day 3",,,,,,,,,
10:25-10:30,FE-3,,AORG Photography in Columbus after cleaning,,,,,,,,,
10:30-12:15,FE-4,,Weekly Housekeeping Cleaning Potok-150МК Air Purification System Pre-filter (after 12:00),,,,,,,,,
10:30-12:00,FE-1,,"Physical Exercise (TVIS), Day 2",,,,,,,,,
10:35-11:35,FE-6,,Physical Exercise T 2,,,,,,,,,
11:00-11:15,CDR,,Private Family Conference (Ku + S-band),,,,,,,,,
11:25-11:30,FE-5,,Opening LAB window shutters for ISSAC Ops,,,,,,,,,
11:30-13:00,FE-5,,Physical Exercise (ARED),,,,,,,,,
12:00-13:00,CDR,,"Physical Exercise (TVIS), Day 2",,,,,,,,,
12:00-12:30,FE-6,,Earthkam hardware deactivation and stowage,,,,,,,,,
12:25-12:40,FE-4,,Private Family Conference (Ku + S-band),,,,,,,,,
13:00-14:00,,,LUNCH,,,,,,,,,
14:00-14:30,,,Weekly Planning Conference (S-band),,,,,,,,,
14:30-15:00,FE-4,,Installation of additional portable repress tank (БНП) in DC1,,,,,,,,,
14:30-15:10,FE-1,,СОЖ Maintenance,,,,,,,,,
15:00-15:15,FE-6,,Private Family Conference,,,,,,,,,
15:00-16:30,CDR,,Physical Exercise (ARED),,,,,,,,,
15:15-15:45,"FE-1, FE-4,FE-6",,Equipment Setup and Review DOUG for RS EVA 29,,,,,,,,,
15:30-16:30,FE-3,,Physical Exercise (CEVIS),,,,,,,,,
16:15-17:45,FE-4,,"Physical Exercise (TVIS), Day 3",,,,,,,,,
16:30-17:30,FE-5,,Physical Exercise T 2,,,,,,,,,
16:30-18:00,FE-3,,Physical Exercise (ARED),,,,,,,,,
16:50-17:00,FE-6,,HAM radio session setup,,,,,,,,,
17:00-17:15,FE-6,,ISS HAM Radio Session from SM,,,,,,,,,
17:45-18:45,FE-1,,"Physical Exercise (VELO), Day 2",,,,,,,,,
18:00-19:30,FE-6,,Physical Exercise (ARED),,,,,,,,,
18:00-18:45,CDR,,Pre-sleep,,,,,,,,,
