0,1,2,3,4,5,6,7
,TIME,,,,,,
,06:00-06:30,,,,,,
,06:00-06:15,,,,,,
,06:00-06:05,,,,,,
,06:05-06:10,,,,,,
,06:10-06:20,,,,,,
,06:10-06:40,,,,,,
,06:15-06:45,,,,,,
,06:20-06:40,,,,,,
,06:30-06:40,,,,,,
,06:30-06:40,,,,,,
,,,,,,,
,06:40-07:30,,,,,,
,TIME,,"CREWCDRFE-2FE-3FE-4FE-5FE-6FE-5FE-6CDR, FE-3FE-2FE-5FE-6FE-4FE-2FE-4, FE-6FE-2FE-3, FE-6FE-5FE-5FE-3CDR, FE-2,FE-4FE-6CDR, FE-2,FE-4CDR, FE-4FE-2FE-5CDRFE-4FE-5FE-2FE-5FE-3",,"ACTIVITYMorning Inspection.Laptop RS2(1) RebootVIRU. FSS PL Battery Charge (start)Morning InspectionRegeneration of БМП Ф2 Micropurification Cartridge (start)Reaction Self TestReaction Self TestMorning InspectionEKAM Battery SwapPost-sleepMorning Inspection.SM ПСС (Caution & Warning Panel) TestPost-sleepMorning InspectionMorning Inspection.Reboot Laptop RSS1, RSS2Post-sleepPost-sleepBREAKFASTDaily Planning Conference (S-band)PAO Hardware SetupWork PrepWork PrepWater Process Assembly (WPA) Waste Water Tank Offload to CWCARED ExerciseCrew Prep for TV ConferencePeriodic Fitness Evaluation - Nom Ops (subject)TV Conference with the International Youth Science School ""SpaceResearch: Theory and Practice (Ku+S-band)Work PrepWork PrepPeriodic Fitness Evaluation - Nom Ops (assistance)ТКГ 418 (DC1) Stowage and IMS OpsБД2 Exercise - Day 1ESA Weekly Crew ConferenceVIRU. Software Upgrade. Tagup with specialists (S-band)Terminate Waste Water Tank OffloadBCAT - Camera Battery Changeout",,
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,06:00-06:15,,,,,,
,06:00-06:05,,,,,,
,06:00-06:05,,,,,,
,06:05-06:15,,,,,,
,06:05-06:15,,,,,,
,06:10-06:40,,,,,,
,,,,,,,
,06:10-06:20,,,,,,
,,,,,,,
,06:15-06:40,,,,,,
,06:15-06:25,,,,,,
,,,,,,,
,06:15-06:25,,,,,,
,,,,,,,
,06:20-06:40,,,,,,
,06:25-06:40,,,,,,
,06:40-07:30,,,,,,
,,,,,,,
,07:30-07:55,,,,,,
,,,,,,,
,07:55-08:05,,,,,,
,07:55-08:05,,,,,,
,07:55-08:00,,,,,,
,08:00-08:40,,,,,,
,08:05-09:35,,,,,,
,,,,,,,
,08:05-08:15,,,,,,
,,,,,,,
,08:05-09:35,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,08:35-08:50,,,,,,
,08:35-08:55,,,,,,
,08:40-09:10,,,,,,
,08:50-11:05,,,,,,
,08:50-10:20,,,,,,
,09:10-09:30,,,,,,
,09:30-09:50,,,,,,
,09:30-09:45,,,,,,
,09:35-09:45,,,,,,
TIME,CREW,,,ACTIVITY,,,
06:00-06:10,CDR,Morning Inspection.  Laptop RS2(1) Reboot,,,,,
06:00-06:10,FE-2,"Morning Inspection.  Reboot Laptop RSS1, RSS2",,,,,
06:00-06:10,"FE-3, FE-4, FE-5, FE-6",Morning Inspection,,,,,
06:10-06:40,,Post-sleep,,,,,
,"CDR, FE-2,",,,,,,
06:40-07:30,"FE-3, FE-5,",BREAKFAST,,,,,
,FE-6,,,,,,
06:40-07:30,FE-4,Morning Inspection.  SM ПСС (Caution & Warning Panel) Test,,,,,
08:30-10:00,FE-5,ARED Exercise,,,,,
09:40-10:40,CDR,"VELO Exercise, Day 1",,,,,
10:00-11:30,FE-3,ARED Exercise,,,,,
10:10-11:30,FE-2,БД2 Exercise - Day 4,,,,,
10:30-11:30,FE-6,CEVIS Exercise,,,,,
11:30-12:30,FE-4,БД2 Exercise - Day 4,,,,,
11:30-13:00,FE-6,ARED Exercise,,,,,
11:45-12:00,CDR,"Private Family Conference (Ku + S-band in S/G4, S/G1-- backup)",,,,,
12:30-13:30,"CDR, FE-2, FE-4",LUNCH,,,,,
13:00-14:00,"FE-3, FE-5, FE-6",LUNCH,,,,,
13:30-13:45,FE-2,"Private Family Conference (Ku + S-band in S/G4, S/G1-- backup)",,,,,
13:30-14:10,FE-4,"СОЖ Maintenance. SM and FGB СВО, СГО, СПКУ АСУ Counter, POTOK Air Purification System Data Call downs",,,,,
14:50-16:20,FE-4,ARED Exercise,,,,,
14:50-15:05,FE-6,Private Family Conference,,,,,
15:20-16:20,FE-5,T2 Exercise,,,,,
16:30-16:45,FE-5,Private Family Conference,,,,,
17:00-18:30,CDR,БД2 Exercise - Day 1,,,,,
