0,1,2,3,4,5
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–08:00,FE-1,Prep for work,,,
07:30–07:55,CDR,,,,
07:55–08:00,PLANTS-2: payload status check,,,,
08:00–08:15,,Daily planning conference (S-band),,,
08:15–11:15,Removal of KURS-A hardware from Progress M1-10,,,,
11:15–11:45,CDR,Disinfection of А-Р/Р-Р hoses prior to Progress/SM water transfer,,,
11:15–11:25,FE-1,Increment 7 daily payload status,,,
11:30–12:45,Physical exercise (TVIS),,,,
11:45–12:45,CDR,Physical exercise (VELO + Load Trainer-1 / day 3),,,
12:45–13:45,,LUNCH,,,
13:45–14:45,FE-1,NGL installation for tests,,,
13:45–14:15,CDR,CMO skill training,,,
14:15–14:35,IMS tagup (S-band),,,,
14:35–15:05,Water transfer from Progress RODNIK to SM RODNIK (hardware config andinitiation of transfer),,,,
14:45–15:15,FE-1,CMO skill training,,,
15:05–15:35,CDR,Maintenance of СОЖ,,,
15:15–15:30,FE-1,Food questionnaire,,,
15:30–15:50,Transfer of TVIS/RED files to MEC,,,,
15:35–16:15,CDR,IMS file prep,,,
15:50–16:10,FE-1,Transfer of HRM file to MEC,,,
16:10–16:25,HRM file erase,,,,
16:15–17:45,CDR,Physical exercise (TVIS-3),,,
16:25–16:55,FE-1,Restart of all PCS computers (once a week),,,
16:55–18:10,Physical exercise (RED),,,,
18:10–18:20,CWC audit,,,,
18:20–18:40,,Daily plan review,,,
18:40–18:55,Daily planning conference (S-band),,,,
18:55–19:05,Daily plan review,,,,
19:05–19:30,FD/ISS crew conference (S-band),,,,
19:30–20:00,DINNER,,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,FE-1,Pre-sleep,,,
20:30–21:05,CDR,Pre-sleep,,,
21:05–21:15,,Water transfer from Progress RODNIK to SM RODNIK (closeout ops withouthardware deconfig),,,
21:15–21:30,Pre-sleep,,,,
21:30–06:00,,SLEEP,,,
GMT,Crew,Activity,,,
06:00-06:10,,Morning inspection,,,
06:10-06:40,Post-sleep,,,,
06:40-07:30,BREAKFAST,,,,
08:35-08:40,CDR,PLANTS-2: payload status check,,,
08:40-08:45,Inspection of БРПК-1 separator,,,,
08:45-08:50,ELECTRON-VM: monitoring free air in the gas/fluid mix (S-band),,,,
08:50-08:55,Calldown of СП counter status (S-band),,,,
08:55-09:00,Calldown of СВО water supply status (S-band),,,,
09:00-09:15,Regeneration of Ф1 absorption bed in БМП (end),,,,
09:15-09:30,Regeneration of Ф2 absorption bed in БМП (start),,,,
10:15-11:30,FE -1,Physical exercise (TVIS),,,
11:30-12:30,CDR,Physical exercise (VELO + Load Trainer 1 / day 4),,,
12:25-12:30,FE -1,IMS auto import/export,,,
12:30-13:30,,LUNCH,,,
13:30-13:50,CDR,Maintenance of СОЖ,,,
14:10-14:25,Private family conference (Ku+S-band),,,,
15:50-16:05,FE -1,,,,
16:45-18:15,CDR,Physical exercise (TVIS-4),,,
17:00-18:15,FE -1,Physical exercise (RED),,,
18:15-18:35,,Daily plan review,,,
18:35-18:50,Daily planning conference (S-band),,,,
18:50-19:00,Daily plan review,,,,
19:00-19:30,Prep for work,,,,
19:30-20:00,DINNER,,,,
20:00-20:30,Daily food prep,,,,
20:30-21:30,Pre-sleep,,,,
21:30-06:00,SLEEP,,,,
GMT,CREW,ACTIVITIES,,,
06:00-06:10,,Morning inspection,,,
06:10-06:40,Post-sleep,,,,
06:40-07:30,BREAKFAST,,,,
07:30-08:00,Work prep,,,,
08:00-08:05,CDR,PLANTS-2: payload status check,,,
08:05-08:20,,Daily planning conference (S-band),,,
08:20-08:25,CDR,БРПК-1 separator inspection,,,
08:25-08:40,FE-1,IWIS system installation,,,
08:40-08:50,ISS-7 daily payload status check,,,,
08:40-08:50,CDR,IWIS RSU unit setup,,,
09:20-09:50,,Preparation for docking with Progress М1-10,,,
09:50-10:00,CDR,RS-USOS Comm Config for Progress Docking/Undocking,,,
10:00-11:30,,Docking of Progress М1-10 (No. 259) to DC-1,,,
11:30-11:40,CDR,Returning to Nominal Stage Ops Comm Configuration after ProgressDocking/Undocking,,,
11:30-11:40,FE-1,Deactivation of video signal via Ku-band after Progress docking,,,
11:40-12:40,,Progress М1-10 and DC1 interface leak check,,,
