0,1,2,3,4,5
GMT,CREW,ACTIVITY,,,
06:00-06:10,,Morning inspection,,,
06:10-06:40,,Post-sleep,,,
06:40-07:30,,BREAKFAST,,,
08:05-08:20,CDR,PPC (УКВ),,,
11:00-12:30,CDR,Physical exercise (TVIS + RED) day 4,,,
12:30-13:30,,LUNCH,,,
15:00-15:40,.,Tagup with EVA specialists (S-band),,,
15:45-17:15,FE-1,Physical exercise (RED),,,
16:45-17:15,CDR,"СОЖ maintenance (Data calldown on СВО and СП counter, inspection of БРПКseparator)",,,
17:15-18:15,FE-1,Physical exercise (TVIS),,,
17:15-18:15,CDR,Physical exercise (VELO + Force Loader / cycle 1) day 4,,,
18:15-18:45,,Daily plan review,,,
18:45-19:00,,DPC (S-band),,,
19:00-19:30,,Report prep,,,
19:30-20:00,,DINNER,,,
20:00-20:30,,Daily food prep,,,
20.25-20:40,FE-1,PFC (Ku+S-band),,,
20:30-21:30,,Pre-sleep,,,
21:30-06:00,,SLEEP,,,
Task List,CDR,URAGAN. Observation and photo imageryDIATOMEA. Ocean observationECON. Observation and photo imageryETD. Experiment opsMOLNIYA-SM-LSO. Hardware activation,,,
GMT,CREW,ACTIVITY,,,
10:00-10:10,,Morning inspection,,,
10:10-10:40,,Post-sleep,,,
10:40-11:30,,BREAKFAST,,,
11:30-12:00,,Prep for work,,,
12:20-12:35,,DPC (S-band),,,
14:10-14:25,FE-1,PMC (S-band),,,
14:35-14:50,CDR,Set up of PILLE sensors for EVA,,,
14:50-15:05,CDR,PMC (S-band),,,
15:05-15:20,CDR,Deactivation of Sputnik-SM hardware,,,
15:20-16:20,CDR,Physical Exercise (TVIS) day 1,,,
15:30-15:45,FE-1,Questionnaire: journal entry,,,
16:10-16:20,FE-1,FMK stow,,,
16:20-16:25,CDR,Weekly TVIS maintenance,,,
16:25-16:55,CDR,Physical Exercise (RED),,,
16:30-16:35,FE-1,DCP power cable connect,,,
16:35-16:55,FE-1,Video camera install for EVA,,,
16:55-17:55,,LUNCH,,,
17:55-19:55,,EVA timeline review,,,
20:00-20:30,,EVA conference with MCC (S-band),,,
20:30-22:00,FE-1,Physical Exercise (RED),,,
21:00-22:00,CDR,Physical Exercise (VELO + Force Loader/ cycle 1) day 1,,,
22:00-22:30,CDR,СОЖ maintenance (Inspection of БРПК),,,
22:00-23:00,FE-1,Physical Exercise (CEVIS),,,
22:30-23:00,CDR,DIDB refill and install in Orlan,,,
23:00-23:30,FE-1,DIDB refill and install in Orlan,,,
23:15-23:30,CDR,Journal entry,,,
23:30-23:45,FE-1,Ops LAN reconfig,,,
23:30-23:45,CDR,UROLUX hardware set up,,,
23:45-00:05,,Daily plan review,,,
00:05-00:20,,DPC (S-band),,,
00:20-00:30,,Daily plan review,,,
00:30-01:00,,Report prep,,,
01:00-01:30,,DINNER,,,
01:30-02:00,,Daily food prep,,,
02:00-03:00,,Pre-sleep,,,
03:00-12:30,,SLEEP,,,
GMT,CREW,ACTIVITY,,,
06:00-06:10,,Morning inspection,,,
06:10-06:40,Post-sleep,,,,
06:40-07:30,BREAKFAST,,,,
07:30-07:50,CDR,Prep for work,,,
07:30-08:00,FE-1,,,,
07:50-08:00,CDR,Soyuz Form 03 display downlink,,,
08:00-08:15,,DPC (S-band),,,
08:15-09:35,FE-1,"FGB panel screen maintenance (Panels: 116, 231, 316, 431)",,,
08:15-11:15,CDR,Compression of Rodnik tank bladder,,,
09:35-10:05,FE-1,WINSCAT. Psychological test,,,
10:05-10:10,DCP power cable disconnect,,,,
10:20-10:35,SAMS filter maintenance,,,,
10:35-10:45,FMK set up,,,,
10:45-12:15,Physical Exercise (RED),,,,
11:15-12:15,CDR,Physical Exercise (TVIS) day 3,,,
12:15-12:45,Physical Exercise (RED),,,,
12:15-12:45,FE-1,SSAS ops,,,
12:45-13:45,,LUNCH,,,
13:45-14:55,CDR,ULTRASOUND: training,,,
13:45-14:05,FE-1,IMS file prep,,,
14:05-14:35,СОЖ maintenance (Inspection of БРПК separator),,,,
14:35-14:40,PCG-STES 010 payload status check (Increment 9),,,,
14:40-15:00,SAMS battery check,,,,
15:00-15:05,СО2 level monitoring,,,,
15:15-15:25,CSA-CP reading,,,,
15:25-15:40,,ISS Crew / Houston Flight conference (S-band),,,
15:40-17:10,,Preliminary EVA timeline review,,,
