0,1,2
GMT,CREW,ACTIVITY
06:00-06:10,,Morning inspection
06:10-06:40,,Post-sleep
06:40-07:30,,BREAKFAST
07:30-07:45,CDR,Regeneration of БМП absorbent bed #1 (terminate)
,FE-1,Work prep
07:45-08:00,,Daily planning conference (S-band)
08:00-08:15,FE-1,Work prep
08:00-08:30,CDR,
08:15-08:50,FE-1,PMA3 ingress for equipment prepack
08:30-08:45,CDR,Regeneration of БМП absorbent bed #2 (start)
08:50-09:10,,PMA3 disk cover dismantling
09:10-09:40,,Dismantling CPA in PMA3
09:40-09:50,FE-1,PMA3 surface inspection
09:50-11:35,,PMA3 transfers and stowage
11:35-13:05,FE-1,Physical Exercise (RED)
,CDR,"Physical exercise (TVIS), day 1"
13:05-14:05,.,LUNCH
14:05-15:20,,PMA3 transfers and stowage
15:20-16:20,CDR,Installation of Local Temperature Sensor Switching Unit [ЛКТ] and ROM inProgress (ТА251М1Б No.1417726329 with ТА765Б No. 1417726937СМ1ПрК)
15:20-16:05,FE-1,Installation of MPEV in PMA3
16:05-16:20,PMA3 hatch seal inspection,
16:20-16:50,,Installing Controller Panel Assembly (CPA) in PMA3
16:50-17:10,,PMA3 disk cover installation
17:10-17:15,FE-1,РМА3 hatch closure.
17:15-18:15,CDR,Physical Exercise (VELO + Load Trainer/cycle 1) day 1
,FE-1,Physical exercise (CEVIS)
18:15-18:20,FE-1,"Transfer TVIS, RED, and HRM data to MEC"
18:15-18:40,CDR,Daily plan review
18:20-18:40,FE-1,
18:40-18:55,,Daily planning conference (S-band)
19:00-19:30,,Report prep
19:30-20:00,,DINNER
20:00-20:15,CDR,Regeneration of БМП absorbent bed #2 (terminate)
20:00-20:30,FE-1,Daily food prep
20:15-20:30,CDR,
20:30-21:30,,Pre-sleep
21:30-06:00,,SLEEP
Task List,CDR,IMS file prep
СОЖ maintenance,,
GMT,CREW,ACTIVITY
06:00-06:10,.,Morning inspection
06:10-06:40,.,Post-sleep
06:40-07:30,.,BREAKFAST
07:30-07:45,.,Work prep
07:45-08:00,.,Daily planning conference (S-band)
08:00-09:00,.,DOUG review
09:00-11:00,CDR,Condensate removal line (MOK) flushing. Tag up with specialists (S-Band)
09:15-11:15,FE -1,FOOT: video ops
11:00-12:30,CDR,"Physical exercise TVIS, day 1"
11:15-12:15,FE -1,FOOT: video of calibration
12:30-13:30,.,LUNCH
13:30-14:40,.,ISS arm check up
14:40-14:50,FE -1,FOOT pedal installation
14:50-15:50,FE -1,Physical exercise (CEVIS)
15:00-15:30,CDR,СОЖ maintenance
15:30-15:50,CDR,IMS file prep
15:50-16:30,.,ISS arm check up
16:30-16:55,CDR,"Test 1: Checks of space-to-space radio, antenna feeder unit of space-to-spaceradio, ATV control panel (back up)"
16:30-18:00,FE -1,Physical exercise (RED)
16:55-17:55,CDR,"Physical exercise ((VELO + Load Trainer-1), day 1"
17:55-18:00,CDR,On MCC Go: ISS repress with O2 from Progress 353 СрПК (start)
18:00-18:15,CDR,"PILOT. Working place set up. Tagup with specialists. (VHF, S-band)"
18:00-18:05,FE -1,"Transfer TVIS, RED, and HRM data to MEC."
18:05-18:30,FE -1,Daily plan review
18:15-18:30,CDR,Daily plan review
18:30-18:45,.,Daily planning conference  (S-band)
18:45-19:00,CDR,Daily plan review
18:45-19:00,FE -1,Report prep
19:00-19:30,FE -1,Daily food prep
19:00-19:05,CDR,ISS O2 repress from Progress 353 СрПК (end)
19:05-19:30,CDR,Report prep
19:30-20:00,.,DINNER
20:00-20:30,CDR,Daily food prep
20:00-20:30,FE -1,FOOT: equipment stowage ops
20:30-21:30,.,Pre-sleep
21:30-06:00,.,SLEEP
Task List,CDR,Plants-2. Data downlinkURAGAN. File downlink via OCA
GMT,CREW,ACTIVITY
06:00-06:10,CDR,Morning inspection. Check СМ-У (АСУ) cnctr behind pnl 139 for moisture
,FE-1,Morning inspection
06:10-06:40,,Post-sleep
06:40-07:30,,BREAKFAST
10:25-11:00,CDR,SFOG candle replacement and activation Report to MCC part numbers of usedcandles
10:30-11:30,FE-1,Physical Exercise (TVIS)
11:30-13:00,Physical Exercise (RED),
11:30-13:00,CDR,"Physical exercise (TVIS), day 4"
13:00-14:00,,LUNCH
14:00-14:35,CDR,SFOG candle replacement and activation Report to MCC part numbers of usedcandles
