0,1,2,3,4,5,6
GMT,,CREW,,ACTIVITY,,
06:00-06:10,,"CDR, FE-1,FE-4, FE-3,FE-6",,Morning Inspection,,
06:00-06:05,,FE-5,,ICV. 3-hour  battery replacement,,
06:05-06:10,,FE-5,,Morning inspection,,
06:10-06:40,,,,Post-sleep,,
06:40-07:30,,,,BREAKFAST,,
07:30-07:45,,FE-4,,Work Prep,,
07:30-07:40,,FE-3,,REBR-H. Video setup in the LAB,,
07:30-08:00,,CDR,,Work Prep,,
,,,,,,
0 7:30-07:50,,FE-1,,Work Prep,,
07:40-08:05,,FE-3,,REBR-H. Activation,,
07:45-08:00,,FE-4,,Private Family Conference (S-band + Ku),,
07:50-08:40,,FE-1,,Pille equipment dosimeter reading,,
08:00-08:10,,FE-5,,ICV – 10-minute break,,
08:00-08:10,,CDR,,URAGAN. Battery charge start for Photo spectral system sciencehardware (НА ФСС),,
08:05-08:15,,FE-3,,REBR-H. Video setup in ATV2,,
08:10-08:25,,FE-5,,Private Family Conference,,
08:20-08:35,,FE-3,,REBR-H. Setup,,
08:30-09:30,,FE-6,,Physical exercise (CEVIS),,
08:30-09:25,,FE-4,,Physical exercise (ARED),,
08:35-08:40,,FE-3,,P/L Multi-Protocol Converter (MPC) Power On,,
08:40-09:10,,CDR,,Harmful contaminant measurement using CMS in SM,,
08:40-09:50,,FE-1,,"RUSALKA. Destow, Sun calibration and closeout. Tagup with specialists(VHF+S-band)",,
09:05-09:10,,FE-5,,ICV. 3-hour  battery replacement,,
09:10-09:25,,CDR,,ИП-1 (air flow sensor) installation check,,
09:25-09:35,,CDR,,Check for absence of coolant on 4ГБ4 КОБ2 (SM internal thermal loop)half-coupling holder,,
09:25-09:40,,FE-4,,Private psychological conference (VHF),,
09:50-09:55,,CDR,,Comm equipment config to prepare for communication from MRM-2during experiment,,
09:55-10:55,,CDR,,COULOMB CRYSTAL Experiment Ops. Tagup with specialists (S-band),,
