0,1,2,3,4
GMT,CREW,ACTIVITY,,
06:00-06:10,"CDR,FE-1,FE-2",Morning Inspection,,
06:00-06:05,"FE-3,FE-5,FE-6",Reaction Self Test,,
06:05-06:15,"FE-3,FE-5,FE-6",Morning Inspection,,
06:10-06:40,"CDR,FE-1,FE-2",Post-sleep,,
06:15-06:45,"FE-3,FE-5,FE-6",Post-sleep,,
06:40-07:30,"CDR,FE-1",BREAKFAST,,
06:40-07:30,FE-2,BREAKFAST. SM ПСС [Caution & Warning Panel] Test (afterbreakfast),,
06:45-07:35,"FE-3,FE-5,FE-6",BREAKFAST,,
08:15-08:30,"CDR,FE-2",On MCC Go БМП Ф2 Absorption Cartridge regeneration (start)(Handover),,
09:00-10:30,CDR,"Physical Exercise (TVIS), Day 1",,
09:00-10:00,FE-6,Physical Exercise (CEVIS),,
09:15-10:45,FE-3,Physical Exercise (ARED),,
09:30-09:45,FE-2,Private Family Conference (S+Ku-band),,
10:30-10:45,CDR,Private Family Conference (S+Ku-band),,
10:45-11:45,FE-3,Physical Exercise T 2,,
11:00-12:15,FE-1,Physical Exercise (ARED),,
12:00-13:00,FE-2,"Physical Exercise (VELO), Day 1",,
13:00-14:00,.,LUNCH,,
14:00-14:40,FE-1,"СОЖ Maintenance. SM and FGB Water Supply System (СВО),Sanitary And Hygienic Equipment (СГО), Flush Counter (СП),POTOK Air Purification System Data Calldowns",,
14:00-14:15,CDR,Private Psychological Conference (VHF),,
14:25-14:40,FE-5,Private Special Conference,,
15:20-16:50,FE-5,Physical Exercise (ARED),,
15:30-16:45,FE-1,"Physical Exercise (TVIS), Day 2",,
15:40-15:55,FE-6,Private Family Conference,,
16:50-17:50,FE-5,Physical Exercise T 2,,
16:45-18:15,FE-2,"Physical Exercise (TVIS), Day 1",,
17:05-18:35,FE-6,Physical Exercise (ARED),,
17:35-18:35,CDR,"Physical Exercise (VELO), Day 1",,
17:50-18:35,FE-5,VO2max PPFS Stowage,,
18:20-18:35,FE-3,Pro K Urine PH Kit Unstow,,
18:35-19:05,.,Evening Work Prep,,
19:05-19:30,.,Daily Planning Conference (S-band),,
19:30-21:30,FE-1,Pre-sleep,,
19:30-21:20,FE-3,Pre-sleep,,
19:30-21:15,"CDR,FE-2",Pre-sleep,,
19:30-21:25,FE-5,Pre-sleep,,
19:30-21:20,FE-6,Pre-sleep,,
21:20-21:25,FE-6,Reminder VO2max Experiment Protocol,,
21:15-21:30,"CDR,FE-2",БМП Ф2 Absorption Cartridge Regeneration (closeout) (Handover),,
21:25-21:30,"FE-3,FE-5,FE-6",Reaction Self Test,,
21:30-06:00,.,SLEEP,,
Task List,FE-2,SEINER Ocean Observations,,
"CDR,FE-1",ECON. Observations and Photography,,,
"CDR,FE-1,FE-2",Preparation of reports for Roskosmos site,,,
GMT,,CREW,,ACTIVTIY
06:00-06:10,,CDR,,Morning Inspection. SM ПСС [Caution & Warning Panel] Test
06:00-06:05,,FE-1,,PLAZMENNYI KRISTALL. Pressure Check / r/g 9494
06:00-06:10,,"FE-2,FE-3,FE-6",,Morning Inspection
06:00-06:05,,FE-5,,Urine Spot Test
06:05-06:10,,"FE-1,FE-5",,Morning Inspection
06:10-06:40,,.,,Post-sleep
06:40-07:30,,.,,BREAKFAST
07:30-07:55,,.,,DPC (S-band)
07:55-08:10,,FE-6,,JEM CGSE Gas Supply Start
07:55-08:15,,"FE-3,FE-5",,Work Prep
07:55-08:10,,CDR,,Work Prep
07:55-08:15,,"FE-1,FE-2",,TVIS Removal from Temporary Stowage
08:10-08:15,,CDR,,Equipment prep for РАО
08:15-08:30,,.,,ISS Crew and ГОГУ (RSA Flight Control Team Management) WeeklyConference (S-band)
08:30-10:00,,FE-5,,Waste and Hygiene Compartment (WHS) Urine Receptacle and InsertFilter Changeout
08:30-10:00,,FE-3,,Physical Exercise (ARED)
08:30-08:45,,"CDR,FE-1,FE-2",,PAO- greeting to graduates of the city of Ulianovsk (Ku+S-band)
08:30-08:55,,FE-6,,IPU – Hard drive changeout
08:45-10:45,,CDR,,СНТ-50МП Replacement. Tagup with specialists (S-band)
08:50-09:35,,FE-2,,CASKAD. Removal from ТБУ and Setup in Glovebox. Tagup withspecialists (S-band)
08:55-10:55,,FE-6,,SPRINT- placeholder
09:05-09:10,,FE-1,,Comm config to support voice comm from MRM2 during the experiment
09:10-11:00,,FE-1,,ISS-MCC-M TV (RGS + Ku-band)PLAZMENNYI KRISTALL. Experiment ops in semi-automatic (manual)mode
09:35-09:40,,FE-2,,CASKAD. Activate Glove Box Cleaning Tagup with specialists (S-band)
09:40-09:45,,FE-2,,PLAZMENNYI KRISTALL. Check TV signal on ВКУ Monitor
09:45-10:45,,FE-2,,"Physical Exercise (VELO), Day  4"
10:00-10:55,,FE-5,,US Hardware Prepack for Return on 29S
10:00-10:25,,FE-3,,Crew Medical Officer (CMO) Proficiency Training
10:25-10:40,,FE-3,,Journal Entry
10:45-10:55,,CDR,,ON MCC GO Mate СНТ-50МП telemetry connectors
10:45-10:55,,FE-2,,КАСКАД. Изменение положения перчаток. Перег. со спец. (S-band)
10:55-12:10,,CDR,,Замена СНТ-50МП. Перег. со спец. (S-band)
10:55-11:05,,FE-2,,CASKAD. Reconfigure Glove Position Tagup with specialists (S-band)
10:55-11:30,,FE-6,,IFM WHC FILL
11:00-11:25,,FE-1,,PLAZMENNYI CRYSTAL Experiment Termination
11:05-11:45,,FE-2,,СОЖ Maintenance
11:05-12:35,,FE-5,,Physical Exercise (ARED)
11:15-11:25,,FE-3,,ISSAC – Power On
11:25-12:20,,FE-1,,"Physical Exercise (VELO), Day 1"
11:25-12:30,,FE-3,,ITCS  AMIA Removal
11:30-11:40,,FE-6,,SPHERES Crew Conference
11:40-13:10,,FE-6,,SPHERES Test Setup
11:55-12:05,,FE-2,,CASKAD. Activation of General Light and Deactivate Cleaning. Tagupwith specialists (S-band)
12:05-13:00,,FE-2,,"CASKAD. Fill and place Bioreactor in KT enclosure, activate mixing.Tagup with specialists (S-band)"
12:10-12:20,,CDR,,CASCADE Photography
12:20-13:15,,"CDR,FE-1 помощь",,"LBNP Exercise (PRELIMINARY) То=12:43 Tagup w/ specialists (VHF,S-band)"
12:30-12:55,,FE-3,,J-ITCS Air Sampling
12:35-13:05,,FE-5,,Departure Prep
12:55-13:55,,FE-3,,LUNCH
13:55-16:50,,FE-3,,IFM TCS restow
13:00-13:20,,FE-2,,CASKAD. Deactivate Thermostatic Enclosure [KT] and SetupBioreactor in ТБУ Incubator at +29 deg C
13:10-14:10,,"FE-5,FE-6",,LUNCH
13:15-14:15,,"CDR,FE-1",,LUNCH
13:20-14:20,,FE-2,,LUNCH
14:10-14:15,,FE-5,,PROK Diet Logging (Day 2-4)
14:10-16:10,,FE-6,,SPHERES Test Run
14:15-16:15,,"CDR,FE-5",,Soyuz 703 Descent Drill and Return Equipment List & StowageConsultation. Tagup with specialists (S-band)
14:15-14:50,,FE-1,,PLAZMENNYI KRISTALL. Copying Data and Downlink
14:30-15:20,,FE-2,,CASKAD. Glovebox-S Closeout ops
14:50-15:20,,FE-1,,PLAZMENNYI KRISTALL. Hardware Removal
15:20-15:25,,FE-1,,Comm reconfig in MRM2 for Nominal Ops
15:25-16:10,,"FE-1,FE-2",,TVIS Installation
16:10-16:25,,FE-1,,"Scheduled maintenance of valves КН, КВ and КД in Rodnik tanks, SМ"
16:10-16:30,,FE-6,,SPHERES Test Termination
16:10-17:00,,FE-2,,Pille dosimeter data check
16:15-17:30,,CDR,,Physical Exercise (ARED)
16:15-17:15,,FE-5,,Physical Exercise (T2)
16:25-16:40,,FE-1,,ИП-1 sensor installation check
16:30-16:35,,FE-6,,SPHERES Crew Conference
16:35-17:35,,FE-6,,ICV Hardware Removal and Data Download
16:50-17:10,,FE-3,,Treadmill Kinematics Exercise Preparation
17:10-18:40,,FE-1,,"Physical Exercise (TVIS), Day 1"
17:10-17:30,,FE-2,,Evening Work Prep
17:10-18:10,,FE-3,,Physical Exercise (Т2)
17:15-17:45,,FE-5,,Departure Prep
17:30-18:30,,CDR,,Departure Prep
17:30-18:40,,FE-2,,Physical Exercise (ARED)
17:35-18:05,,FE-6,,SPRINT Payload protocol stow
17:45-18:40,,FE-5,,USOS hardware prep for return on 29S
18:05-18:20,,FE-6,,ICV Data download
18:10-18:20,,FE-3,,Treadmill exercise video recording termination and hardware stow
18:20-18:40,,FE-6,,Evening Work Prep
18:20-18:30,,FE-3,,Crew prep for ССЕ
18:30-18:40,,FE-3,,Equipment prep for ССЕ
18:30-18:40,,CDR,,Evening Work Prep
18:40-19:00,,.,,DPC(S-band)
19:00-19:15,,FE-3,,Crew Discretionary Conference
19:00-19:05,,FE-6,,P/TV Playback Start
19:00-19:10,,"CDR,FE-1,FE-2,FE-5",,Evening Work Prep
19:05-19:10,,FE-6,,Evening Work Prep
19:10-19:40,,"CDR,FE-1,FE-2,FE-5,FE-6",,Pre-sleep
19:15-19:40,,FE-3,,Pre-sleep
19:40-20:00,,.,,Flight Director/ISS Crew Tagup
20:00-21:30,,"CDR,FE-1,FE-2,FE-3,FE-5",,Pre-sleep
20:00-21:25,,FE-6,,Pre-sleep
21:25-21:30,,FE-6,,P/TV Playback Stop
21:30-06:00,,.,,SLEEP
Task List,,"CDR,FE-1,FE-2",,Preparation of reports for Roskosmos site
,,,,
,,,,
GMT,,CREW,,ACTIVITY
06:00-06:10,,,,Morning Inspection
06:10-06:40,,,,Post-sleep
06:40-07:30,,CDR,,BREAKFAST. SM ПСС [Caution & Warning Panel] Test (afterbreakfast)
06:40-07:30,,"FE-1, FE-2,FE-3, FE-5,FE-6",,BREAKFAST
08:50-10:20,,CDR,,"Physical Exercise (TVIS), Day  3"
09:00-10:30,,FE-3,,Physical Exercise (ARED)
09:00-10:00,,FE-6,,Physical Exercise (T2)
09:25-09:30,,FE-1,,PLAZMENNYI KRISTALL. Pressure Check / r/g 9494
10:30-11:30,,FE-3,,Physical Exercise (T2)
10:45-10:50,,CDR,,PAO equipment prep
10:50-11:00,,"CDR, FE-1,FE-2",,Crew prep for PAO / r/g 9498
11:00-11:30,,"CDR, FE-1,FE-2",,PAO with Russian Bureau for Central Television of China (Ku+S-band)/ r/g 9498
11:30-13:30,,FE-2,,"Physical Exercise (TVIS), Day 3"
11:45-13:00,,FE-1,,Physical Exercise (ARED)
13:00-14:00,,,,LUNCH
14:15-14:30,,FE-5,,PFC
14:15-14:20,,FE-3,,Payload video replay via MPC - start
14:40-15:40,,FE-6,,Wi-Fi signal level for iPad test allover ISS
14:50-15:30,,FE-1,,"СОЖ Maintenance. SM and FGB SVO, Sanitary and HygienicEquipment (СГО), СПКУ АСУ Counter, POTOK Air PurificationSystem Data Calldowns"
15:30-16:45,,FE-1,,"Physical Exercise (TVIS), Day  4"
15:35-17:05,,FE-5,,Physical Exercise (ARED)
15:50-16:05,,FE-6,,PFC
16:35-17:35,,CDR,,"Physical Exercise (TVIS), Day  3"
17:05-18:35,,FE-6,,Physical Exercise (ARED)
17:05-18:05,,FE-5,,Physical Exercise (T2)
17:35-18:35,,FE-2,,"Physical Exercise (VELO), Day  3"
18:30-18:35,,FE-3,,Payload video replay via MPC – termination
18:35-19:05,,,,Evening Work Prep
19:05-19:15,,,,Pre-sleep
19:15-19:40,,,,Daily Planning Conference (S-band)
19:40-21:25,,FE-1,,Pre-sleep
19:40-21:30,,"CDR, FE-2,FE-5, FE-6",,Pre-sleep
19:40-19:45,,FE-3,,Pre-sleep
19:45-20:00,FE-3,PFC,,
20:00-21:30,FE-3,Pre-sleep,,
21:25-21:30,FE-1,PLAZMENNYI KRISTALL. Pressure Check,,
21:30-06:00,,SLEEP,,
,"CDR, FE-1",ECON. Observations and Photography,,
,FE-2,SEINER Ocean Observations,,
Task List,"CDR, FE-1,",,,
,FE-2,"Видеосъемка для телестудии Роскосмос и телеканала ""Карусель""",,
,"CDR, FE-1,",,,
,FE-2,Preparation of reports for Roskosmos site,,
GMT,CREW,ACTIVITY,,
06:00-06:10,CDR,Morning Inspection. SM ПСС [Caution & Warning Panel] Test,,
06:00-06:10,"FE-1, FE-2",Morning Inspection,,
06:00-06:05,FE-3,Integrated Cardiovascular 3-Hour Makita Battery Swap,,
06:00-06:05,"FE-5, FE-6",Reaction Self Test,,
06:05-06:10,"FE-5, FE-6",Morning Inspection,,
06:05-06:10,FE-3,Urine Spot Test,,
06:10-06:40,"CDR, FE-1,FE-2, FE-5,FE-6",Post-sleep,,
06:10-06:30,FE-3,HRF Urine Sample Collection Subject,,
