0,1,2,3
TIME,CREW,ACTIVITY,
06:00-06:10,CDR,Morning Inspection. Laptop RS2(1) Reboot,
06:00-06:10,FE-2,"Morning Inspection. RSS1, RSS2 Reboot",
06:00-06:10,FE-3,Morning Inspection,
06:00-06:10,FE-4,Morning Inspection. SM ПСС (Caution & Warning Panel) Test,
06:00-06:05,FE-5,PROK. Urine РН Test,
06:00-06:05,FE-6,PRO K Urine PH Test,
06:05-06:10,FE-6,Morning Inspection,
06:05-06:25,FE-5,HRF Urine Sample Collection,
,"CDR, FE-2,",,
06:10-06:40,"FE-3, FE-4,",Post-sleep,
,FE-6,,
06:25-06:30,FE-5,HRF - Urine Sample MELFI Insertion,
06:30-06:40,FE-5,Morning Inspection,
06:40-07:15,FE-5,Post-sleep,
,"CDR, FE-2,",,
06:40-07:15,"FE-3, FE-4,",BREAKFAST,
,FE-6,,
07:15-07:40,,Daily Planning Conference (S-band),
07:40-08:30,FE-5,BREAKFAST,
,"CDR, FE-2,",,
07:40-07:55,"FE-3, FE-4,",BREAKFAST,
,FE-6,,
07:55-08:05,FE-4,Work Prep,
07:55-08:15,"CDR, FE-2, FE-3, FE-6",Work Prep,
08:05-08:15,FE-4,URAGAN. Photo Spectrum System Battery Charge (start),
08:15-08:30,"CDR, FE-4",IMS Tagup (S-band),
08:15-08:25,FE-3,CIR - Hardware Setup,
08:15-08:25,FE-6,USND2. Hardware Activation,
08:30-08:50,FE-5,ESA Weekly Crew Conference,
08:30-08:45,"FE-2, FE-4",Configure ПхО prior for Pressurized Orlan Suit Translation Training,
08:45-10:15,"FE-2, FE-4",Transfer of two Pressurized Orlan Suits to ПхО,
08:50-09:10,FE-5,Work Prep,
09:05-10:15,CDR,Assistance in Transfer of two Pressurized Orlan Suits to ПхО,
09:10-10:40,FE-3,Physical Exercise (ARED),
09:15-11:15,FE-6,SPINAL. Scanning Ops,
09:25-09:45,FE-5,HRF Urine Sample Collection,
09:45-09:50,FE-5,HRF - Sample Insertion into MELFI,
10:15-11:00,CDR,ТКГ 418 (DC1) Activation,
10:15-10:30,"FE-2, FE-4",Configuring ПхО to Initial State after EVA Training,
10:30-10:45,"FE-2, FE-4",Orlan-MK Drink Bag Refill and Install,
10:40-10:45,FE-3,SPINAL - Scan Photo,
10:45-11:45,FE-3,SODF Deploy,
10:45-11:45,FE-2,"Installation of Portable Repress Tank (БНП) No. 3 п.1 (001473R, МИМ2_Пт_302) in [РО]  prior to EVA",
10:50-11:55,FE-4,"URAGAN. Observation and Photography using Photo Spectral System (ФСС). Tagup with specialists (S-band, VHF)",
11:00-11:20,CDR,DC1-ТКГ Hatch Closure,
11:15-12:45,FE-5,Physical Exercise T2,
11:20-12:20,CDR,DC1-СУ and СУ-ТГК Hatch Leak Check,
11:45-12:00,FE-3,EXPRS3 - Load Application and Configure Laptop for the Experiment,
11:45-12:00,FE-3,MERLIN3. Application Load,
11:45-13:05,FE-2,БД-2 Exercise - Day 4,
11:55-13:25,FE-4,Physical Exercise (ARED),
12:00-12:10,FE-3,BCAT - Camera Battery Changeout,
12:10-12:25,FE-6,HRF. Ultrasound 2 HRF Rack 1 Power Off and Stow .,
12:20-13:20,CDR,"Physical Exercise (VELO), Day 1",
12:25-12:40,FE-3,IMS and Stowage Conference,
12:25-12:50,FE-6,Columbus Front Deck Rack Front Restow,
12:40-12:55,FE-3,ABRS - Application Load,
12:45-13:45,FE-5,LUNCH,
12:50-13:50,FE-6,LUNCH,
12:55-13:55,FE-3,LUNCH,
13:05-14:05,FE-2,LUNCH,
13:20-14:20,CDR,LUNCH,
13:25-14:25,FE-4,LUNCH,
13:45-13:50,FE-5,PROK. Diet Logging,
13:50-14:00,FE-6,PROK. Diet Logging First Time,
13:50-14:10,FE-5,BLR48. Media Card Exchange,
13:55-15:50,FE-3,ATV Cargo Operations,
14:00-15:50,FE-6,ATV Cargo Operations,
14:05-14:15,FE-2,Installation of additional portable repress tank (БНП) No. 17 (00056724R) in DC1,
14:10-15:50,FE-5,ATV Cargo Operations,
14:15-15:15,FE-2,"СКПФ1, СКПФ2 Dust Filter Replacement and MRM1 ГЖТ Cleaning  (ФГБ1ПГО_2_226_1, bag 10 (00060210R) Reflect changes in IMS)",
14:20-15:30,CDR,Replacement of АСУ Control Panel ПУ-1. Tagup with specialists (S-band),
14:25-15:25,FE-4,В3 Fan Screen Cleaning in DC1,
15:15-15:40,FE-2,Crew Medical Officer (CMO) Proficiency Training,
15:25-15:40,FE-4,EVA Medical Kit Configuration,
15:30-15:40,CDR,On MCC Go Demating БИТС2-12 telemetry connectors. Tagup with specialists (S-band),
15:40-16:30,CDR,Replacement of АСУ Control Panel ПУ-1. Tagup with specialists (S-band),
15:40-16:20,FE-2,Microbial Sample Collection,
15:50-16:50,FE-4,БД-2 Exercise - Day 4,
15:50-16:00,"FE-3, FE-5, FE-6",ATV - prep for Transfer Tagup,
16:00-17:00,FE-6,Physical Exercise T2,
16:00-16:20,FE-5,HRF Urine Sample Collection,
16:20-16:25,FE-5,HRF - Sample Insertion into MELFI,
16:20-16:40,FE-2,MO-21 Prep. ECOSPHERA Battery Charge,
16:25-16:35,FE-5,ATV Transfer Tagup,
16:30-16:50,CDR,IMS Update,
16:35-16:45,FE-5,HRF - Hardware Setup,
16:40-17:05,FE-2,Evening Work Prep,
,,"Replacement of Dust Collector filters ПФ1, ПФ2 (ФГБ1ПГО_2_226_1,",
16:50-17:40,FE-4,"bag 10 (00060210R) Update IMS) and В1, В2 Fan Screen Cleaning in",
,,DC1,
16:50-18:20,CDR,БД-2 Exercise - Day 1,
17:00-18:30,FE-6,Physical Exercise (ARED),
17:05-18:05,FE-2,"Physical Exercise (VELO), Day 4",
17:10-18:10,FE-5,Physical Exercise (CEVIS),
17:15-18:15,FE-3,Physical Exercise T2,
17:40-18:20,FE-4,Cleaning ВД1 and ВД2 Air Ducts in DC-1,
18:05-18:45,FE-2,СОЖ Maintenance,
18:10-18:30,FE-5,HRF Urine Sample Collection,
18:15-18:45,FE-3,Evening Work Prep,
18:20-18:45,"CDR, FE-4",Evening Work Prep,
18:30-18:45,FE-6,Evening Work Prep,
18:30-18:35,FE-5,HRF - Sample Insertion into MELFI,
18:35-18:45,FE-5,ATV - Post-Activity Photo,
18:45-19:10,,Daily Planning Conference (S-band),
19:10-19:30,,Evening Work Prep,
19:30-21:30,"CDR, FE-2, FE-4",Pre-sleep,
19:30-21:20,FE-5,Pre-sleep,
19:30-21:25,"FE-3, FE-6",Pre-sleep,
21:20-21:25,FE-5,Reading REMINDER,
21:25-21:30,"FE-3, FE-5, FE-6",BCAT Reminder,
