0,1,2,3,4,5,6,7,8,9
,TIME,,"CREWCDRFE-6FE-1FE-2FE-4, FE-5FE-6FE-1, FE-2,FE-4, FE-5CDR, FE-6CDR, FE-6FE-1FE-2, FE-4,FE-5CDR, FE-6CDR, FE-5,FE-6FE-1FE-2,FE-4FE-1FE-4FE-5CDRFE-1FE-2FE-4FE-5.CDRFE-1, FE-2,FE-4CDRFE-2FE-1CDRFE-4FE-5",,"ACTIVITYHRF. Urine Specimen Collection.REMINDER - reading reminderMorning Inspection.Reboot of RSS1, 2Morning Inspection.Reboot of RS1(2) LaptopMorning Inspection.HRF- specimen collection and stowagePost sleepHRF - specimen stowage in MELFIPost sleepBreakfast.SM C&W Panel Test (after breakfast)BreakfastBreakfastWeekly station housekeepingWeekly station housekeepingSM Ventilation Preventive Maintenance, Group EFGB ЦВ2 Cleaning[СКВ] InspectionWeekly station housekeeping [ВКС] Laptop CleaningPhysical Exercise - Treadmill-2 - Day 4IDENTIFIKATSIA. Copy readings to laptop ИМУ-ЦPhysical Exercise - T2Physical Exercise - AREDWeekly station housekeeping Potok-150 MK Pre-Filter CleaningPhysical Exercise - VELO - Day 3Private family conference (Ku+S-band)Food QuestionnaireLunchHRF. Urine Specimen Collection.Greeting VideoHRF - specimen stowage in MELFIСОЖ MaintenancePhysical Exercise - AREDPhysical Exercise - T2Physical Exercise - Treadmill-2 - Day 3Physical Exercise - ARED",,,,
,06:00-06:20,,,,,,,,
,06:00-06:05,,,,,,,,
,06:00-06:10,,,,,,,,
,06:00-06:10,,,,,,,,
,06:00-06:10,,,,,,,,
,06:05-06:20,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,06:20-06:25,,,,,,,,
,06:25-06:55,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,06:55-07:30,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,07:30-09:30,,,,,,,,
,07:30-10:30,,,,,,,,
,10:30-12:00,,,,,,,,
,10:30-11:10,,,,,,,,
,11:00-12:00,,,,,,,,
,11:30-13:00,,,,,,,,
,12:00-13:00,,,,,,,,
,12:00-13:00,,,,,,,,
,12:00-12:15,,,,,,,,
,12:50-13:00,,,,,,,,
,13:00-14:00,,,,,,,,
,14:00-14:20,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,14:20-14:25,,,,,,,,
,14:40-15:20,,,,,,,,
,15:30-16:30,,,,,,,,
,16:00-17:00,,,,,,,,
,16:00-17:30,,,,,,,,
,16:30-18:00,,,,,,,,
,TIME,,,,,,,,
,06:00-06:10,,,,,,,,
,06:00-06:10,,,,,,,,
,06:00-06:15,,,,,,,,
,06:00-06:10,,,,,,,,
,06:00-06:05,,,,,,,,
,06:00-06:05,,,,,,,,
,06:05-06:10,,,,,,,,
,,,,,,,,,
,06:10-06:30,,,,,,,,
,,,,,,,,,
,06:10-06:15,,,,,,,,
TIME,CREW,,ACTIVITY,,,,,,
,"CDR,FE-4,",,,,,,,,
06:00-06:10,,Morning Inspection,,,,,,,
,FE-6,,,,,,,,
06:00-06:10,FE-1,"Morning Inspection, Laptop RSS1,2 Reboot",,,,,,,
06:00-06:10,FE-2,"Morning Inspection, Laptop RS1(2) Reboot",,,,,,,
06:00-06:05,FE-5,PROK – Urine Sample Collection,,,,,,,
06:05-06:25,FE-5,HRF - Urine Sample Collection,,,,,,,
,"CDR,FE-1,",,,,,,,,
06:10-06:40,"FE-2,FE-4,",Post-Sleep,,,,,,,
,FE-6,,,,,,,,
06:25-06:30,FE-5,HRF – Sample MELFI Insertion,,,,,,,
06:30-06:50,FE-5,Post-Sleep,,,,,,,
06:40-07:30,FE-4,Breakfast. SM ПСС Test (after Breakfast),,,,,,,
,"CDR,FE-1,",,,,,,,,
06:40-07:30,,Breakfast,,,,,,,
,"FE-2,FE-6",,,,,,,,
06:50-07:30,FE-5,Breakfast,,,,,,,
08:50-10:20,CDR,ARED Exercise,,,,,,,
09:00-10:00,FE-5,T2 Exercise,,,,,,,
09:00-10:00,FE-6,CEVIS Exercise,,,,,,,
10:10-10:25,FE-4,Private Family Conference (Ku+S-band),,,,,,,
10:20-11:20,CDR,T2 Exercise,,,,,,,
10:20-11:50,FE-2,ARED Exercise,,,,,,,
10:50-11:50,FE-4,"БД-2 Exercise, Day 4",,,,,,,
11:50-12:05,FE-2,Private Family Conference (Ku+S-band),,,,,,,
12:30-12:45,FE-1,Private Family Conference (Ku+S-band),,,,,,,
12:35-12:55,FE-5,HRF - Urine Sample Collection,,,,,,,
12:55-13:00,FE-5,HRF - Sample MELFI Insertion,,,,,,,
13:00-14:00,.,LUNCH,,,,,,,
,,"СОЖ Maintenance. SM and FGB СВО, СГО, АСУ СПКУ counter, POTOK",,,,,,,
14:00-14:40,FE-2,,,,,,,,
,,Air Purification System Data Calldowns,,,,,,,
14:00-14:05,FE-5,PROK – Diet Log Preparation,,,,,,,
15:00-16:30,FE-4,ARED Exercise,,,,,,,
