0,1,2,3,4,5,6
GMT,,CREW,,ACTIVITY,,
06:00-06:10,,.,,Morning inspection,,
06:10-06:40,,.,,Post-sleep,,
06:40-07:30,,.,,BREAKFAST,,
07:30-07:50,,FE-1,,Work prep,,
07:30-07:55,,"CDR, FE-2",,Work prep,,
07:50-07:55,,FE-1,,PLANTS-2. Payload status check.,,
07:55-08:10,,.,,Daily planning conference (S-band),,
08:15-09:45,,FE-1,,Replacement of ДКЦ1Г1 (ТА253) device in Message Acquisition Equipment [АСС],,
08:15-08:45,,FE-2,,Glove Box (MSG) - troubleshooting,,
08:15-08:25,,CDR,,LAB payload status check,,
09:30-11:00,,CDR,,Periodic Fitness Assessment: NOMINAL OPS,,
09:45-11:15,,FE-1,,Replacement of ДКЦ1Г3 (ТА253) device in Message Acquisition Equipment [АСС],,
10:15-10:45,,FE-2,,Periodic Fitness Assessment: NOMINAL OPS,,
10:50-11:05,,FE-2,,Glove Box (MSG) - troubleshooting,,
11:00-12:30,,CDR,,Physical exercise (RED),,
11:30-12:30,,FE-1,,"Physical exercise  (VELO + Load Trainer 1, day 3)",,
12:05-12:15,,FE-2,,Glove Box (MSG) - troubleshooting,,
12:30-13:30,,.,,LUNCH,,
13:30-14:30,,FE-1,,Test video recording from ВК-1 and audio recording from [ГНШК] microphone on LIVvideo monitor,,
13:45-14:00,,FE-2,,Glove Box (MSG) - troubleshooting,,
14:35-14:40,,FE-2,,Glove Box (MSG) - troubleshooting,,
14:45-16:15,,FE-2,,Periodic Fitness Assessment: NOMINAL OPS,,
15:05-15:35,,CDR,,Periodic Fitness Assessment: NOMINAL OPS,,
15:35-16:15,,CDR,,IMS file prep,,
15:50-16:30,,FE-1,,СОЖ maintenance,,
16:15-17:15,,"CDR, FE-2",,DOUG S/W overview,,
16:30-18:00,,FE-1,,"Physical exercise (TVIS, day 3)",,
17:15-18:45,,FE-2,,Physical exercise (RED),,
17:25-17:55,,CDR,,HRM data transfer to MEC,,
18:00-18:15,,FE-1,,MOLNIYA-SM. Removal,,
18:15-18:45,,"CDR, FE-1",,Daily plan review,,
18:45-19:00,,.,,Daily planning conference (S-band),,
19:00-19:30,,.,,Work prep,,
19:30-20:00,,.,,DINNER,,
20:00-20:30,,.,,Daily food prep,,
20:30-21:30,,.,,Pre-sleep,,
21:30-06:00,,.,,SLEEP,,
GMT,,CREW,,ACTIVITY,,
06:00-06:10,,.,,Morning inspection,,
06:10-06:40,,,Post-sleep,,,
06:40-07:30,,,BREAKFAST,,,
07:30-07:45,,"CDR, FE-2",,Work prep,,
07:30-07:40,,FE-1,,,,
07:40-07:45,,,PLANTS-2. Payload status check,,,
07:45-08:00,,.,,Daily planning conference (S-band),,
08:00-08:15,,,Work prep,,,
08:15-09:15,,FE-1,,ЦВ fans: grille cleaning,,
08:15-08:45,,FE-2,,Glove Box (MSG) - troubleshooting,,
08:15-08:30,,CDR,,Food questionnaire,,
08:30-08:35,,,DCP panel connection,,,
08:45-09:00,,FE-2,,Food questionnaire,,
09:15-09:45,,FE-1,,PLANTS-2. Data downlink. Tagup with specialists (S-band),,
09:20-09:35,,FE-2,,Glove Box (MSG) – troubleshooting,,
09:40-11:10,,,Physical exercise (RED),,,
09:45-10:45,,FE-1,,Physical exercise (VELO+НС-1)-Active Rest,,
10:45-12:35,,,Procedure review: SM Window #9 inspection and training on inspection and photo-imaging,,,
11:05-12:35,,CDR,,Physical exercise (RED),,
11:10-11:20,,FE-2,,Glove Box (MSG) - troubleshooting,,
11:20-12:20,,,Physical exercise (TVIS),,,
12:20-12:25,,,Glove Box (MSG) - troubleshooting,,,
12:35-13:35,,.,,LUNCH,,
13:35-13:40,,FE-1,,Inspection of БРПК-1 separator,,
13:35-13:40,,FE-2,,Glove Box (MSG) - troubleshooting,,
13:40-17:40,,"CDR, FE-2",,ROBO ops,,
13:40-14:10,,FE-1,,File prep after SM window inspection and photo-imaging,,
14:10-14:50,,,СОЖ maintenance,,,
16:05-17:35,,,Physical exercise (TVIS): Active Rest,,,
17:35-18:15,,,IMS file prep,,,
17:40-18:40,,CDR,,Physical exercise (TVIS),,
18:15-18:45,,"FE-1, FE-2",,Daily plan review,,
18:45-18:55,,.,,Work prep,,
18:55-19:10,,,Daily planning conference (S-band),,,
19:10-19:20,,,Work prep,,,
