0,1,2,3,4,5
GMT,CREW,ACTIVITY,,,
06:00-06:10,.,Morning inspection,,,
06:10-06:40,.,Post-sleep,,,
06:40-07:30,.,BREAKFAST,,,
07:30-08:00,CDR,Work prep,,,
07:35-08:00,FE-1,,,,
08:00-08:15,.,Daily planning conference (S-band),,,
08:25-09:15,FE-1CDR(assists),A study of cardiovascular system response to graded cycle ergometerexercise (То=08.41). Tagup with specialists (VHF,,,
09:15-09:30,FE-1,Regeneration of БМП absorbent bed #1 (init),,,
09:15-09:45,CDR,Changeout of СРВ-К2М purification column unit / New No. 401013 b/c010484R ФГБ1ПГО_3_304_1 . Stow the removed unit for disposal. Reportto MCC,,,
09:30-10:00,FE-1,NANOSPUTNIK. RODF review and health check  + photo,,,
10:00-10:50,CDRFE-1(assists),A study of cardiovascular system response to graded cycle ergometerexercise (То=10.15). Tagup with specialists (VHF),,,
10:50-11:50,FE-1,Physical Exercise (VELO+Force Loader/Cycle 1) day 1,,,
10:50-11:50,CDR,Physical exercise (TVIS),,,
11:50-12:00,CDR,"Set up the first Orlan battery pack 825М3 for charging and start chargingthe first pack #1267830131, b/c 009679R, ФГБ1ПГО_4_408_1, white bag249-2",,,
12:00-12:40,.,"Preparation of EVA equipment and tools (including prep work on the МБРЛWAL 4, 5, 6 antenna and photo imaging during antenna preparation). Tagupwith specialists (S-band+VHF)",,,
12:40-13:30,.,"Preparation of EVA equipment and tools (including prep work on theantenna box, ACH cable and cable clips, and photo imaging duringpreparation activities). Tagup with specialists (S-band+VHF)",,,
13:30-14:30,.,LUNCH,,,
14:30-15:40,.,"Preparation of EVA equipment and tools (including prep work on the toolcaddy [КПУ], tools, suit attached hardware, and photo imaging duringpreparation activities). Tagup with specialists (S-band+VHF)",,,
15:40-16:40,.,"Preparation of Orlan replaceable components, service and personal gear",,,
16:40-17:10,CDR,Preparation of an EVA hardware imagery file for OCA downlink,,,
16:40-18:10,FE-1,Physical Exercise (TVIS) Day 1,,,
17:10-18:40,CDR,Physical exercise (RED),,,
18:10-18:30,FE-1,Daily plan review,,,
18:30-19:00,FE-1,Report prep,,,
18:40-18:45,CDR,"Transfer TVIS, RED, and HRM data to MEC.",,,
18:45-19:00,CDR,Report prep,,,
19:00-19:15,.,Daily planning conference (S-band),,,
19:15-19:45,FE-1,DINNER,,,
19:15-19:30,CDR,Report prep,,,
19:30-20:00,CDR,DINNER,,,
19:45-20:15,FE-1,Daily food prep,,,
20:00-20:30,CDR,,,,
20:15-21:15,FE-1,Pre-sleep,,,
20:30-21:30,CDR,,,,
21:15-21:30,FE-1,Regeneration of БМП absorbent bed #1 (terminate),,,
21:30-06:00,.,SLEEP,,,
Task List,FE-1,PLANTS-2. Payload status check,,,
PLANTS-2. Recharging water tank,,,,,
Locating hardware for recording АСН-М data to Laptop 3,,,,,
ТБУ. Temperature check,,,,,
СОЖ maintenance БРПК Inspection,,,,,
GMT,CREW,ACTIVITY,,,
06:00-06:10,,Morning inspection,,,
06:10-06:40,,Post-sleep,,,
06:40-07:30,,BREAKFAST,,,
07:30-08:00,,Prep for work,,,
08:00-08:15,,Daily planning conference (S-band),,,
09:10-09:40,FE-1,Upgrade of ИПК-1М gas mask (1 unit). Get any unit. Report number to MCC.Tagup (S-band),,,
09:40-11:10,,EVA ops sequence review. Tagup (S-band),,,
11:10-11:30,,EVA conference with MCC (S-band),,,
11:30-13:00,FE-1,Physical Exercise (TVIS) day 1,,,
11:30-13:00,CDR,Physical Exercise (RED),,,
13:00-14:00,,LUNCH,,,
15:30-15:50,,ISS crew / Astronaut office conference (Kent Rominger) (S-band),,,
16:05-17:05,CDR,Physical Exercise (TVIS),,,
17:05-17:10,CDR,TVIS/RED/HRM data transfer to MEC,,,
17:05-18:05,FE-1,Physical Exercise (VELO + Force Loader-1) day 1,,,
18:55-19:10,CDR,Daily ration prep,,,
19:10-19:30,,FD / ISS crew conference (S-band),,,
19:30-20:00,,DINNER,,,
20:00-20:30,FE-1,Daily ration prep,,,
20:00-20:15,CDR,Daily ration prep,,,
20:15-20:25,CDR,Pre-sleep,,,
20:25-20:40,CDR,Private family conference,,,
20:30-21:30,FE-1,Pre-sleep,,,
20:40-21:30,CDR,Pre-sleep,,,
21:30-06:00,,SLEEP,,,
Task List,FE-1,PLANTS-2. P/L status check,,,
