0,1,2,3,5
,18:30-19:30,,"FE-1FE-6CDRFE-5FE-5CDR, FE-5,",
,18:35-19:00,,,
,18:40-19:00,,,
,18:45-18:55,,,
,18:55-19:00,,,
,,,,
,19:00-19:15,,Daily Planning Conference (S-band),
,,,"E-6DR, FE-5,",
,,,,
,,,,
,19:15-19:30,,Evening Work Prep,
,,,"E-6DR, FE-5,",
,,,,
,,,,
,19:30-21:25,,,
,,,"E-6E-1, FE-2,",
,,,Pre-sleep,
,,,,
,19:30-21:30,,,
,,,"E-4DR, FE-5,",
,,,,
,,,,
,21:25-21:30,,Reaction Self Test,
,,,,
,,,,
,21:30-06:00,,,
,,,,
,Task List,,,
,URAGAN Observations and Photography,,,
,Preparation of reports for Roskosmos site,,,
,SEINER Ocean Observations,,,
,ECON-M. Observations and Photography,,,
,ACTIVITYMorning Inspection.,,,
,"Reboot Laptop RS2(1)Reload Laptop RSS1, RSS2 / r/g 1009 step 1Visual Inspection of MRM1 БПП-4, БПП-7 Fuses",,,
,Visual Inspection of Circuit Breakers [АЗС] on DC Power Switch,,,
"Panel (БВП) and Fuses on MRM2 Fuse Boxes , БПП-30, БПП-36Morning InspectionPost-sleepBREAKFASTBREAKFAST.SM ПСС (Caution & Warning Panel) Test (after breakfast)CSLM2 Vacuum Vent StopWeekly HousekeepingCSLM2 - Vacuum Vent StartIDENTIFICATION. Copy ИМУ-Ц micro-accelerometer data to laptopWeekly HousekeepingTelephone conference with Russian Space magazine editorТК 704A Kazbek Fit CheckCGBA Status Check and MaintenanceMealWeekly HousekeepingFood Frequency QuestionnaireСОЖ MaintenancePre-sleepCSLM2 Vacuum Vent StopPre-sleepCSLM2 - Vacuum Vent StartSLEEPURAGAN Observations and Photography",,,,
Preparation of reports for Roskosmos site,,,,
ECON-M. Observations and Photography,,,,
TIME,CREW,,,
,"CDR, FE-5,",,,
06:00-06:10,,Morning Inspection,,
,FE-6,,,
,,Morning Inspection.,,
06:00-06:10,FE-1,,,
,,Reboot Laptop RS2(1),,
,,"Morning Inspection. RSS1, 2 Reboot",,
06:00-06:10,FE-2,Visual Inspection of Circuit Breakers [АЗС] on DC Power Switch,,
,,"Panel (БВП) and Fuses on Fuse Boxes 30, 36",,
,,Morning Inspection.,,
06:00-06:10,FE-4,,,
,,SM ПСС (Caution & Warning Panel) Test,,
06:10-06:40,,Post-sleep,,
06:40-07:30,,BREAKFAST,,
07:30-07:50,,Work Prep,,
,"FE-1, FE-2,",,,
07:50-08:05,,Daily Planning Conference (S-band). Note 5,,
,FE-4,,,
,,ISS Crew and ГОГУ (RSA Flight Control Team Management),,
08:15-08:30,,,,
,,Weekly Conference (S-band),,
08:30-08:35,CDR,CGBA Status Check and Maintenance,,
08:30-08:40,FE-4,MAI – 75.Equipment setup,,
08:30-08:45,"FE-1, FE-2",IMS Tagup (S-band),,
08:35-10:05,CDR,Physical Exercise (ARED),,
08:40-08:50,FE-4,MAI-75. Transmitter Activation and Monitoring,,
08:45-09:20,"FE-1, FE-2",OBSTANOVKA. Connecting КЦН and СУБА cables,,
08:55-09:05,FE-4,MAI-75. Transmitter Activation and Monitoring,,
,,"СКПФ1, СКПФ2 Dust Filter Replacement and MRM1 ГЖТ",,
09:05-10:05,FE-4,"Cleaning, МИМ1  (ФГБ1ПГО_2_224_1, bag (00050788R)) update",,
,,IMS,,
09:20-09:45,"FE-1, FE-2",OBSTANOVKA. Removal of static electricity form telemetry cables,,
09:45-09:55,"FE-1, FE-2",OBSTANOVKA. Mating electrical connectors,,
,,On MCC GO OBSTANOVKA. Mating connectors (mating cables to,,
09:55-10:15,"FE-1, FE-2",,,
,,СБИ),,
,"CDR, FE-6,",,,
10:05-10:35,,Weekly Housekeeping,,
,FE-5,,,
10:15-10:35,"FE-1, FE-2",OBSTANOVKA. Connecting ПВК and СУБА cables,,
10:15-10:25,FE-4,MAI - 75. Transmitter Activation and Monitoring,,
10:30-10:40,FE-4,MAI-75. Transmitter Activation and Monitoring,,
10:35-11:35,CDR,Physical Exercise T2,,
10:35-10:55,"FE-1, FE-2",OBSTANOVKA. Closeout Ops,,
10:35-10:40,FE-6,Photo/TV Setup for ROBoT Ops,,
10:40-11:55,FE-4,Physical Exercise (ARED),,
10:40-10:55,FE-6,Robotics OBT - start,,
10:55-11:55,FE-6,Physical Exercise (CEVIS),,
18:10-18:25,FE-6,Evening Work Prep,,
,"CDR, FE-5,",,,
18:25-18:30,,SHD - Weekly Questionnaire Data Entry,,
,FE-6,,,
18:30-18:55,,Daily Planning Conference (S-band),,
18:55-19:10,,Evening Work Prep,,
19:10-19:30,,Flight Director/ISS Crew Tagup,,
19:30-21:15,CDR,Pre-sleep,,
,"FE-1, FE-2,",,,
