0,1,2
TIME,CREW,ACTIVITY
06:00-06:10,CDR,Morning Inspection. Laptop RS1(2) Reboot
,,Morning Inspection. Visual Inspection of Circuit Breaker (АЗС) Position
06:00-06:10,FE-2,on DC1 Power Switch Panel (БВП) and Fuses on DC Fuse Boxes
,,"БПП-30, 36 per LED indication"
06:00-06:10,"FE-3, FE-5",Morning Inspection
06:00-06:10,FE-4,"Morning Inspection. RSS1,2 Reboot"
06:00-06:05,FE-6,REMINDER. Reading Reminder
06:05-06:10,FE-6,Morning Inspection
06:10-06:40,,Post-sleep
,"CDR, FE-3,",
06:40-07:30,"FE-4, FE-5",BREAKFAST
,FE-6,
06:40-07:30,FE-2,BREAKFAST.  SM ПСС Test (after breakfast)
07:30-09:30,FE-4,Weekly Housekeeping Cleaning Auxiliary Computer System (ВКС) Laptops
,,"Weekly Housekeeping / МО, Book 1, 1.2.1, p. 1-2"
,,"SM Ventilation Subsystem Preventive Maintenance, Group E"
07:30-09:30,CDR,FGB ЦВ2 Fan Cleaning
,,Inspection of Air Conditioner
,,Cleaning Auxiliary Computer System (ВКС) Laptops
07:30-09:30,FE-2,Weekly Housekeeping Cleaning Auxiliary Computer System (ВКС) Laptops
07:30-08:10,FE-6,Weekly Housekeeping
07:30-10:30,"FE-3, FE-5",Weekly Housekeeping
08:10-08:30,FE-6,HAM Radio Session
08:30-10:50,FE-6,Weekly Housekeeping
09:35-09:50,CDR,
,,ABOUT GAGARIN FROM SPACE. Experiment Ops
09:40-09:50,FE-2,
09:50-10:50,"FE-2, FE-4",Weekly Housekeeping Cleaning Auxiliary Computer System (ВКС) Laptops
10:30-10:35,FE-3,CGBA - Status Check and Monitor Cleaning
10:35-12:05,FE-3,ARED Exercise
10:50-11:00,FE-6,CIRCADIAN RHYTHMS - Removal of the Double Sensors and Thermolab Hardware
11:05-11:25,CDR,
,,ABOUT GAGARIN FROM SPACE. Experiment Ops
11:10-11:25,FE-2,
11:15-11:50,FE-5,Wastewater Storage Tank Assembly (WSTA) Fill
12:00-13:00,CDR,Weekly Housekeeping  Cleaning SM and FGB Potok-150MK Air Purification System Pre-filters
12:00-13:00,FE-4,"VELO Exercise, Day 4"
"CREWCDRFE-2,FE-3,FE-5FE-4FE-6FE-6CDR,FE-",,
,"E-3,FE-,",
15:30-15:45,"FE-1, FE-2",CMS and ARED Introduction
15:30-17:00,FE-4,"БД-2 Exercise, Day 4"
16:35-16:50,FE-1,Private Medical Conference (Ku + S-band)
16:50-17:05,FE-2,Private Medical Conference (Ku + S-band)
16:50-18:20,FE-1,"БД-2 Exercise, Day 1"
19:00-19:30,"FE-1, FE-2, FE-4",Evening Work Prep
19:30-21:30,"FE-1, FE-2, FE-4",Pre-sleep
21:30-06:00,"FE-1, FE-2, FE-4",SLEEP
,FE-1,VIRTUAL. Experiment Ops
Task List,FE-2,VIRTUAL. Experiment Ops
,FE-4,SEINER Ocean Observations
TIME,CREW,
,,Morning Inspection.
06:00-06:10,FE-4,Laptop RS1(2) Reboot
,,"SM ПСС (Caution & Warning Panel) Test RSS1,2 Reboot"
06:00-06:10,"CDR, FE-5",Morning Inspection
06:10-07:00,FE-4,BREAKFAST
06:10-06:30,"CDR, FE-5",Post-sleep
06:30-07:20,"CDR, FE-5",BREAKFAST
07:00-07:10,FE-4,Post-sleep
07:10-07:20,FE-4,ВКС Laptops Antivirus Scan Check and Status Report
07:20-07:35,,Daily Planning Conference (S-band)
07:35-07:55,FE-4,Post-sleep
07:35-07:45,CDR,Post-sleep
07:35-08:35,FE-5,T2 Exercise
07:45-07:55,CDR,CIR - Hardware Teardown
07:55-10:10,CDR,Potable Water Dispenser (PWD) Rehydration Station Installation
07:55-08:25,FE-4,Work Prep
08:25-08:30,FE-4,VHF1 Activation/Deactivation
