0,1,2,3,4,5,6,7,8,9,10,11
Time,Crew,Activity / Ref. to ODF or radiogram,,,,,,,,,
06:00-06:10,,Morning inspection,,,,,,,,,
06:10-06:40,,Post-sleep,,,,,,,,,
06:40-07:30,,Breakfast,,,,,,,,,
06:52-07:03,"CDR, CR-3",TV session R/G 1071,,,,,,,,,
07:30-08:00,,Preparation for work,,,,,,,,,
08:00-08:15,"CDR, FE-1, FE-2,CR-1, CR-3",Daily planning conference,,,,,,,,,
08:00-08:10,CR-2,PLASMA CRYSTAL-3. Vacuum main lines prior to experiment / R/G1051,,,,,,,,,
,,,,,,,,,,,
08:15-08:35,CDR,"TV session ""Greetings to Neurosurgery Congress"" / r/g 1036",,,,,,,,,
08:25-08:40,CR-1,"?? ? ? ? ? ? ? ? ? ? ?  [""SOUNDING""] / Video photography of Kazakhstan /R/G 1056",,,,,,,,,
,,,,,,,,,,,
08:35-09:35,"FE-2, CDR","Return Soyuz TM-31 VII?  toilet to its initial state / Reference materials,item 9.3, pp. 81 to 82",,,,,,,,,
08:45-09:15,CR-2,PLASMA CRYSTAL-3. Computer operations / R/G 1051,,,,,,,,,
09:30-10:30,FE-1,Physical exercise (active rest) / Active rest,,,,,,,,,
09:30-10:00,CR-2,PLASMA CRYSTAL-3. Load software / R/G 1051,,,,,,,,,
09:35-10:30,"FE-2, CDR","Prepare Soyuz TM-32 VII?  toilet for female use / Reference materials,item 9.3, pp. 81 to 82",,,,,,,,,
10:30-12:30,,Passage over emergency evacuation route / ISS ? ? ?  ? ?,,,,,,,,,
12:30-13:30,,LUNCH,,,,,,,,,
13:30-15:30,"CR-1, CR-2",Commemorative activities.,,,,,,,,,
13:30-15:20,CDR,Commemorative activities.,,,,,,,,,
14:00-15:00,FE-2,Activate EARTHKAM / Crew Support Group: ISS PHOTO/TV - FLIGHTSPECIFIC: Scenes: P/TV 113 EARTHKAM/(steps 1-6);,,,,,,,,,
15:00-16:30,FE-2,Physical exercise (active rest),,,,,,,,,
15:20-15:50,CDR,"Life-support system (? ? ? ) maintenance (Replace Elektron CWC, ???-? [urine container], ???-C? [rinse water container])",,,,,,,,,
15:45-16:15,"CR-1, CR-2","?????? ? ?  [""DIATOMEYA""] Load software  / R/G 1061",,,,,,,,,
15:50-16:10,FE-1,Lab payload equipment check,,,,,,,,,
15:58-16:13,CDR,HMS-PMC / This conference may be conducted either via OCA or viaA/G.,,,,,,,,,
16:15-17:15,CDR,Physical exercise (Velo-2),,,,,,,,,
16:15-16:30,FE-1,HMS-PMC / This conference may be conducted either via OCA or viaA/G.,,,,,,,,,
16:15-16:45,"CR-1, CR-2","?????? ? ?  [""DIATOMEYA""]. Study of the area of the World Ocean /R/G1062",,,,,,,,,
,,,,,,,,,,,
16:30-16:45,FE-2,HMS-PMC / This conference may be conducted either via OCA or viaA/G.,,,,,,,,,
16:45-18:15,FE-1,Physical exercise (active rest),,,,,,,,,
16:45-18:15,"CR-1, CR-2",Commemorative activities.,,,,,,,,,
17:15-18:15,CDR,Physical exercise (RED),,,,,,,,,
17:15-18:15,FE-2,Physical exercise (active rest),,,,,,,,,
18:15-18:45,,Preparation for work,,,,,,,,,
18:45-19:15,,Familiarization with the following day plan,,,,,,,,,
19:15-19:30,,Daily planning conference,,,,,,,,,
19:30-20:00,,Dinner,,,,,,,,,
20:00-20:30,"CDR, FE-1, FE-2,CR-3",Daily food ration prep,,,,,,,,,
20:00-20:10,"CR-1, CR-2","????????? [""DASTARKHAN""] / Fill in questionnaire for special fooditems / R/G 1054",,,,,,,,,
20:10-20:30,"CR-1, CR-2",Daily food ration prep,,,,,,,,,
20:30-21:00,CR-2,PLASMA CRYSTAL-3. Concluding leak check / R/G 1051,,,,,,,,,
20:30-21:30,"CDR, FE-1, FE-2,CR-1, CR-3",Pre-sleep,,,,,,,,,
21:00-21:30,CR-2,Pre-sleep,,,,,,,,,
21:30-06:00,,Sleep,,,,,,,,,
TIME,CREW ACTIVITY / procedure or R/G,,,,,,,,,,
06:00 - 06:10,. Morning inspection,,,,,,,,,,
06:10 - 06:40,. Post-sleep,,,,,,,,,,
06:40 - 07:30,. Breakfast,,,,,,,,,,
08:00 - 08:15,. Daily planning conference,,,,,,,,,,
08:15 - 10:15,. Weekly housekeeping / Med Ops/ vol.1/ par.2.2.1/page 2-2,,,,,,,,,,
,LAB Payload Status Check/ Daily Status Check Matrix: Daily Status Check,,,,,,,,,,
10:15 - 10:40,FE-2,,,,,,,,,,
,Matrix,,,,,,,,,,
10:15 - 11:45,FE -1 EXERCISE - RED,,,,,,,,,,
10:15 - 11:45,CDR EXERCISE - TVIS,,,,,,,,,,
10:40 - 11:40,FE -2 EXERCISE - CEVIS,,,,,,,,,,
