0,1,2,3,5
GMT,CREW,,,
06:00-06:10,"CDR, FE-1",Morning inspection,,
06:00-06:05,FE-2,SLEEP - data logging,,
06:05-06:10,FE-2,Morning inspection,,
06:10-06:40,.,Post-sleep,,
06:40-07:30,.,BREAKFAST,,
09:00-10:30,FE-2,Physical exercise (TVIS),,
10:30-11:30,FE-2,Physical exercise (RED),,
10:35-12:05,CDR,"Physical exercise (TVIS), day 2",,
11:45-12:25,FE-2,Configure Ku-band TV downlink,,
12:05-13:05,FE-1,"Physical exercise (VELO), day 2",,
12:25-12:55,"CDR, FE-2",Test Ku-band video downlink (configure TV system for Progress docking),,
12:55-13:05,FE-2,Photo/TV: Laptop A31P deactivation,,
13:05-14:05,.,LUNCH,,
,,СОЖ maintenance СВО and СП data downlink. Report overall Potok,,
14:05-14:35,FE-1,,,
,,operating time to MCC,,
15:00-15:10,FE-2,SWAB: sample kit unstow and preparation,,
15:30-15:40,FE-2,SWAB: temp stow/preparation,,
15:35-15:40,CDR,SWAB: historical documentation photography,,
15:45-17:15,FE-1,"Physical exercise (TVIS), day 2",,
16:00-16:10,,,,
,FE-2,SWAB: temp stow/preparation,,
16:30-16:40,,,,
17:00-17:10,FE-2,SWAB: air sample and equipment stow,,
17:15-18:15,CDR,"Physical exercise (VELO+RED), day 2",,
18:15-18:50,.,Evening work prep,,
18:50-19:05,.,Daily planning conference (S-band),,
19:05-19:30,.,Evening work prep,,
19:30-20:00,.,DINNER,,
20:00-20:30,.,Daily food prep,,
20:30-21:30,.,Pre-sleep,,
21:30-06:00,.,SLEEP,,
Task List,FE-1,DIATOMEYA.  World ocean observations,,
GMT,,,,
06:00-06:10,.,,Morning inspection,
06:10-06:40,.,,Post-sleep,
06:40-07:30,.,,BREAKFAST,
07:30-08:00,.,,Prep for Work,
08:00-08:15,.,,Daily Planning Conference (S-band),
08:15-09:10,,,EMU cooling loop scrub (start),
,FE-2,,,
09:10-09:40,,,IMV flow measurement,
09:10-10:40,FE-1,,"Physical Exercise (TVIS), day 1",
09:40-10:40,FE-2,,Physical Exercise (RED),
10:40-11:10,FE-2,,EMU Cooling Loop config,
10:40-12:10,CDR,,"Physical Exercise (TVIS), day 1",
11:10-11:25,FE-2,,EMU Cooling Loop Iodinization - Initiate,
