0,1,2,3,4,5
GMT,CREW,ACTIVITY,,,
06:00-06:10,,Morning Inspection,,,
06:10-06:20,CDR,МО-8. Setup,,,
,"FE-1, FE-2",Calf Volume Measurement,,,
06:20-06:35,CDR,Body Mass Measurement,,,
06:20-06:50,FE-2,Post-sleep,,,
06:20-06:35,FE-1,,,,
06:35-06:50,FE-1,Body Mass Measurement,,,
06:35-07:05,CDR,Post-sleep,,,
06:50-07:05,FE-2,Body Mass Measurement,,,
,FE-1,Post-sleep,,,
07:05-07:15,CDR,Calf Volume Measurement,,,
07:05-07:55,"FE-1, FE-2",BREAKFAST,,,
07:15-08:00,CDR,,,,
07:55-08:00,"FE-1, FE-2",Prep for Work,,,
08:00-08:15,,Daily Planning Conference (S-band),,,
08:15-08:25,CDR,MO-8. Cleanup,,,
08:15-08:35,FE-1,Prep for Work,,,
08:15-08:20,FE-2,,,,
08:20-08:30,FE-2,LAB Window Shutter Closure,,,
08:25-08:35,CDR,Prep for Work,,,
08:30-08:35,FE-2,SM HAM Radio Power down,,,
08:35-11:35,"CDR, FE-1",TORU OBT. Tagup with Instructor (S-band),,,
08:35-10:05,FE-2,Physical Exercise (ARED),,,
10:05-11:05,Physical Exercise (TVIS),,,,
11:05-11:10,VOA Power Down,,,,
11:15-11:25,Quick Disconnect (QD) Maintenance Practice,,,,
11:25-11:35,Demate CHECS Jumper Quick Disconnects,,,,
11:35-13:05,CDR,"Physical Exercise (TVIS), day 1",,,
,FE-1,Physical Exercise (ARED),,,
11:35-11:55,FE-2,Quick Disconnect (QD) Maintenance,,,
12:15-12:50,EHS In-Flight Water Treatment Using MCD,,,,
12:50-13:05,KABIN Removal Backup,,,,
13:05-14:05,.,LUNCH,,,
14:05-15:15,FE-1,SAMS Rack Drawer Swap,,,
14:05-14:55,CDR,Audit of Thermally Conductive Gaskets ТП-ТРГ-Л СЛИЮ 300008.021,,,
14:05-16:05,FE-2,Battery Charge Module (BCM) Parameter Check,,,
15:00-15:15,CDR,"Maintenance Closure of Vozdukh Emergency Vacuum Valves [ABK] 1, 2, 3",,,
15:15-15:25,CDR,Audit of Jumper Cables 240.ГК.59Ю1200А1-110-160,,,
15:15-15:45,FE-1,MAMS Filter Cleaning,,,
,15:45-16:20,,,,Equipment Stowage
,15:55-16:00,,CDR,,ON MCC Go Switch DC-Soyuz PEV to CLOSED position
,16:05-16:20,,,УСИ Photography,
,16:05-17:05,,FE-2,,Battery Charge Module (BCM) Parameter Update
,16:20-17:10,,"CDR, FE-1-assists",,Study Of Cardiovascular System Under Graded Physical Load То=16:42. Tagupwith specialists (VHF)
,17:05-17:20,,FE-2,,Possum P/L Photography
,17:10-18:10,,CDR,,Physical Exercise (VELO) day 1
,17:10-17:15,,FE-1,,Payload Status Check
,17:15-17:20,,,BCAT-4 Camera Checkout,
,17:20-17:45,,,Evening Work Prep,
,17:20-17:35,,FE-2,,KABIN Removal Backup
,17:35-17:45,,,Potable Water Dispenser (PWD) Daily Ambient Flush,
,17:45-18:45,,FE-1,,Physical Exercise (TVIS)
,17:45-17:55,,FE-2,,ТОСА. Data Transfer
,17:55-18:15,,,BSA Fan Inspection and Cleaning,
,18:10-18:50,,CDR,,Evening Work Prep
,18:15-18:25,,FE-2,,PAO Hardware Setup
,18:25-18:45,,FE-2,,Evening Work Prep
,18:45-18:50,,FE-1,,Evening Report Prep
,,,,"Transfer TVIS, CEVIS, and HRM data to MEC",
,18:50-19:05,,,,Daily Planning Conference (S-band)
,19:05-19:30,,FE-1,,Evening Work Prep
,19:05-19:15,,"CDR, FE-2",,Crew Prep for PAO
,19:15-19:30,,CDR,,TV Greetings to Parachute Research and Development Institute on the 50thAnniversary;  TV Greeting to Eurovision Participants (Ku + S-band)
,19:15-19:25,,FE-2,,
,19:25-19:30,,FE-2,,Evening Work Prep
,19:30-21:30,,,,"Presleep (dinner, daily food prep, evening toilet)"
,21:30-06:00,,,,SLEEP
,Task List,,CDR,,IMS Update
,,,,СОЖ MaintenanceИП-1 position verification,
GMT,,CREW,,ACTIVITY,
06:00-06:05,,FE-2,,Taking Biphosphanate Tablets,
06:00-06:10,,CDR,,Morning Inspection,
06:00-06:05,,FE-1,,SLEEP Data Log Entry,
06:05-06:15,,"FE-1,FE-2",,Morning Inspection,
06:10-06:40,,CDR,,Post-sleep,
