0,1,2,3,4
GMT,CREW,ACTIVITY,,
06:00-06:10,"CDR, FE-1",Morning Inspection,,
06:00-06:10,FE-2,Morning Inspection. SM ПСС [Caution & Warning Panel] Test,,
06:00-06:05,FE-3,Urine Spot Test,,
06:00-06:05,"FE-5, FE-6",Reaction Self Test,,
06:05-06:10,FE-3,,,
06:05-06:15,"FE-5, FE-6",Morning Inspection,,
06:10-06:20,FE-3,,,
06:10-06:40,"CDR, FE-1,FE-2",Post-sleep,,
06:15-06:45,"FE-5, FE-6",,,
06:20-06:50,FE-3,,,
06:40-07:30,"CDR, FE-1,FE-2",BREAKFAST,,
06:45-07:30,"FE-5, FE-6",,,
06:50-07:30,FE-3,,,
07:30-07:50,,Work Prep,,
07:50-08:15,,Daily Planning Conference (S-band),,
08:15-09:30,FE-1,PNEVMOCARD Experiment Ops. Tagup with specialists as necessary (S-band),,
08:15-08:30,FE-3,MELFI CBT Review,,
08:15-09:15,FE-2,"СКПФ1, СКПФ2 Dust Filter Replacement and MRM1 ГЖТ Cleaning(ФГБ1ПГО_2_224_1, bag-14 (00053423R) or bag (00050788R). UpdateIMS)",,
08:15-08:30,FE-5,PHS Evaluation Setup,,
08:15-08:35,CDR,Tightening QD Screw Clamps on the ATV side,,
08:30-08:45,FE-3,Periodic Health Status - Subject,,
08:30-08:45,FE-5,Periodic Health Status - Assistance,,
08:35-08:45,FE-6,RFTA Access,,
08:40-10:10,CDR,"Physical Exercise (TVIS), Day 1",,
08:45-09:15,FE-3,HRF Urine Collection Hardware Setup,,
08:45-09:05,FE-5,Periodic Health Status (PHS) Data Entry and Hardware Stowage,,
08:45-09:05,FE-6,RFTA Reconfiguration For Urine Processing,,
09:05-09:15,FE-6,RFTA Cleanup Ops,,
09:15-10:10,FE-2,"Physical Exercise (VELO), Day 1",,
09:15-10:05,"FE-З, FE-5,FE-6",Dragon Release and Departure Procedure Review,,
09:30-10:30,FE-1,Replacing three ОСП-4 Fire Extinguishers in FGB. Install unit S/N 103005-12(00049923R); 103005-13 (00049922R); 103005-14 (00049924R)(ФГБ1ПГО_4_406_1). Discard the removed items. Reflect changes inIMS. Tagup (as necessary),,
10:05-10:15,"FE-З, FE-5,FE-6",OBT SSRMS Debrief,,
10:10-11:10,CDR,RELAKSATSIYA. Hardware Setup. (Handover) Tagup with specialists asnecessary (S-band),,
10:10-12:40,FE-2,,,
10:15-11:15,FE-3,Physical Exercise Т2,,
10:20-11:20,FE-6,Physical Exercise (CEVIS),,
10:40-11:25,FE-1,"Preparation steps to measure voltage on power buses БГПО1, БГПО2 inТА968МА box",,
11:10-11:40,CDR,RELAKSATSIYA. Hardware Parameters Adjustment. Tagup with specialistsas necessary (S-band),,
11:20-12:20,"FE-3, FE-5,FE-6",LUNCH,,
11:25-12:40,FE-1,"Physical Exercise (TVIS), Day 2",,
11:40-12:00,CDR,RELAKSATSIYA. Earth Observation. Tagup with specialists as necessary (S-band),,
12:00-12:40,CDR,RELAKSATSIYA. Closeout and Hardware Teardown. Tagup with specialistsas necessary (S-band),,
12:20-12:25,FE-3,PROK Diet Logging (Day 2-4),,
12:20-12:25,FE-6,Disconnect Display and Control Panel (DCP) Power Cable,,
12:25-13:20,"FE-3, FE-6",Dragon Egress in Preparation for Departure,,
12:40-13:00,"CDR, FE-2",MATRYOSHKA-R. Monitoring Lulin-5 readings,,
12:40-13:00,FE-1,Crew time for ISS adaptation and orientation,,
13:00-14:00,"CDR, FE-1,FE-2",LUNCH,,
13:20-13:55,"FE-3, FE-6",Dragon Vestibule Configuration for Demate,,
13:30-14:00,FE-5,VIABLE Bag Inspection,,
13:55-16:25,"FE-3, FE-6",Node 2 Nadir CBM Controller Panel Assembly (CPA) Installation,,
14:00-14:40,CDR,СОЖ Maintenance,,
14:00-14:40,FE-2,Life on the Station Photo and Video / r/g 9200,,
14:00-15:00,FE-1,"Voltage measurements on power buses БГПО1, БГПО2 in ТА968МА (ПЦБ)box",,
14:00-15:00,FE-5,Physical Exercise T2,,
14:40-15:40,CDR,"Physical Exercise (VELO), Day 1",,
15:00-15:40,FE-1,"Replacement of ИДЭ-2 Smoke Detector with ИДЭ-3 in FGB - prep, viewinganimation (IDE_A1.wmv through IDE_A10.wmv). Tagup with specialists asnecessary (S-band)",,
15:00-16:30,FE-5,Physical Exercise (ARED),,
15:40-16:40,FE-2,Crew time for ISS adaptation and orientation,,
16:25-16:40,FE-3,Journal Entry,,
16:25-16:40,FE-6,Private Medical Conference,,
16:30-17:05,FE-1,Crew time for ISS adaptation and orientation,,
16:30-17:00,CDR,VZAIMODEISTVIYE Experiment Ops,,
16:40-17:00,FE-2,IMS Update,,
16:40-17:05,FE-3,Evening Work Prep,,
16:40-17:05,FE-5,Evening Work Prep,,
16:40-16:55,FE-6,Journal Entry,,
16:55-17:05,FE-6,Evening Work Prep,,
17:05-17:30,,Daily Planning Conference (S-band),,
17:30-17:35,FE-6,P/TV Playback Start,,
17:30-18:05,"CDR, FE-1,FE-2, FE-3,FE-5",Pre-sleep,,
17:35-18:05,FE-6,Pre-sleep,,
17:55-18:25,FE-6,Crew installs the Electronic Unit into the spare location on the MELFI Rack,,
18:05-18:20,,Crew conference with Astronaut Office,,
18:20-19:25,FE-5,Pre-sleep,,
18:20-19:20,"FE-3, FE-6",Pre-sleep,,
18:20-19:30,"CDR, FE-1,FE-2",Pre-sleep,,
