0,1,2,3
14:25-14:55,FE-5,BCAT6 - Stowage,
14:30-14:40,CDR,BIF. Removal from thermostatic container and transfer to ТК,
14:35-14:55,FE-2,"KRISTALLIZATOR. Joint Packing, Acceptance of PCG kits, Transfer to ТК for Return",
14:35-14:50,FE-3,UBNT - Experiment Session,
14:40-14:50,CDR,KRISTALLIZATOR. Photo of PCG Kit Handover from USOS,
14:50-16:20,CDR,"Physical Exercise (TVIS), Day 1",
14:50-14:55,FE-3,Robotics Work Station (RWS) Teardown,
14:55-15:10,FE-2,PLAZMIDA. Recomb-K Transfer to СА for return to the ground,
15:10-15:20,FE-2,Removal of Recomb-K from Thermostat and Transfer to ТК,
15:15-15:25,FE-3,Ham Radio Deactivation,
15:35-17:05,FE-2,Physical Exercise (ARED),
15:40-17:10,FE-3,Periodic Fitness Evaluation - Nom Ops (subject),
16:15-16:45,FE-5,Periodic Fitness Evaluation - Nom Ops (assistance),
16:45-16:55,FE-4,ТК 704А Loading Complete Report,
16:55-17:15,FE-4,Photography of the external surface of ТК 704A СА-БО hatch-manhole,
17:05-17:15,FE-2,Comm config for ТК 704A undocking and descent,
17:10-17:20,FE-3,USOS Window Shutter Close,
17:15-17:30,CDR,Downlink photo of the external surface of ТК 704A СА-БО hatch-manhole and return cargo packing photo,
17:15-17:25,FE-4,ТК 704А Comm Check via S/G2,
,"FE-2,FE-3",LUNCH,
17:20-18:20,,,
,"FE-5,FE-6",LUNCH,
17:25-18:25,FE-4,LUNCH,
17:30-18:30,CDR,LUNCH,
18:20-19:00,FE-2,СОЖ Maintenance,
18:20-18:25,FE-3,Video Camera Assembly adjustment in COL for GEOFLOW-2 experiment,
18:25-18:40,FE-3,FSL Facility Core Element Lock,
,,"Activation of ТК 704А, Removal of ССД301 Light in БО ТК 704А for SM",
,,Spares and Comm Check from ТК via S-band,
18:30-19:30,"FE-4,FE-5",Get r/g 2299 from ТК,
,,"Stow ССД301 in bag 407-34. (00050114R, МИМ1_ПБ_407_1, Reflect",
,,changes in IMS),
18:40-19:25,FE-3,FSL GEOFLOW-2 Experiment Container Removal and Stowage,
19:00-19:20,FE-2,Setup and Activation of КСПЭ Equipment for Hatch Closure TV coverage from MRM1,
19:30-19:50,"CDR,FE-4",Removal and Inspection of Quick-Release Screw Clamps on MRM1 side,
19:50-20:10,"CDR,FE-4",ТК-MRM1 Hatch Closure. ISS-MCC-M TV TV coverage of Hatch Closure (Ku + S-band),
19:50-20:10,FE-2,ISS-MCC-M TV TV coverage of Hatch Closure from MRM1,
19:50-20:10,"FE-3, FE-5,FE-6",ISS-MCC-M TV TV coverage of Hatch Closure from MRM1,
20:10-21:10,"FE-4,FE-5",ТК 704A – MRM1 Hatch Leak Check,
20:10-20:15,FE-3,P/TV Playback Start,
TIME,CREW,,
06:00-06:05,CDR,PROK. Urine Spot Test,
06:00-06:10,FE-1,Morning Inspection. Laptop RS2(1) Reboot,
06:00-06:10,"FE-3, FE-4",Morning Inspection,
06:00-06:05,FE-6,PROK. Urine Spot Test,
06:00-06:10,FE-2,"Morning Inspection. RSS1, RSS2 Reboot",
06:05-06:10,CDR,Morning Inspection,
06:05-06:25,FE-6,HRF Urine Sample Collection,
,"CDR, FE-1,",,
06:10-06:40,"FE-2, FE-3,",Post-sleep,
,FE-4,,
06:25-06:35,FE-6,HRF Urine Sample Insertion Into MELFI,
06:35-07:00,FE-6,Post-sleep,
06:40-07:30,"CDR, FE-1, FE-2, FE-3",BREAKFAST,
06:40-07:30,FE-4,BREAKFAST. SM ПСС (Caution & Warning Panel) Test (after breakfast),
07:00-07:30,FE-6,BREAKFAST,
08:05-08:10,FE-1,ТК 708 IRIDIUM Phone Setup for Video Recording,
08:10-08:50,"FE-1, FE-2",Video Recording for IRIDIUM Video Footage of Address,
08:50-09:50,FE-2,Physical Exercise (ARED),
09:00-09:15,FE-1,"ТК 708 IRIDIUM Phone Charging - Setup, Start Charging",
09:25-09:30,FE-1,ТК 708 IRIDIUM Phone Charging - Battery Status Check,
09:30-09:40,FE-1,ТК 708 IRIDIUM Phone Charging - Terminate Battery Charge,
