0,1,2
TIME,CREW,
06:00-06:10,CDR,Morning Inspection
06:00-06:10,FE-1,Morning Inspection. SM ПСС (Caution & Warning Panel) Test
,,Morning Inspection.
06:00-06:10,FE-2,Laptop RS1(2) Reboot
,,"RSS1,2 Reboot"
06:10-06:40,,Post-sleep
06:40-07:30,,BREAKFAST
07:30-07:45,,Daily Planning Conference (S-band)
07:45-08:00,,ISS crew and ГОГУ (RSA Flight Control Management Team) weekly conference (S-band)
08:00-08:20,"FE-1, FE-2",Work Prep
08:00-08:20,CDR,HDPCG - Closeout Ops
08:20-08:25,CDR,MSPR ELT - copy and downlink data
08:25-08:30,CDR,SPACE PUP - Data Gathering
08:30-08:50,CDR,SPACE PUP - Data Transfer
08:35-09:05,FE-2,Replacement of RSK2 Laptop Shell. Tagup with specialists
08:50-09:00,CDR,SPACE PUP - Sample Retrieval from MELFI
09:00-09:05,CDR,SPACE PUP - Sample Stowage
09:05-09:35,CDR,VACCINE-21 - Transfer of Express Rack to Dragon
09:10-10:40,FE-2,ARED Exercise
09:35-09:45,CDR,Food Frequency Questionnaire
09:45-10:45,CDR,T2 Exercise
10:25-10:55,FE-1,"Test 1 of PCE, PCE antenna feeder (АФУ), ATV control panel commands. Tagup with specialists."
10:40-11:40,FE-2,"БД-2 Exercise, Day 4"
10:45-12:15,CDR,ARED Exercise
10:55-11:55,FE-1,"VELO Exercise, Day 1"
11:40-12:10,FE-2,Photography of ВБ-3М harness attached to the operator and the seat
12:15-12:20,CDR,MSPR ELT - Software Setup
12:20-13:20,,LUNCH
13:20-13:35,CDR,JRNL - Journal entry
13:20-14:50,FE-1,On MCC Go СРВ-К2М Line 3 Functional Check. Tagup with specialists
13:20-14:20,FE-2,Preparing Laptop RSK2 Keyboard
13:35-14:20,CDR,DRAGON Transfer Ops
14:20-14:35,CDR,SLM data transfer
14:35-14:50,CDR,SLM data transfer
14:50-16:50,CDR,GLACIER2/4 - Transfer to Dragon
14:50-15:50,FE-1,GLACIER2 - Replacement in Dragon
14:50-15:30,FE-2,СОЖ Maintenance
15:50-17:20,FE-1,"БД-2 Exercise, Day 1"
16:20-16:50,FE-2,GLACIER - Photo and video
16:50-16:55,CDR,MSPR ELT - Closeout Ops
16:55-17:35,CDR,MICRO7 - Hardware Deactivation and Transfer to Dragon
17:00-17:45,FE-2,Evening Work Prep
17:20-17:45,FE-1,Evening Work Prep
17:35-17:40,CDR,VEG - Daily Plant Check
17:45-18:00,,Daily Planning Conference (S-band)
18:00-20:00,,Pre-sleep
20:00-04:30,,SLEEP
,,Preparation of reports for Roscosmos site
,"FE-1, FE-2",
