0,1,2,3,4,7,11
GMT,CREW,ACTIVITY,,,,
06:00-06:10,,Morning inspection,,,,
06:10-06:40,,Post-sleep,,,,
06:40-07:30,,BREAKFAST,,,,
07:30-10:30,,Weekly housekeeping,,,,
11:30-12:30,FE-1,TVIS – 2 Physical exercise,,,,
12:30-13:30,,LUNCH,,,,
14:20-14:50,,Weekly planning conference (S-band),,,,
14:50-15:30,FE-1,СОЖ maintenance,,,,
15:55-16:55,CDR,CEVIS physical exercise,,,,
16:40-16:55,FE-1,PFC (VHF),,,,
16:55-18:25,FE-1,(TVIS+НС-1) – 2 Physical exercise,,,,
16:55-18:25,CDR,RED Physical exercise,,,,
19:25-19:30,CSA-CP O2 readings,,,,,
19:30-20:00,,DINNER (RENAL – pill ingestion),,,,
20:00-20:30,,Daily food prep,,,,
20:30-21:30,,Pre-sleep,,,,
21:30-06:00,,SLEEP,,,,
Task List,FE-1,PULSE Experiment,,,,
GMT,,CREW,ACTIVITY,,,
06:00-06:10,,,Morning inspection,,,
06:10-06:40,,Post-sleep,,,,
06:40-07:30,,Breakfast,,,,
07:30-10:30,,Weekly housekeeping,,,,
10:30-10:40,,FE-1,"ГА ИК0501 CO2 filter unit (БФ) replacement (install No. 012, barcode008544R, stowed at ФГБ1ПГО_2_213_1 in white bag no. 4 248-6)",,,
10:40-11:10,,СОЖ maintenance (БРПК inspection),,,,
10:50-11:00,,CDR,Setup video equipment to record exercise on the TVIS,,,
11:10-11:20,,Video recording of TVIS exercise,,,,
11:10-12:10,,FE-1,Physical exercise (TVIS) – 4,,,
12:30-13:30,,,Lunch,,,
13:30-13:50,,Crew conference with program management (S-band),,,,
14:10-14:40,,Weekly planning conference (S-band),,,,
14:40-15:10,,FE-1,"TV downlink. Private family conference. (То=14.37, Т1, Т2, Т3 fromСПП)",,,
15:00-15:05,,CDR,Open valve of major constituent analyzer (МСА),,,
15:10-16:40,,FE-1,Physical exercise (VELO+HC) – 4,,,
16:30-16:45,,CDR,Questionnaire – log entry,,,
16:40-16:45,,FE-1,Repress from Progress No. 248 СрПК section 2 - start,,,
17:00-17:05,,CDR,Close valve of major constituent analyzer (МСА),,,
17:10-17:20,,FE-1,Video recording of TVIS exercise,,,
17:10-18:10,,CDR,Physical exercise (TVIS),,,
18:10-19:25,,Physical exercise (RED),,,,
18:15-18:30,,FE-1,Stow video equipment,,,
18:30-18:35,,Repress from Progress No. 248 СрПК section 2 - end,,,,
19:25-19:30,,CDR,Check O2 level on combustion products analyzer,,,
19:30-20:00,,,Dinner,,,
20:00-20:30,,Daily food prep,,,,
20:30-21:30,,Pre-sleep,,,,
21:30-06:00,,Sleep,,,,
Task List,FE-1,URAGAN. Observation and photography,,,,
DIATOMEA. Ocean observations,,,,,,
GMT,CREW,ACTIVITY,,,,
08:20-08:30,,Morning inspection,,,,
08:30-09:00,,Post – sleep,,,,
09:00-09:50,,Breakfast,,,,
09:50-10:20,,Work prep,,,,
10:20-10:35,,DPC (S-band),,,,
10:35-10:40,CDR,Connecting UOP bypass cable to display and control panel,,,,
10:35-11:10,FE-1,Pressure check in onboard Oxygen tank (БК-3) and Portable Represstank (БНП),,,,
11:10-11:30,,In-training Orlan systems check. Tag up (S-band),,,,
11:30-11:45,,Interface unit (БСС) systems check,,,,
11:45-11:55,,"ПКО-БЕТА 08 biomed harness check via ""Гамма"" hardware",,,,
11:55-12:25,,Comm. setup. Orlan and Orlan Interface Unit (БСС) telemetry check.Comm. check and medical parameters check via Orlan. Tag up (S-band),,,,
12:35-13:25,FE-1,Air duct removal in DC and Soyuz Orbital Module (БО) prior to training,,,,
13:25-13:30,FE-1,Soyuz comm. assets prep,,,,
13:30-13:35,FE-1,Incomplete closure  of БО-СУ hatch,,,,
13:35-14:35,,LUNCH,,,,
15:40-16:10,FE-1CDR–assist,Donning EVA gear,,,,
16:10-16:25,FE-1CDR–assist,"Entry into Orlans, sealing backpacks",,,,
16:25-16:30,FE-1CDR–assist,Orlan and БСС controls check.  Tag up (S-band),,,,
16:30-16:35,FE-1CDR–assist,Orlan and БСС preliminary leak check,,,,
16:35-16:50,FE-1,Orlan fit check at Orlan pressure=0.4,,,,
16:45-16:50,CDR,Orlan repress,,,,
16:50-17:30,FE-1КЭ-assist,Translation training in Orlans from DC1 to Soyuz Orbital Module (БО).Tag up (S-band),,,,
