0,1,2,3
GMT,,,
06:00-06:10,,,Morning inspection
06:10-06:40,,,Post-sleep
06:40-07:30,.,,BREAKFAST
07:30-07:55,,,Work prep
07:55-08:10,,,Daily planning conference (S-band)
08:30-09:10,FE -1,,Electron-VM activation
08:15-08:20,,,DCP power cable connection
08:20-08:50,,,TVIS monthly maintenance
,CDR,,
08:50-09:10,,,"BCAT3, crystal check up"
09:10-09:20,,,PCS load in Lab and battery charge status recording
09:10-10:25,FE -1,,СМ(АО)-ТКГ interface leak check
09:25-10:25,CDR,,DOUG software review
10:25-10:45,,,On MCC GO: ПрК-СУ and ТКГ-СУ transfer hatch opening
,.,,
10:45-11:05,,,Quick disconnect screw clamp installation
11:05-11:35,FE -1,,"Progress deactivation, air duct installation"
11:15-11:35,,,IMS data editing
,CDR,,
11:35-13:05,,,Physical exercise (RED)
11:45-13:15,FE -1,,Physical exercise TVIS-2
13:05-13:15,CDR,,PAO hardware setup
13:15-14:15,,,LUNCH
14:15-14:25,.,,PAO crew prep
14:25-14:45,,,Thanksgiving Day PAO event (Ku+S-band)
14:45-15:45,CDR,,Setup for Robotics Training
14:55-15:25,,,СОЖ maintenance
,FE -1,,
15:25-16:15,,,Set up of 11Ф615.Б1824-А59-0 container with УС-21 in Progress
15:45-17:15,CDR,,MSS Robotics proficiency on-board training
16:15-16:25,,,On MCC Go: telemetry connector УС-21 mating to БИТС2-12 (S-band)
16:25-16:30,FE -1,,On MCC GO: ISS O2 repress from Progress 354 СрПК (start)
16:30-17:30,,,"Physical Exercise (VELO+RED), day 2"
17:15-18:15,CDR,,Physical Exercise (TVIS)
17:30-17:35,,,ISS O2 repress from Progress 354 СрПК (end)
,FE -1,,
17:40-18:15,,,Installation of PHS and lab equipment
18:15-18:45,,,Daily plan review
18:45-19:10,.,,Report prep
19:10-19:25,,,Daily planning conference (S-band)
19:25-19:30,CDR,,Report prep
19:25-19:30,FE -1,,"TVIS, RED, and HRM data transfer to MEC"
19:30-20:00,.,,DINNER
20:00-20:30,CDR,Daily food prep,
20:00-20:30,FE -1,Daily food prep,
20:30-21:30,.,Pre-sleep,
21:30-06:00,SLEEP,,
GMT,CREW,ACTIVITY,
06:00-06:10,FE-1,"Morning inspection. Inspection of Circuit Breaker [АЗСО] on DC1 Power SwitchPanel (БВП) and fuses in DC1 Fuse Boxes БПП-30, БПП-36",
06:00-06:10,CDR,Morning inspection,
06:10-06:40,,Post-sleep,
06:40-07:30,BREAKFAST,,
07:30-08:00,Work prep,,
08:00-08:15,Daily planning conference (S-band),,
08:15-08:30,FE-1,Power off sensors from ПУС [SIGNAL Control Panel] and On MCC Go unplugДС-7А TLM connector,
08:30-11:20,,Replacing Сигнал ВМ ДС-7А sensors,
11:20-12:20,CDR,Physical Exercise (TVIS),
11:20-11:30,FE-1,On MCC Go Mate telemetry connector ДС-7А,
