0,1,2,3,4
GMT,,CREW,,ACTIVITY
06:00-06:05,,FE-2,,Elektron-VM Aerosol Filter Inspection
06:00-06:05,,"FE-1, FE-3,FE-5, FE-6",,Morning Inspection
06:00-06:05,,CDR,,Integrated Immune Liquid Saliva Sample Collection
06:05-06:30,,FE-3,,Post-sleep
06:05-06:15,,"FE-1, FE-2,FE-5",,Calf Volume Measurement
06:05-06:10,,"CDR, FE-6",,PROK- PH Urine Test
06:10-06:30,,CDR,,Urine Sample Collection
06:10-06:25,,FE-6,,Post-sleep
06:15-06:25,,FE-5,,МО-8. Setup
06:15-06:45,,FE-2,,Post-sleep
06:15-06:40,,FE-1,,Post-sleep
06:25-06:50,,FE-5,,Post-sleep
06:25-06:30,,FE-6,,Body Mass Measurement
06:30-06:35,,FE-3,,Body Mass Measurement
06:30-06:45,,FE-6,,Post-sleep
06:30-06:35,,CDR,,HRF Urine Sample Insertion into MELFI
06:35-06:40,,CDR,,Body Mass Measurement
06:35-07:05,,FE-3,,BREAKFAST
06:40-06:45,,FE-1,,Body Mass Measurement
06:40-06:55,,CDR,,Post-sleep
06:45-06:50,,FE-2,,Body Mass Measurement
06:45-07:30,,"FE-1, FE-6",,BREAKFAST
06:50-06:55,,FE-5,,Body Mass Measurement
06:50-07:30,,FE-2,,BREAKFAST
06:55-07:05,,CDR,,HRF Refrigerated Centrifuge Setup
06:55-07:30,,FE-5,,BREAKFAST
07:05-07:20,,FE-3,,Blood sample draw Operator
07:05-07:25,,CDR,,Blood sample draw
07:20-07:30,,FE-3,,BREAKFAST
07:25-07:35,,CDR,,Post-sleep
07:30-07:45,,"FE-1, FE-2,FE-3 FE-5,FE-6",,ISS Crew Weekly Conference with ГОГУ Management Team
07:35-07:45,,CDR,,HRF Refrigerated Centrifuge Configuration
07:45-07:55,,FE-5,,MO-8. Cleanup
07:45-07:55,,"FE-1, FE-2,FE-3",,Work Prep
07:45-07:55,,"CDR, FE-6",,BREAKFAST
07:55-08:15,,,,Weekly Planning Conference (S-band)
08:15-10:35,,FE-1,,TYPOLOGY. Experiment ops by FE-1. Tagup with specialists (S-band)
08:15-08:35,,FE-6,,VO2max. installation
08:15-08:25,,FE-3,,CIR Alignment Guide Installation
08:15-09:30,,FE-5,,PNEUMOCARD  Experiment
08:15-08:20,,CDR,,HRF Refrigerated Centrifuge Configuration
