0,1,2,3,4,5,6,7,8
,GMT,,CREW,,ACTIVITY,,,
,08:30-08:40,,,,Morning inspection,,,
,08:40-09:10,,"ISS15, CDR-16,FE-1-16",,Post-sleep,,,
,08:40-09:15,,SFPVC,,Post-sleep,,,
,09:10-09:45,,"ISS15,FE-1-16,CDR-16",,BREAKFAST,,,
,09:15-09:25,,,FPVC,,,agup with Consultants Team (VHF1),
,09:25-10:00,,SFPVC,,BREAKFAST,,,
,,,,,,,,
,09:45-10:00,,"ISS15, CDR-16,FE-1-16",,Daily Planning Conference (S-band),,,
,10:00-10:30,,CDR,,"MICROBES IN SPACE. Photo/video ops during deactivation of kits 2,3",,,
,10:00-10:45,,,FPVC,,,"ICROBES IN SPACE. Deactivation of kits 2, 3",
,10:00-10:30,,"FE-1, FE-2,FE-1-16, CDR-16",,Prep for Work,,,
,,,,,,,,
,10:30-10:40,,FE-1-16,,CONJUGATION. Removal from Cryogem-3 and set up in Biocont-T,,,
,10:30-10:45,,"FE-2, CDR-16",,Post-sleep,,,
,10:30-11:00,,FE-1,,"TV PAO set up and ops (HDTV). (Greetings dedicated to the 50thAnniversary of the first Earth’s satellite launch. Greetings to XVInternational Space Olympiad of School Children.  Greetings to IXYouth Tsiolkovsky Readings) (То=  , Т1, Т2, Т3 activation from СПП)",,,
,10:40-11:00,,"CDR, FE-1-16",,,,,
,10:45-11:00,,FE-2,,Food frequency questionnaire,,,
,11:00-13:00,,"FE-2, CDR-16,FE-1-16",,Onboard training - ISS H/W readiness checkout in prep for EmergencyEgress,,,
,11:00-12:00,,FE-1,,SAMPLE. ISS sample collection and set up in MELFI,,,
,11:00-11:10,,CDR,,"Switch Cryogem-03 refrigerator to -22 degrees C, install cold packs",,,
,11:00-12:00,,,FPVC,,,ОР. Session 1. Test session prep and ops,
,11:10-11:40,,CDR,,Prep for Work,,,
,,,,,,,,
,,,,"FPVC, CDR",,,,
,12:05-12:30,,,"V PAO VC ops (HDTV) (То= , Т1, Т2, Т3 activation from СПП)",,,,
,,,,assists),,,,
,,,,,,,,
,12:25-13:25,,FE-1,,"Physical Exercise (TVIS), day 4",,,
,,,,,,,,
,13:00-14:00,,FE-2,,Physical Exercise (CEVIS),,,
,13:10-13:25,,"CDR-16, FE-1-16",,Private Medical Conference (S + Ku-band),,,
,13:25-13:55,,FE-1-16,,Teardown of КЛ-152 TV cameras (2 ea) from Soyuz 221 DM,,,
,13:25-14:10,,CDR-16,,Heart Rate Monitor (HRM) – software preparation,,,
,13:25-14:25,,"CDR, FE-1 (assists)",,LBNP Exercise (PRELIMINARY). То=13:52 Tagup (VHF),,,
,13:30-14:30,,,FPVC,,,OOD IN SPACE. Preparation for demonstration and experiment,
,14:00-14:30,,FE-1-16,,FOOD IN SPACE. Photo/video of experiment ops,,,
,,,,,,,,
,14:00-14:15,,FE-2,,Private Family Conference (S + Ku-band),,,
,14:25-14:30,,FE-1,,On MCC Go ISS O2 repress from Progress 361 СрПК (start),,,
,14:30-15:20,,SFPVC,,LUNCH,,,
GMT,CREW,ACTIVITY,,,,,,
06:00-06:10,.,Morning Inspection,,,,,,
06:10-06:40,.,Post-sleep,,,,,,
06:40-07:30,.,BREAKFAST,,,,,,
08:00-08:15,CDR,Photo/video of Malaysia for VC13,,,,,,
08:30-08:50,Private Family Conference (S+Ku-band),,,,,,,
09:50-11:20,FE-1,"Physical Exercise (TVIS), day 1",,,,,,
11:20-11:40,Private Family Conference (S+Ku-band),,,,,,,
12:00-13:00,CDR,"Physical Exercise (TVIS), day 1",,,,,,
13:00-14:00,.,LUNCH,,,,,,
14:00-14:40,CDR,СОЖ Maintenance,,,,,,
15:45-16:45,FE-2,Physical Exercise (CEVIS),,,,,,
,FE-1,"Physical Exercise (TVIS), day 1",,,,,,
16:45-18:15,CDR,"Physical Exercise (TVIS), day 1",,,,,,
,FE-2,Physical Exercise (RED),,,,,,
18:15-18:45,.,Prep for Work,,,,,,
18:45-19:00,.,Daily Planning Conference (S-band),,,,,,
19:00-19:30,.,Prep for Work,,,,,,
19:30-20:00,.,DINNER,,,,,,
20:00-20:30,.,Daily Food Prep,,,,,,
20:30-21:30,.,Pre-sleep,,,,,,
21:30-06:00,.,SLEEP,,,,,,
Task List,FE-1,GSF-JAXA. ТБУ temperature monitoring (in the morning),,,,,,
PLANTS-1. Payload status check (in the morning),,,,,,,,
GMT,,CREW,,ACTIVITY,,,,
05:40-05:50,,,,Morning inspection,,,,
05:50-06:20,,,Post-sleep,,,,,
06:20-07:00,,CDR,,BREAKFAST,,,,
06:20-07:10,,"FE-1, FE-2,FE-2-16",,,,,,
07:00-07:25,,CDR,,EVA - Break/Pre-breathe,,,,
07:10-07:35,,FE-1,,Prep for Work,,,,
07:10-07:40,,"FE-2, FE-2-16",,,,,,
07:25-08:55,,CDR,,EVA Prep,,,,
07:35-07:50,,FE-1,,Daily Planning Conference (S-band),,,,
07:40-09:40,,FE-2,,Physical Exercise (TVIS),,,,
07:40-07:55,,FE-2-16,,Counter Measure System (CMS) Introduction,,,,
07:50-07:55,,FE-1,,HAM radio powerdown in FGB,,,,
07:55-08:45,,FE-2-16,,ISS Crew Adaptation,,,,
07:55-08:00,,FE-1,,VOA power down,,,,
08:00-08:30,,,Crew Familiarization with ISS,,,,,
08:30-08:45,,,Verify ИП-1 sensor installation,,,,,
08:45-09:15,,"FE-1, FE-2-16",,Sokol Space suit leak check (delivered on STS-120),,,,
08:55-09:10,,CDR,,EMU purge,,,,
09:10-10:00,,,Pre-breathe in EMU,,,,,
09:15-10:30,,FE-2-16,,ISS Crew Adaptation,,,,
09:15-09:30,,FE-1,,Drying Sokol Space Suits,,,,
09:30-11:00,,,Physical Exercise (TVIS-1),,,,,
10:00-10:30,,CDR,,Crew Lock depress,,,,
10:30-12:50,,"FE-2, FE-2-16",,SASA stowage,,,,
10:30-10:35,,CDR,,Terminate pre-breathe and egress,,,,
11:00-11:45,,FE-1,,N2 Transfer Start,,,,
11:35-13:05,,CDR,,Physical Exercise (CEVIS),,,,
11:45-11:50,,FE-1,,Terminate Sokol suit and glove drying,,,,
11:50-12:30,,,Replacing toilet [АСУ] collector in Soyuz 221,,,,,
12:30-12:45,,,"Sokol Space Suit closeout ops, stow in Soyuz Habitation Module",,,,,
12:50-13:05,,FE-2,,Food frequency questionnaire,,,,
12:50-13:05,,FE-2-16,,Exercise procedure review,,,,
13:05-14:05,,,,LUNCH,,,,
14:05-14:20,,FE-1,,CBCS power up for Node 2 survey,,,,
14:05-14:20,,FE-2-16,,Food frequency questionnaire,,,,
14:05-14:50,,CDR,,Activation / Water Supply System fillup,,,,
14:20-15:30,,FE-1,,CSA-CP battery replacement,,,,
14:25-14:45,,"FE-2, FE-2-16",,SSRMS Node 2 Grapple,,,,
14:45-16:35,,,Node 2 unberth,,,,,
14:48-14:58,,CDR,,Disconnect Express1 rack (ER1) from the LAB Internal Thermal Control System(ITCS) at RIP LAO2,,,,
GMT,,CREW,,ACTIVITY,,,,
13:30-13:40,,,,Morning inspection,,,,
13:40-14:10,,,,Post-sleep,,,,
14:10-15:00,,,,BREAKFAST,,,,
,15:00-15:10,,SFPVC,,Tagup with Consultants Team via VHF1,,,
15:00-15:20,,"ISS-15,16",,Prep for Work,,,,
15:20-15:35,,"ISS-15,16",,Daily Planning Conference (S-band),,,,
15:35-16:35,,FE-2,,Physical Exercise (CEVIS),,,,
15:35-15:45,,FE-1-16,,CONJUGATION. Removal of Recomb-K from CRYOGEM-03 and switchingCRYOGEM-03,,,,
15:35-16:50,,CDR,,PNEVMOCARD. Experiment ops,,,,
15:35-16:05,,CDR-16,,Unpacking of US cargo items delivered on Soyuz,,,,
,,,,CELLS IN SPACE. Removal of FPA containers from KUBIK-AMBER and,,,,
,15:40-15:50,,SFPVC,,,,,
,,,,,transfer to SM,,,
,,,,,,,,
15:50-16:20,,FE-1,,CELLS IN SPACE. Photo/video of all FPA activation,,,,
15:50-16:10,,FE-1-16,,AT-Space. Wetting and set up of 8 containers in centrifuge KUB1 at +22deg,,,,
,,,,CELLS IN SPACE. Inspection and activation of all FPA and fixation of 12,,,,
,15:50-17:50,,SFPVC,,,,,
,,,,,FPA,,,
,,,,,,,,
16:10-16:20,,CDR-16,,O2 level check,,,,
