0,1,2,3,4,5
GMT,,CREW,,ACTIVITY,
06:00-07:30,,"CDR, FE-1, CDR-18",,"Post-sleep (Station Morning Inspection, Morning Toilet, Breakfast)Inspection of Circuit Breakers [АЗС]on DC1 Power Switch Panel(БВП) and Fuses in DC1 Fuse Boxes БПП-30, БПП-36",
,06:00-06:05,,SFPVC,,Integrate Immune - Dry Saliva Sample Collection
06:00-06:05,,FE-2,,SLEEP - FE2 data log,
06:00-07:20,,FE-1-18,,"Post-sleep (Station Morning Inspection, Morning Toilet, Breakfast)",
06:05-07:30,,FE-2,,"Post-sleep (Station Morning Inspection, Morning Toilet, Breakfast)Inspection of Circuit Breakers [АЗС]on DC1 Power Switch Panel(БВП) and Fuses in DC1 Fuse Boxes БПП-30, БПП-36",
,06:05-06:10,,SFPVC,,SLEEP - SFP Log Entry
,06:10-07:50,,SFPVC,,"Post-sleep (Station Morning Inspection, Morning Toilet, Breakfast)"
07:20-07:30,,FE-1-18,,Cryogem-03M. Hardware activation in thermostatic mode at + 29 degrees.,
07:30-07:45,,"ISS17, CDR-18,FE-1-18",,Prep for Work,
07:45-08:00,,"ISS17, CDR-18,FE-1-18",,Daily Planning Conference (S-band),
,07:50-08:20,,SFPVC,,Prep for Work
08:00-08:15,,"ISS17, CDR-18,FE-1-18",,Prep for Work,
08:15-09:30,,CDR,,PNEUMOCARD. Experiment ops,
08:15-09:25,,FE-2,,Physical Exercise (RED),
08:40-09:00,,FE-1-18,,BIOEMULSION. Terminate Bioreactor #02 KT ops and place it inCryogem-03 (+4 deg),
,08:45-08:55,,SFPVC,,Tagup with Consultants Team via VHF1
09:00-09:25,,FE-1-18,,BIOEMULSION. Insert Bioreactor #05 in KT and activate cultivation mode,
09:10-09:25,,FE-1,,BIOEMULSION. Photos of bioreactor being inserted in the thermostaticchamber,
09:25-10:25,,FE-2,,Physical Exercise (CEVIS),
09:25-09:35,,FE-1-18,,CONJUGATION. Remove Recomb-K from CRYOGEM-03 and install inCRYOGEM-03M at +29 degrees,
09:25-10:20,,FE-1,,"Physical Exercise (TVIS), day 2",
09:30-10:15,,"CDR, CDR-18",,ISS17/ISS18 crew handover,
09:35-10:15,,FE-1-18,,MATRYOSHKA-R. Transfer kits from Soyuz and activate thespectrometer,
10:15-10:30,,FE-1-18,,"CONJUGATION. Process activation, setup at +29 deg C",
,10:15-10:30,,SFPVC,,VC15 SSTV HAM Radio Session (City of Schelkovo)
10:20-10:30,,"CDR, FE-1",,VC15 SSTV HAM Radio Session (City of Schelkovo),
10:25-10:30,,FE-2,,HMS - defibrillator inspection,
10:30-11:00,,CDR,,Replacement of urine receptacle (МП) and filter-insert (Ф-В) in the toilet[АСУ] Take МП #0580179 b/c 00045666R (СМ1РО_1_139_1); Ф-В #710077 b/c 00045763R (СМ1РО_4_АСУ_451_1 bag 363-5). Stow the,
,,,,removed unit for disposal,
10:30-10:45,,FE-2,,Start Filling CWC from the Lab Condensate Tank,
10:45-11:45,,"FE-2, CDR-18",,ISS17/ISS18 crew handover,
11:00-12:00,,FE-1-18,,"Installation of Local Temperature Sensor Switching Unit (ЛКТ) (ТА251МБ)and Memory Device in the Soyuz 223 Habitation Module. Install ЛКТ#1419532185, Memory Device (ПЗУ) #1418531907 (СМ1РО_3_314_1,bag #353-8)",
11:00-12:00,,CDR,,"Physical Exercise (TVIS), day 2",
11:15-11:45,,FE-1,,SSC15 Reconfiguration,
11:45-12:00,,FE-2,,Terminate filling CWC from Lab Condensate Tank,
,,,,,
11:55-12:00,,FE-1,,On MCC Go ISS О2 repress from Progress СрПК (start),
12:00-13:00,,"ISS17, CDR-18,FE-1-18",,LUNCH,
,,,,,
13:00-13:15,,FE-1,,CONJUGATION. Photography of Recomb-K ops,
13:00-13:15,,FE-1-18,,"CONJUGATION. Terminate the activation process, stow at t +29",
13:00-14:25,,CDR,,IZGIB (BEND)-DAKON. Set up the Dakon Hardware in the TransferCompartment and Start Measurements,
13:00-13:30,,"CDR-18, FE-2",,Pre-pack conference for Shuttle arrival,
13:15-13:20,,"FE-1, FE-1-18",,ISS О2 Repress from Progress СрПК (terminate),
13:20-14:00,,"FE-1, FE-1-18",,"Filling (separation) of EDV (KOV) for Elektron from CWC 1064 (2L), CWC1008",
13:30-14:00,,"CDR-18, FE-2",,Oxygen GENERATION System (OGS) - Activation,
14:00-15:00,,"CDR-18, FE-2",,ISS17/ISS18 crew handover,
14:00-14:40,,FE-1,,СОЖ Maintenance,
14:25-15:25,,CDR,,"Physical Exercise (TVIS), day 2",
,,,,,
14:30-14:45,,FE-1-18,,ARIL. Transfer Container 18 from SM and setup in CRYOGEM-03 at +4degrees,
14:45-14:55,,FE-1-18,,CONJUGATION. Remove Recomb-K from CRYOGEM-03M and transferto CRYOGEM-03 at +4 degrees,
14:55-15:00,,FE-1-18,,Reset Cryogem-03M from +29 degrees С to + 4 degrees С,
15:00-15:20,,"CDR-18, FE-2",,Configure H2 sensor,
15:00-16:00,,"FE-1, FE-1-18",,ODF replacement,
15:20-15:45,,CDR-18,,Activate OGS Water Delivery System (WDS),
15:20-15:50,,FE-2,,Activate OGS Water Delivery System (WDS),
15:25-15:40,,CDR,,Verify ИП-1 Flow Meter Positions,
15:40-15:45,,CDR,,IZGIB-DAKON. Payload Status Check. Tagup with specialists (S-band),
15:45-17:00,,"CDR, CDR-18",,ISS17/ISS18 crew handover,
15:50-16:55,,FE-2,,Hardware Pre-pack for Return on Shuttle flight ULF2,
,,,,,
16:05-16:20,,FE-1,,Private Medical Conference (Ku + S-band),
16:15-16:35,,FE-1-18,,IMS Update,
16:20-17:15,,FE-1,,"Physical Exercise (TVIS), day 2",
16:35-16:50,,FE-1-18,,Private Medical Conference (Ku + S-band),
16:55-17:45,,FE-1-18,,Evening Work Prep,
16:55-17:00,,FE-2,,PAO hardware setup,
17:00-17:10,,"CDR-18, FE-2",,PAO Hardware Setup,
17:00-17:45,,CDR,,Evening Work Prep,
,,,,,
17:10-17:20,,"CDR-18, FE-2",,Crew Prep for PAO,
,,,,,
17:15-17:45,,FE-1,,Evening Work Prep,
17:20-17:25,,FE-2,,"Transfer of TVIS, RED, and HRM data to MEC.",
17:20-17:40,,CDR-18,,PAO event (S-band),
17:25-17:45,,FE-2,,Evening Work Prep,
,,,,,
17:40-17:45,,CDR-18,,Evening Work Prep,
17:45-18:00,,"ISS17, CDR-18,FE-1-18",,Daily Planning Conference (S-band),
18:00-18:30,,"FE-1, CDR-18",,Evening Work Prep,
18:00-18:15,,FE-2,,Evening Work Prep,
18:00-18:15,,CDR,,Private Medical Conference (Ku + S-band),
18:00-18:10,,FE-1-18,,BIO4. KUBIK1 Ventilation,
18:10-18:30,,FE-1-18,,BIO4. Third Relocation of the RLD Containers in KUBIK 2,
18:15-18:30,,FE-2,,Private Medical Conference (Ku + S-band),
18:15-18:30,,CDR,,Evening Work Prep,
,,"SFPVC, FE-1,",,,
,,,,"Presleep (Dinner, Daily Food Prep, Evening Toilet)",
,,"CDR-18, FE-1-18",,,
,,,,,
18:30-20:25,,CDR,,"Presleep (Dinner, Daily Food Prep, Evening Toilet)",
18:30-19:40,,FE-2,,"Presleep (Dinner, Daily Food Prep, Evening Toilet)",
19:40-19:55,,FE-2,,Crew Discretionary Conference (Ku + S-band),
19:55-20:25,,FE-2,,"Presleep (Dinner, Daily Food Prep, Evening Toilet)",
20:25-20:30,,CDR,,IZGIB-DAKON. Payload Status Check. Tagup with specialists (S-band),
20:25-20:30,,FE-2,,Questionnaire - log entry,
20:30-05:00,,.,,SLEEP,
GMT,,CREW,,ACTIVITY,
06:00-06:10,,"CDR, FE-2",,Morning Inspection,
06:00-06:10,,FE-1,,Morning Inspection,
06:10-06:40,,"CDR, FE-1",,Post-sleep,
06:10-06:35,,FE-2,,Post-sleep,
06:35-07:25,,FE-2,,BREAKFAST,
06:40-07:30,,FE-1,,BREAKFAST,
06:40-07:25,,CDR,,BREAKFAST,
07:25-07:55,,"CDR, FE-2",,SOLO Blood draw,
07:30-07:55,,FE-1,,Prep for Work,
07:55-08:20,,CDR,,Prep for Work,
07:55-08:15,,FE-2,,SOLO: Refrigerated centrifuge set up,
07:55-08:35,,FE-1,,"Auxiliary Laptop Computer System (RSS1, RSK1, RSK2, RSE1) VirusDefinition Database Update. Tagup with specialists (as necessary) (S-band)",
08:15-08:35,,FE-2,,SOLO Blood Sample Analysis,
08:20-08:35,,CDR,,24-hour ECG (termination),
08:35-08:55,,"CDR, FE-1",,24-hour ECG monitoring (start),
08:35-08:55,,FE-2,,SOLO: MELFI Blood Sample Insertion,
08:55-09:10,,,,Daily Planning Conference (S-band),
09:10-10:40,,,,VC15 Timeline Review. Tagup with specialists (S-band) / r/g 8705,
10:40-11:10,,,,VC15 program tagup (S-band),
11:10-12:40,,FE-1,,"Physical Exercise (TVIS), day 2",
11:10-12:10,,CDR,,Crew departure prep,
11:25-11:30,,FE-2,,HAM radio setup,
11:30-11:40,,FE-2,,HAM radio session,
11:55-12:25,,FE-2,,Repository Urine Collection,
12:10-12:20,,CDR,,IWIS deactivation,
12:25-13:25,,CDR,,"Physical Exercise (TVIS), day 2",
12:25-13:25,,FE-2,,Unpacking US cargo delivered by Progress 365,
12:45-13:25,,FE-1,,Hardware pre-pack for return and disposal on Soyuz 222,
13:25-14:25,,,,LUNCH,
14:25-15:05,,FE-1,,СОЖ Maintenance,
14:25-14:40,,FE-2,,Private medical conference (S-band),
14:25-16:25,,CDR,,Hardware pre-pack for return and disposal on Soyuz 222,
14:40-15:35,,FE-2,,Unpacking US cargo delivered by Progress 365,
15:05-16:25,,FE-1,,Pre-pack cargo for Soyuz 222 / r/g 8690,
15:35-16:05,,FE-2,,Gather E18 CDR's exercise equipment,
16:05-17:05,,FE-2,,Physical Exercise (CEVIS),
16:25-17:25,,FE-1,,"Physical Exercise (TVIS), day 2",
16:25-16:45,CDR,IMS Update,,,
16:55-17:10,CDR,Private medical conference (S-band),,,
17:05-18:35,FE-2,Physical Exercise (RED),,,
17:10-18:40,CDR,"Physical Exercise (TVIS), day 2",,,
17:25-18:25,FE-1,Crew departure prep,,,
18:30-18:45,FE-1,Private medical conference (S-band),,,
18:35-18:40,FE-2,Daily Diet Monitoring,,,
18:40-18:45,CDR,Transfer TVIS/RED/HRM data to MEC,,,
18:40-18:55,FE-2,BCAT-4 Video Setup,,,
18:45-18:55,"CDR, FE-1",Prep for Work,,,
18:55-19:10,,Daily Planning Conference (S-band),,,
19:10-19:30,"CDR, FE-1",Prep for Work,,,
19:10-20:10,FE-2,Installation of BCAT4 with EarthKAM,,,
19:30-20:00,"CDR, FE-1",DINNER,,,
20:00-20:30,"CDR, FE-1",Daily Food Prep,,,
20:10-21:10,FE-2,BCAT4 experiment ops,,,
20:30-21:30,"CDR,FE-1",Pre-sleep,,,
21:10-21:30,FE-2,DINNER,,,
21:30-06:00,,SLEEP,,,
Task List,"CDR, FE-1",Ventilation System [CB] Cleaning,,,
GMT,CREW,ACTIVITY,,,
06:00-06:10,CDR,"Morning inspection.Inspection of DC1 Power Panel (БВП) Circuit Breaker (АЗС) fuses inDC1 Fuse Boxes БПП-30, БПП-36",,,
,"FE-1, FE-2",Morning Inspection,,,
06:10-06:40,,Post-sleep,,,
06:40-07:30,BREAKFAST,,,,
07:30-07:45,Prep for Work,,,,
07:45-08:00,Daily Planning Conference (S-band),,,,
08:00-08:10,"CDR, FE-2",Prep for Work,,,
08:00-08:15,FE-1,,,,
08:10-09:40,"CDR, FE-2",Relocate HRF2 from LAB to Columbus,,,
08:15-10:00,FE-1,Progress 365 stowage operations,,,
09:40-10:25,FE-2,HRF2 Rack Umbilical Mate,,,
10:00-10:10,FE-1,On MCC Go Monitor Temperature on Secondary Purification Unit afterElektron Activation,,,
10:10-11:10,"CDR, FE-1assists",Orthostatic stability evaluation with LBNP То = 10:38. Tagup withspecialists (VHF),,,
10:25-10:50,FE-2,Caution & Warning Book Update,,,
10:50-12:45,Environmental Health System (EHS) Surface Sample Kit (SSK)Microbiology Surface Sampling of the ISS,,,,
11:10-11:20,FE-1,New Ethernet Checkout,,,
11:20-11:40,Reconfigure REGUL-Packet R/G Channel to REGUL String 2,,,,
