0,1,2,3,4,5,6
GMT,CREW,,ACTIVITY,,,
06:00-06:05,"CDR, FE-6",,Reaction Self Test,,,
06:00-06:10,"FE-1, FE-5",,Morning Inspection,,,
06:00-06:05,FE-2,,Elektron-VM Aerosol Filter Inspection,,,
06:00-06:20,FE-3,,Urine Sample Collection,,,
06:05-06:10,"CDR, FE-2,FE-6",,Morning Inspection,,,
06:10-06:40,"CDR, FE-1,FE-2, FE-5,FE-6",,Post-sleep,,,
06:20-06:30,FE-3,,HRF Urine Sample MELFI Insertion,,,
06:30-06:35,FE-3,,Reaction Self Test,,,
06:35-06:40,FE-3,,Post-sleep,,,
06:40-07:30,,,BREAKFAST,,,
07:30-07:45,"FE-1, FE-2,FE-5",,Daily Planning Conference (S-band),,,
07:30-07:40,FE-3,,USOS Window Shutter Close,,,
07:30-07:35,FE-6,,HAM Radio Deactivation,,,
07:35-10:35,CDR,,Weekly Housekeeping,,,
07:35-09:40,FE-6,,Weekly Housekeeping,,,
07:40-09:10,FE-3,,Weekly Housekeeping,,,
08:30-10:00,FE-5,,"Physical Exercise (TVIS), Day  4",,,
09:10-10:40,FE-3,,Physical Exercise (ARED),,,
09:30-11:00,FE-1,,"Physical Exercise (TVIS), Day  3",,,
09:40-10:40,FE-6,,Physical Exercise (CEVIS),,,
10:30-11:30,FE-2,,"Physical Exercise (VELO), Day  3",,,
10:40-12:10,FE-6,,Physical Exercise (ARED),,,
10:40-12:10,FE-3,,Weekly Housekeeping,,,
11:10-12:10,CDR,,Physical Exercise (CEVIS),,,
12:10-12:40,,,Weekly Planning Conference (S-band),,,
12:40-13:40,,,LUNCH,,,
13:40-13:55,FE-3,,Private Family Conference,,,
13:40-13:55,CDR,,Food Frequency Questionnaire,,,
13:40-13:50,FE-5,,IZGIB -DAKON. Hardware Activation,,,
13:50-14:00,FE-5,,Monitoring video on SSC1 Laptop during MPEG-2 streaming test,,,
13:55-14:00,CDR,,Activation of A31P Laptop,,,
13:55-14:15,FE-3,,Urine Sample Collection,,,
14:15-14:20,FE-3,,HRF Urine Sample Insertion into MELFI,,,
14:20-14:35,FE-3,,Food Frequency Questionnaire,,,
14:20-14:25,FE-5,,IZGIB -DAKON. Payload Status Check,,,
14:35-14:40,FE-3,,P/L Multi-Protocol Converter (MPC) Power On,,,
GMT,CREW,,ACTIVITY,,,
06:00-06:05,CDR,,SLEEP Data Log Entry,,,
06:00-06:05,FE-3,,SLEEP Data Log Entry,,,
06:00-06:05,FE-6,,SLEEP Data Log Entry,,,
06:00-06:05,"FE-1,FE-2,FE-5",,Morning Inspection,,,
06:05-06:35,FE-3,,Post-sleep,,,
06:05-06:15,"FE-1,FE-2,FE-5",,"Calf Volume Measurement. For FE-1,FE-2 (Kit #96 (00050898R),СМ1РО_МЕДШКАФ_к3)",,,
06:05-06:10,FE-6,,Reaction Self Test,,,
06:05-06:10,CDR,,Reaction Self Test,,,
06:10-06:25,CDR,,Post-sleep,,,
06:10-06:30,FE-6,,Post-sleep,,,
06:15-06:25,FE-5,,МО-8. Setup,,,
06:15-06:45,FE-2,,Post-sleep,,,
06:15-06:40,FE-1,,Post-sleep,,,
06:25-06:30,CDR,,Body Mass Measurement,,,
06:25-06:30,FE-5,,Elektron-VM Aerosol Filter Inspection,,,
06:30-06:35,FE-6,,Body Mass Measurement,,,
06:30-06:50,FE-5,,Post-sleep,,,
06:30-07:30,CDR,,"Post-sleep, Breakfast",,,
06:35-07:30,FE-6,,BREAKFAST,,,
06:35-06:40,FE-3,,Body Mass Measurement,,,
06:40-06:45,FE-1,,Body Mass Measurement,,,
06:40-07:30,FE-3,,BREAKFAST,,,
06:45-07:30,FE-1,,BREAKFAST,,,
06:45-06:50,FE-2,,Body Mass Measurement,,,
06:50-07:30,FE-2,,BREAKFAST,,,
06:50-06:55,FE-5,,Body Mass Measurement,,,
06:55-07:05,FE-5,,MO-8. Cleanup,,,
07:05-07:30,FE-5,,BREAKFAST,,,
07:30-07:55,.,,Daily Planning Conference (S-band),,,
07:55-08:20,FE-5,,Work Prep,,,
07:55-08:15,"CDR,FE-1,FE-2,FE-3,FE-6",,Work Prep,,,
08:15-08:20,FE-6,,WHC UPA Config,,,
08:15-08:45,"FE-1,FE-2,FE-3",,Counter Measure System (CMS) Exercise Overview,,,
08:20-08:35,FE-5,,On MCC GO БМП Ф2 Absorption Cartridge Regeneration (start),,,
08:25-08:35,FE-6,,TOCA Calibration,,,
08:30-09:30,CDR,,Physical Exercise (CEVIS),,,
08:35-09:50,FE-5,,PNEUMOCARD  Experiment,,,
TIME,CREW,Activity,,,,
06:00-06:05,"CDR, FE-6",SLEEP: data recording,,,,
06:00-06:05,FE-5,Elektron-VM Aerosol Filter Inspection,,,,
06:05-06:10,"CDR,БИ-6",Spot Urine Test,,,,
06:05-06:10,FE-5,Morning Inspection,,,,
06:10-06:15,CDR,Reaction Self Test,,,,
06:10-06:30,FE-6,HRF – urine collection,,,,
06:10-06:40,FE-5,Post-Sleep,,,,
06:15-06:45,CDR,Post-Sleep,,,,
06:30-06:40,FE-6,HRF – urine sample  installation in MELFI,,,,
06:40-07:35,FE-5,Breakfast,,,,
06:40-07:10,FE-6,Post-Sleep,,,,
06:45-07:45,CDR,Breakfast,,,,
07:10-08:10,FE-6,Breakfast,,,,
09:35-09:40,CDR,VCA1 camera setup,,,,
09:40-09:50,.,PAO prep,,,,
09:50-10:20,.,PAO (Ku+S-band),,,,
10:30-11:30,FE-6,Physical Exercise - T2,,,,
11:30-13:00,FE-6,Physical Exercise – ARED,,,,
13:00-14:00,.,Lunch,,,,
14:00-14:05,FE-6,PROK - Diet Data Logging (Day 2-4),,,,
14:05-14:25,FE-6,HRF – urine collection,,,,
14:15-14:20,CDR,PROK - Diet Data Logging (Day 2-4),,,,
14:25-14:30,FE-6,HRF – urine sample  installation in MELFI,,,,
15:05-15:45,FE-5,"СОЖ MAINTENANCE – data downlink - counter reading, SVO Component,POTOK Air Purification System in SM and FGB",,,,
15:45-16:45,FE-5,"Physical Exercise - Velo, Day 1",,,,
15:45-17:15,CDR,Physical Exercise – ARED,,,,
16:45-18:15,FE-5,Physical Exercise -TVIS Day 1,,,,
17:10-17:25,FE-6,Private Family Conference,,,,
17:15-18:15,CDR,Physical Exercise - T2,,,,
17:50-18:10,FE-6,HRF – urine collection,,,,
18:10-18:15,FE-6,HRF – urine sample  installation in MELFI,,,,
18:15-19:15,CDR,Evening Work Prep,,,,
18:15-18:25,FE-6,Nutrition и Repository – equipment setup for blood sample collection,,,,
18:15-18:20,FE-5,Elektron-VM Aerosol Filter Inspection,,,,
18:20-19:15,FE-5,Evening Work Prep,,,,
18:25-19:15,FE-6,Evening Work Prep,,,,
19:15-19:30,.,Daily Planning Conference (S-band),,,,
19:30-19:45,CDR,Private Family Conference,,,,
19:45-21:25,CDR,Pre-Sleep,,,,
GMT,CREW,ACTIVITY,,,,
06:00-06:05,"CDR, FE-6",REACTION Self-test,,,,
06:00-06:05,FE-5,Elektron-VM Aerosol Filter Inspection,,,,
06:05-06:10,"CDR, FE-6",Morning Inspection,,,,
06:05-06:10,FE-5,ECLIPSE-BEACON [ТЕНЬ-МАЯК]. Sputnik Hardware Deactivation,,,,
06:10-06:40,,Post-sleep,,,,
06:40-07:40,FE-5,BREAKFAST,,,,
06:40-07:35,"CDR, FE-6",BREAKFAST,,,,
07:35-08:00,FE-6,Work Prep,,,,
07:35-07:50,CDR,Work Prep,,,,
07:40-08:00,FE-5,Work Prep,,,,
07:50-08:00,CDR,CIR Alignment Guide Installation,,,,
08:00-08:15,,Daily Planning Conference (S-band),,,,
08:15-08:30,,ISS Crew and ГОГУ (RSA Flight Control Team Management) Weekly Conference(S-band),,,,
08:30-08:45,FE-5,IMS Tagup (S-band),,,,
08:30-08:35,FE-6,P/L Multi-Protocol Converter (MPC) Power On,,,,
08:30-10:00,CDR,Physical Exercise (ARED),,,,
08:35-08:45,FE-6,BCAT5. Video setup,,,,
08:45-10:15,FE-6,BCAT5 Experiment Protocol,,,,
08:50-09:30,FE-5,Filling EDV (KOV) for Elektron,,,,
09:30-10:10,FE-5,СОЖ Maintenance,,,,
10:00-10:10,CDR,FIR Photo/Video Setup,,,,
10:10-10:25,CDR,FIR Rack Doors Open,,,,
10:10-12:40,FE-5,SM Ventilation System Preventive Maintenance Group А,,,,
10:15-10:30,FE-6,BCAT5 Initialization,,,,
10:25-10:30,CDR,FCF LMM Rotate To Service Position,,,,
10:30-11:30,FE-6,Physical Exercise T 2,,,,
10:30-10:55,CDR,FCF CVB Module Remove,,,,
10:55-12:55,CDR,FCF PACE Software Installation,,,,
11:30-11:40,FE-6,Treadmill 2 System (T2) Handrail Remove,,,,
11:40-13:10,FE-6,Physical Exercise (ARED),,,,
12:40-12:55,FE-5,Routine Maintenance of КН and КВ Tank Valves in SM Rodnik System,,,,
12:55-13:05,CDR,LMM - FCF Rotate To Service Position,,,,
13:05-13:20,CDR,FIR Rack Doors Close,,,,
13:10-13:15,FE-6,P/L Multi-Protocol Converter (MPC) Power Off,,,,
