0,1,2,3,4
GMT,CREW,ACTIVITY,,
06:00-06:05,CDR,BCAT6 - camera battery changeout and intervalometer restart,,
06:00-06:10,FE-4,Morning Inspection.SM ПСС [Caution & Warning Panel] Test,,
06:00-06:20,FE-5,HRF Urine Sample Collection Subject,,
06:05-06:10,CDR,Morning Inspection,,
06:10-06:40,"CDR, FE-4",Post-sleep,,
06:20-06:30,FE-5,MELFI Urine Sample Insertion,,
06:30-07:00,FE-5,Post-sleep,,
06:40-07:30,"CDR, FE-4",BREAKFAST,,
07:00-07:30,FE-5,Diagnostic Kit (DK). Brainwave Data Save,,
07:30-07:45,FE-5,ISS Crew/SSIPC Conference,,
07:30-07:40,FE-4,Work Prep,,
07:30-07:45,CDR,Work Prep,,
07:40-07:45,FE-4,Plasma Crystal-3 Plus. Pressure Check,,
07:45-08:00,,Daily Planning Conference (S-band),,
08:00-08:10,"CDR, FE-4",Work Prep,,
08:00-08:50,FE-5,BREAKFAST,,
08:10-08:15,FE-4,Comm config prior to Plasma Crystal-3 experiment,,
08:15-08:35,FE-4,PLASMA CRYSTAL-3 PLUS. Hardware Activation and Experiment Start,,
08:35-09:25,FE-4,"TV (ISS-MCC, Ku-band).PLASMA CRYSTAL-3 PLUS. Start and Monitor theExperiment Tagup with specialists as necessary (S-band, VHF)",,
08:50-09:20,FE-5,"BIORHYTHM. Operations, 2nd measurement",,
09:20-09:40,CDR,HMS Visual Testing Activity,,
09:20-09:30,FE-5,BREAKFAST,,
09:25-10:15,FE-4,PLASMA CRYSTAL-3 PLUS.  Performing Experiment in Manual Mode,,
09:30-09:50,FE-5,HRF Urine Sample Collection Subject,,
09:40-10:55,CDR,Physical Exercise (ARED),,
09:50-09:55,FE-5,HRF Urine Sample MELFI Insertion,,
09:55-10:00,FE-5,SLT Reboot,,
10:00-10:55,FE-5,Physical Exercise T2,,
10:35-10:55,FE-4,PLASMA CRYSTAL-3 PLUS. Experiment Termination,,
10:55-11:00,FE-5,Shutting Down T2 Software,,
10:55-12:25,CDR,Waste and Hygiene Compartment (WHS) Urine Receptacle and Insert FilterChangeout,,
10:55-11:00,FE-4,Comm system reconfig after Plasma Crystal-3 Experiment,,
11:00-11:30,FE-4,Plasma Crystal-3 Plus. Copy data from the hard drive,,
11:00-11:15,FE-5,Treadmill Т2 Monthly Inspection,,
11:15-11:40,FE-5,Cycle Eergometer w/Vibration Isolation & Stablization (CEVIS) Isolator Check,,
11:30-12:30,FE-4,Physical Exercise (ARED),,
11:45-11:50,FE-5,T2 Display Powerdown,,
11:50-12:00,FE-5,PAO Hardware Setup,,
12:00-12:10,FE-5,Crew Prep for PAO,,
12:10-12:30,FE-5,PAO Event,,
12:30-12:40,FE-5,SSC Reboot Part 1,,
12:30-12:40,CDR,"BCAT6 – camera battery changeout, video downlink, and intervalometerrestart",,
12:35-12:45,FE-4,PAO Hardware Setup,,
12:40-12:45,CDR,BCAT6 Sample Check,,
12:45-12:55,,Crew Prep For PAO,,
12:55-13:15,,TV PAO with Participants of International Space Olympiad for Schoolchildren(Ku + S-band),,
13:15-14:15,,LUNCH,,
14:15-15:45,FE-4,Progress 410 Stowage Operations and IMS updates,,
14:15-14:25,CDR,CIR Alignment Guide Removal,,
14:15-14:20,FE-5,EDR-ERB2 – Power On,,
14:20-14:25,FE-5,CGBA-5 Status Check and Maintenance,,
14:25-14:40,FE-5,SSC Reboot Part 2,,
14:25-14:40,CDR,Private Medical Conference,,
14:40-14:50,CDR,HRF - Stowage removal from in front of the rack location,,
14:45-15:00,FE-5,Private Medical Conference,,
14:50-15:15,CDR,USND2 Hardware Setup,,
15:00-15:20,FE-5,HMS Visual Testing Activity,,
