0,1,2,3,4,5,7
TIME,CREW,,,,,
06:00-06:05,CDR,Reaction Self Test,,,,
,,Morning Inspection.,,,,
,,Reboot Laptop RS2(1),,,,
,,"RSS1, RSS2 Reboot",,,,
06:00-06:10,FE-4,,,,,
,,SM ПСС (Caution & Warning Panel) Test,,,,
,,Inspection of СМ-У connector on МНР-НС separator pump behind АСУ,,,,
,,panel 139,,,,
06:00-06:05,FE-6,Reaction Self Test,,,,
06:05-06:10,"CDR, FE-6",Morning Inspection,,,,
06:10-06:40,,Post-sleep,,,,
06:40-07:30,"CDR, FE-6",BREAKFAST,,,,
06:40-07:15,FE-4,BREAKFAST,,,,
07:15-07:30,FE-4,On MCC Go БМП Ф1 Absorption Cartridge Regeneration (start),,,,
07:30-07:45,,Daily Planning Conference (S-band),,,,
07:45-08:05,"FE-6, CDR",Work Prep,,,,
07:45-08:00,FE-4,BREAKFAST,,,,
08:00-08:20,FE-4,Work Prep,,,,
08:05-08:15,CDR,WRS Water Sample Analysis,,,,
08:05-08:35,FE-6,SPVO2  Hardware Setup,,,,
08:15-08:25,CDR,FMK Deployment Ops,,,,
,,Test of Stowed Vozdukh Atmospheric Purification [СОА] Vacuum Pumps,,,,
08:20-10:50,FE-4,,,,,
,,Tagup with specialists,,,,
08:25-08:35,CDR,EHS Air Quality Monitoring (AQM) Start,,,,
08:35-10:05,CDR,Physical Exercise (ARED),,,,
08:35-08:50,FE-6,Noise level measurement data transfer to MEC,,,,
09:00-09:15,FE-6,Crew Discretionary Conference,,,,
09:15-09:25,FE-6,Remove desiccant from MELFI 2,,,,
09:25-09:55,FE-6,Clean CWC-I for use,,,,
09:55-10:20,FE-6,WRM Condensate Pumping Start,,,,
10:05-10:20,CDR,JRNL - Journal entry,,,,
10:20-10:30,FE-6,RST- Reading Experiment Procedures and Viewing Video,,,,
10:30-11:00,FE-6,RST – Demonstration of Experiment Ops,,,,
10:35-10:55,CDR,Grab Sample Container (GSC) Sampling Operations,,,,
10:50-11:30,FE-4,СОЖ Maintenance,,,,
10:55-11:05,CDR,TOCA 2 Data Recording,,,,
11:00-12:30,FE-6,Physical Exercise (ARED),,,,
11:20-12:10,CDR,R&R of failed electronic unit in MELFI,,,,
11:30-13:00,FE-4,"Physical Exercise (TVIS), Day 3",,,,
12:30-12:55,FE-6,CSA-CP calibration,,,,
12:40-12:55,CDR,Express Rack 2 shock absorber - secure,,,,
12:55-13:55,CDR,LUNCH,,,,
13:00-14:00,"FE-4, FE-6",LUNCH,,,,
13:55-14:00,CDR,EHS - Air Quality Monitor (AQM) End,,,,
14:00-15:45,FE-4,Loading disposal hardware onto ТКГ 416 and IMS Updates,,,,
14:00-17:00,"FE-6,CDR",EVA Procedure Review,,,,
15:45-16:15,FE-4,SEINER Ocean Observations,,,,
16:15-16:45,FE-4,Auxiliary Laptop Anti-Virus Update,,,,
17:00-17:15,FE-6,WRM Condensate Pumping Terminate,,,,
17:00-17:15,CDR,ТЛФ (Teleconference)-audit tag-up (S-band),,,,
17:05-17:25,FE-4,IMS Update,,,,
17:15-17:30,CDR,Evening Work Prep,,,,
17:25-18:25,FE-4,"Physical Exercise (TVIS), Day 3",,,,
17:30-17:50,CDR,Photographing PVTCS from JEM window,,,,
17:50-18:00,CDR,Evening Work Prep,,,,
18:00-18:55,FE-6,Physical Exercise Т2,,,,
18:00-19:00,CDR,Physical Exercise (CEVIS),,,,
18:25-19:00,FE-4,Evening Work Prep,,,,
18:55-19:00,FE-6,Shutting down data transfer application,,,,
19:00-19:15,,Daily Planning Conference (S-band),,,,
19:15-19:30,,Evening Work Prep,,,,
19:30-19:35,CDR,P/TV Playback Start,,,,
19:30-21:10,FE-4,Pre-sleep,,,,
19:30-21:15,FE-6,Pre-sleep,,,,
19:35-21:20,CDR,Pre-sleep,,,,
21:10-21:25,FE-4,БМП Ф1 Absorption Cartridge Regeneration (termination),,,,
21:15-21:20,FE-6,Display Power down,,,,
21:20-21:25,FE-6,"REMINDER – Reading reminder, protocol",,,,
21:20-21:25,CDR,Reaction Self Test,,,,
21:25-21:30,CDR,P/TV Playback Stop,,,,
21:25-21:30,FE-6,Reaction Self Test,,,,
21:30-06:00,,SLEEP,,,,
,,Preparation of reports for Roskosmos site,,,,
