0,1,2
TIME,CREW,
06:00-06:10,CDR,Morning Inspection Laptop RS2(1) Reboot
06:00-06:10,FE-1,Morning Inspection SM ПСС (Caution & Warning Panel) Test
06:00-06:15,FE-2,KHROMATOMASS. Experiment Setup
06:00-06:05,FE-3,REMINDER - Reading Reminder
06:00-06:05,FE-5,REMINDER - Crew reminder about the experiment constraints
06:00-06:10,FE-6,Morning Inspection
06:05-06:10,FE-5,Morning Inspection
06:05-06:10,FE-3,Crew performs urine test
06:10-06:40,"CDR, FE-1, FE-5",Post-sleep
06:10-06:30,FE-3,Post-sleep
06:10-06:45,FE-6,Post-sleep
06:15-06:45,FE-2,KHROMATOMASS. Saliva and Blood Collection
06:30-07:05,FE-3,HRF Blood Collection Operations
06:40-07:30,"CDR, FE-1",BREAKFAST
06:40-06:55,FE-5,HRF - Assistance with blood sample collection
06:45-06:55,FE-2,"Morning Inspection RSS1,2 Reboot"
06:45-06:50,FE-6,HRF - Blood Sample Draw and Photography
06:50-07:20,FE-6,BREAKFAST
06:55-07:25,FE-2,Post-sleep
06:55-07:25,FE-5,BREAKFAST
07:05-07:25,FE-3,BREAKFAST
07:20-07:30,FE-6,MSG - Visual inspection and activation
07:25-08:15,FE-2,BREAKFAST
07:25-07:35,FE-3,HRF - Centrifuge Configuration
07:25-07:30,FE-5,ENERGY Diet Log of Breakfast
07:30-07:45,CDR,Work Prep
07:30-07:50,FE-1,Work Prep
07:30-08:15,FE-5,Video Footage for the 15th Anniversary of the ISS
07:30-07:50,FE-6,Acoustic Dosimeter Setup
07:35-07:55,FE-3,HRF Urine Sample Collection and Scanning
07:45-08:15,CDR,Inspection and Photography of cable 17КС.520Ю8252А-120 connection with PCE БКГ АФУ
07:50-08:00,FE-6,JEMRMS - Bus Monitor Stop Part 1
07:55-08:00,FE-3,HRF - MELFI Sample Insertion
08:00-08:05,FE-3,BREAKFAST
08:00-08:15,FE-6,Ocular Health (OH) Tonometry Test Setup
08:05-08:10,FE-3,HRF - Sample removal and centrifuge deactivation
08:10-08:15,FE-3,HRF - Blood Sample MELFI Insertion
08:15-08:40,,Daily Planning Conference (S-band)
08:40-09:30,"CDR, FE-2 assists",Study of Cardiovascular System Under Graded Physical Load on VELO. Tagup with specialists (S-band)
08:40-09:40,FE-1,Crew time for ISS adaptation and orientation
08:40-08:55,FE-5,BREAKFAST
08:40-09:05,FE-6,Ocular Health (OH) Blood Pressure Operations
08:40-09:10,FE-3,BREAKFAST
08:55-09:00,FE-5,Ocular Health (OH) Blood Pressure Operations
09:00-09:20,FE-5,Ocular Health (OH) Tonometry Test - assistance
09:05-09:20,FE-6,Ocular Health (OH) Tonometry Test - Subject
09:10-10:35,FE-3,ARED Exercise
09:20-09:40,FE-5,HAM Radio Session
09:20-09:45,FE-6,Crew Medical Officer (CMO) Proficiency Training
09:30-09:40,FE-2,CASKAD. Manual Mixing in Bioreactor
09:40-10:20,"CDR, FE-1, FE-2",Greetings Video Footage
09:45-10:10,FE-5,Ocular Health (OH) Blood Pressure Operations
09:45-09:55,FE-6,JRMS - Start BUS Monitoring
10:00-10:05,FE-6,Ocular Health (OH) Blood Pressure Operations
10:05-10:25,FE-6,Ocular Health (OH) Tonometry Test - assistance
10:10-10:25,FE-5,Ocular Health (OH) Tonometry Test - Subject
10:20-12:05,CDR,
,,Video for Roskosmos TV Channel
10:20-11:20,FE-1,
10:20-10:35,FE-2,KHROMATOMASS. Closeout Ops
10:25-10:30,FE-5,ENERGY - Water Sample Collection
10:25-10:35,FE-6,Ocular Health (OH) - Equipment Stowage
10:30-10:50,FE-5,ENERGY - Urine Sample Collection
10:35-11:30,"FE-3, FE-6",INSP3 - Start experiment ops
10:35-10:40,FE-2,Photo/TV Camcorder Setup Verification
10:40-12:05,FE-2,ARED Exercise
11:05-12:05,FE-5,T2 Exercise
11:20-11:30,FE-1,VHF Comm Test via Gibrid-N RGS-33 (VHF)
11:30-12:05,FE-1,Video for Roskosmos TV Channel
11:30-12:25,FE-6,Cygnus Transfers
11:30-12:35,FE-3,Reversible Figures Protocol Execution
12:05-13:35,CDR,"БД-2 Exercise, Day 3"
12:05-12:45,FE-1,Video Footage for the 15th Anniversary of the ISS
TIME,CREW,ACTIVITY
06:00-06:10,CDR,Morning Inspection. Laptop RS2(1) Reboot
06:00-06:15,FE-1,KHROMATOMASS. Experiment setup
06:00-06:10,FE-2,"Morning Inspection. RSS1, RSS2 Reboot"
06:00-06:10,FE-3,Morning Inspection
06:00-06:05,"FE-5, FE-6",Reaction Self Test
06:05-06:10,FE-5,REMINDER - Crew reminder about the experiment constraints
06:05-06:10,FE-6,Morning Inspection
,"CDR, FE-2,",
06:10-06:40,"FE-3, FE-5,",Post-sleep
,FE-6,
06:15-06:45,FE-1,KHROMATOMASS. Saliva and Blood Collection
06:40-07:30,"CDR, FE-2, FE-3, FE-5",BREAKFAST
06:40-07:35,FE-6,BREAKFAST
06:45-06:55,FE-1,Morning Inspection. SM ПСС (Caution & Warning Panel) Test
06:55-07:25,FE-1,Post-sleep
07:25-08:10,FE-1,BREAKFAST
07:30-07:50,CDR,Work Prep
07:30-08:00,FE-3,Work Prep
07:30-07:35,FE-5,ENERGY Diet Log of Breakfast
07:35-08:05,FE-6,Work Prep
07:40-08:00,FE-2,Work Prep
