0,1,2,3
TIME,CREW,ACTIVITY,
,,Morning Inspection. Laptop RS1(2) Reboot,
06:00-06:10,CDR,Inspection of connector UМ-U on МНР-НС behind [АСУ] panel 139  and,
,,Inspection of pipe 5182-03 from ДКиВ to [МНР] in its transparent area,
06:00-06:10,FE-1,Morning Inspection. Laptop RSS2 Reboot,
06:00-06:10,FE-2,Morning Inspection. SM ПСС (Caution & Warning Panel) Test,
,"FE-3, FE-5,",,
06:00-06:10,,Morning Inspection,
,FE-6,,
06:10-06:40,.,Post-sleep,
06:40-07:00,.,BREAKFAST,
07:00-07:15,.,Daily Planning Conference (S-band),
07:15-07:40,CDR,BREAKFAST,
07:15-07:35,FE-1,BREAKFAST,
,"FE-2, FE-3,",,
07:15-07:55,,BREAKFAST,
,"FE-5, FE-6",,
07:35-07:55,FE-1,Air Duct Removal in DC1 (leave В3 in place),
07:40-07:55,CDR,Comm Config for Suited OBT,
07:55-08:15,"CDR, FE-1",Orlan #5 and  #6 Systems Check,
07:55-08:25,FE-2,Work Prep,
07:55-08:10,"FE-3, FE-5",DCB – Bag Packing,
07:55-08:05,FE-6,USOS Window Shutter Close,
08:10-11:40,"FE-3, FE-5",DCB – Bag Packing for Return to Earth,
08:15-08:30,"CDR, FE-1",DC1 БСС (Orlan Interface Unit) Check,
08:15-08:25,FE-6,CIR - Hardware Teardown,
08:25-08:40,FE-2,On MCC Go БМП Ф1 Absorption Cartridge Regen (start),
08:25-08:35,FE-6,Work Prep,
08:30-09:00,"CDR, FE-1",Donning Gear,
08:35-10:05,FE-6,ARED Exercise,
08:40-08:50,FE-2,CASCAD. Activation of ТБУ-В #04 thermostat to +4 degrees С,
,,"Filter R&R on ПС1, ПС2 dust collectors in FGB (ФГБ1ПГО_4_419_1,",
08:50-09:40,FE-2,,
,,Container of Area 28Б). Update IMS,
09:00-09:30,"CDR, FE-1",Comm Check and Medical Parameters Check,
09:40-11:00,FE-2,"FGB interior panels fan grille cleaning (panels 116, 316, 231, 431)",
09:55-10:05,"CDR, FE-1",Check Initial Status of Orlan and БСС,
10:05-10:20,"CDR, FE-1","Donning Orlans ##5 and 6, Closing Backpacks",
10:05-11:40,FE-6,Suited Translation OBT – assist during suited translation,
10:20-10:25,"CDR, FE-1",Check Orlan and БСС Controls,
10:25-10:30,"CDR, FE-1",Orlan and БСС Preliminary Leak Checks,
