0,1,2,3,4,5
GMT,CREW,ACTIVITY,,,
06:00-06:10,"FE-1, FE-3,FE-4, FE-5",Morning Inspection,,,
06:00-06:10,CDR,SONOCARD Experiment Termination,,,
06:00-06:30,FE-2,Post-sleep,,,
06:10-06:40,"FE-1, FE-3,FE-5",,,,
06:10-06:50,FE-4,,,,
06:10-06:15,CDR,Morning Inspection,,,
06:15-06:45,CDR,Post-sleep,,,
06:30-07:20,FE-2,BREAKFAST,,,
06:40-07:30,"FE-1, FE-3,FE-5",,,,
06:45-07:35,CDR,,,,
06:50-07:50,FE-4,Physical Exercise (CEVIS),,,
07:20-07:30,FE-2,EHS Sampling Start,,,
07:30-07:40,FE-5,Work Prep,,,
07:30-07:50,"FE-1, FE-2,FE-3",,,,
07:35-07:50,CDR,SONOCARD Copy Data to RSE-MED Laptop,,,
07:40-07:45,FE-5,МРС Deactivation,,,
07:45-07:50,FE-5,JEMRMS Backup Controller (BUC) Power on,,,
07:50-08:15,,Daily Planning Conference (S-band),,,
08:15-08:30,,ISS Crew and ГОГУ (RSA Flight Control Team Management) WeeklyConference (S-band),,,
08:30-10:00,FE-5,Physical Exercise (ARED),,,
08:30-08:35,FE-1,Video Setup for PFE Footage,,,
08:30-09:10,FE-4,BREAKFAST,,,
08:30-09:30,FE-3,"Physical Exercise (VELO), day  4",,,
08:30-10:00,FE-2,Periodic Fitness Evaluation - Nom Ops (subject),,,
08:30-08:45,CDR,IMS Tagup (S-band),,,
08:35-08:45,FE-1,Terminate EMU Metox Regeneration,,,
08:45-09:00,FE-1,N2 Port Hatch Unlatch,,,
08:45-10:00,CDR,Hardware Stowage for Disposal in Progress 367 and IMS updates,,,
09:05-09:35,FE-1,Periodic Fitness Evaluation - Nom Ops (assistance),,,
09:10-09:30,FE-4,Work Prep,,,
09:30-09:35,FE-4,JPM Vibration Measurement,,,
09:30-10:00,FE-3,Hygiene Procedures,,,
09:35-09:45,FE-4,Clock Adjustment,,,
10:00-10:30,CDR,Installation of ЮА114М ROM into primary БИТС2-12 system V4Б.Т БЦБ[Central Processor Subsystem] String,,,
10:00-11:30,FE-2,Physical Exercise (ARED),,,
10:00-13:00,"FE-3, FE-4,FE-5",Soyuz 225 Descent OBT. Tagup with specialists (S-band),,,
10:05-10:25,FE-1,WHC Seat R&R,,,
10:25-11:25,FE-1,Waste and Hygiene Compartment (WHC) R&R,,,
10:30-11:00,CDR,Changeout of СРВ-К2М purification column assembly,,,
11:00-11:30,CDR,СОЖ Maintenance,,,
11:30-11:35,FE-2,Stowage of Equipment Used for PFE Video Shoot,,,
11:30-12:30,CDR,"Physical Exercise (TVIS), day  1",,,
11:30-13:00,FE-1,Physical Exercise (ARED),,,
11:35-12:20,FE-2,Scheduled Maintenance of Compound Specific Analyzer- Combustion Products(CSA-CP),,,
12:20-12:25,FE-2,EHS Sampling Termination,,,
12:25-12:30,FE-2,Using the Node 2 Camcorder,,,
12:30-13:00,FE-2,Setup for Robotics OBT,,,
12:30-13:00,CDR,Hygiene Procedures,,,
13:00-13:20,,Crew Conference with Astronaut Office Management (S-band),,,
13:20-14:20,,LUNCH,,,
14:20-15:20,"CDR, FE-3",Hardware stowage for Disposal in Progress 367 and IMS updates,,,
14:20-17:00,"FE-2, FE-4,FE-5",HTV OBT,,,
14:20-17:15,FE-1,US EVA Tool Gathering,,,
15:20-16:00,"CDR, FE-3",SM and Progress TORU test with no Progress Approach & Attitude ControlThrusters [ДПО] commanding (Intermodular test) / Tagup with specialists (VHF),,,
16:00-16:10,CDR,Monitoring Temperature of Secondary Combustion Unit after Elektron Activation/ r/g 144,,,
16:10-17:10,FE-3,"Physical Exercise (TVIS), day 4",,,
16:10-17:10,CDR,"Physical Exercise (VELO), day 1",,,
17:00-17:20,"FE-2, FE-4,FE-5",HTV OBT Debrief,,,
17:10-18:10,CDR,Hardware Stowage for Disposal in Progress 367 and IMS updates,,,
17:15-17:25,FE-1,Nutrition and Repository Crew Blood Collection Hardware Setup,,,
