0,1,2,3,4
GMT,,CREW,,ACTIVITY
06:00-06:05,,FE-6,,Integrated Immune - Dry Saliva Sample Collection
06:00-06:10,,FE-5,,SONOCARD Experiment Termination
06:00-06:05,,FE-3,,Elektron-VM Aerosol Filter Inspection
06:00-06:05,,FE-4,,Integrated Immune Experiment Historical Documentation Photography
06:00-06:10,,"CDR, FE-2",,Morning Inspection
06:05-06:10,,FE-3,,Morning Inspection
06:05-06:10,,"FE-4, FE-6",,Integrated Immune - Dry Saliva Sample Collection
06:10-06:20,,FE-5,,Morning Inspection
06:10-06:40,,"CDR, FE-2,FE-3",,Post-sleep
06:10-06:20,,FE-4,,Reaction Photo and Video
06:10-06:15,,FE-6,,REACTION Self Test
06:15-06:40,,FE-6,,Post-sleep
06:20-06:40,,FE-4,,Post-sleep
06:20-06:50,,FE-5,,Post-sleep
06:40-07:30,,"CDR, FE-2",,BREAKFAST
06:40-07:45,,FE-6,,BREAKFAST
06:40-07:35,,FE-3,,BREAKFAST
06:40-07:50,,FE-4,,BREAKFAST
06:50-07:40,,FE-5,,BREAKFAST
07:30-07:50,,"CDR, FE-2",,Work Prep
07:35-07:55,,FE-3,,Work Prep
07:40-07:45,,FE-5,,TBU (Universal Bioengineering Thermostat). Temperature Check (Reporttemperature to MCC)
07:45-07:55,,"FE-5, FE-6",,Work Prep
07:55-08:20,,,,Daily Planning Conference (S-band)
08:20-08:35,,CDR,,Check and maintain comm from Soyuz (VHF)
08:20-08:35,,FE-4,,Work Prep
08:20-08:30,,"FE-5, FE-6",,Work Prep
08:25-08:40,,FE-3,,SM air sampling using АК-1М sampler
08:30-08:45,,FE-5,,SONOCARD Data Copy to RSE-MED Laptop and Data Downlink Using OCA
08:40-08:55,,FE-3,,ИПД Air Sampling for Ammonia in SM
08:45-09:00,,FE-4,,Work Prep
08:45-09:00,,FE-5,,Soyuz 229 Gas Analyzer Activation
08:55-10:30,,FE-3,,Stowing Disposal Hardware in Soyuz 228
09:00-10:30,,"CDR, FE-5(assists)",,LBNP Exercise (FINAL). То=09:55. Tagup w/ specialists (VHF)
09:00-09:30,,FE-4,,Crew Medical Officer (CMO) Proficiency Training
09:05-10:05,,FE-2,,Crew Departure Prep
09:30-11:00,,FE-4,,Physical Exercise (ARED)
10:00-11:00,,FE-6,,Physical Exercise (CEVIS)
10:05-10:15,,FE-2,,EHS GC/DMS Ops Start
10:15-10:20,,FE-2,,Bioprocessor and CGBA 5 Status Check
10:20-11:20,,FE-2,,Node 2 Bumpout Removal
10:30-12:00,,CDR,,Soyuz 228 Return Hardware Stowage
10:35-12:05,,"FE-3, FE-5(assists)",,LBNP Exercise (FINAL). То=11:30. Tagup w/ specialists (VHF)
11:00-12:30,,FE-6,,Physical Exercise (ARED)
11:20-11:30,,FE-2,,SDRM Powerup
11:30-12:30,,FE-2,,Physical Exercise (CEVIS)
12:00-13:00,,CDR,,"Dismantle ЛКТ (ТА251МБ) from Soyuz 228 Orbital Compartment. Stow theremoved unit at location СМ1РО_3_314_1, bag 353-8 (b/c 00037141R)"
12:00-12:30,,FE-4,,Crew Quarters Relocation from JPM1D3 to NOD2D5 Part.1
12:05-12:25,,FE-3,,MEMBRANE Removal of capsules from thermostatic container and stowage
12:25-12:35,,FE-5,,PAO Hardware Setup
12:25-12:45,,FE-3,,MEMBRANE Hardware Removal and Stowage
12:30-14:00,,FE-2,,Physical Exercise (ARED)
12:30-13:30,,"FE-4, FE-6",,Crew Quarters Relocation from JPM1D3 to NOD2D5 Part.2
12:35-12:40,,FE-5,,Crew Prep For PAO
12:40-12:50,,FE-5,,"ISS-MCC-M TV - Greetings to the crew, trainees, and guests of bark Pallada(Ku+S-band)"
12:45-13:00,,FE-3,,MEMBRANE Transfer and stow in Soyuz for return
12:50-13:00,,FE-5,,PAO Hardware Deactivation
13:00-14:00,,"CDR, FE-3,FE-5",,LUNCH
13:30-14:00,,FE-4,,Crew Quarters Relocation from JPM1D3 to NOD2D5 Part.3
13:45-14:00,,FE-6,,Private Psychological Conference
14:00-14:15,,"CDR, FE-5",,Signing ISS RS Handover Protocol
14:00-15:00,,"FE-2, FE-6",,LUNCH
14:00-14:10,,FE-3,,LAKTOLEN. Transfer Bioecology container #9-2 from SM to Soyuz
14:00-14:20,,FE-4,,LUNCH
14:10-14:25,,FE-3,,BIOTREK Dismantle Bioecology container and transfer to Soyuz
14:15-14:25,,FE-5,,BIOTREK Photography
14:20-14:25,,FE-4,,ISS HAM  Radio Setup in Service Module
14:25-14:40,,FE-4,,ISS HAM  Radio Setup in Service Module
14:25-14:40,,FE-3,,BACTERIOPHAGE. Dismantle containers #8-3 and #8-2 and transfer to Soyuz
14:40-15:00,,FE-4,,LUNCH
14:40-14:50,,FE-5,,Sanitary & Epidemiological Status Monitoring
14:40-15:40,,FE-3,,Sanitary & Epidemiological Status Monitoring
14:50-17:10,,CDR,,Soyuz 228 Return Hardware Stowage
15:00-15:25,,FE-2,,Environmental Health System (EHS) CSA-CP Calibration
15:00-18:00,,"FE-4, FE-5,",,ISS Emergency Descent Drill
,,FE-6,,
15:25-15:30,,FE-2,,Terminate EHS GC/DMS Ops
15:40-16:20,,FE-3,,Microbial Sample Collection (Kit 2 Sampling)
15:50-15:55,,FE-2,,SDRM Powerdown
15:55-16:55,,FE-2,,Node 2 Bumpout Removal 2
16:20-17:20,,FE-3,,"Physical Exercise (TVIS), Day  2"
16:55-17:00,,FE-2,,Biolab Temperature Check
17:20-18:20,,CDR,,"Physical Exercise (TVIS), Day  1"
17:20-18:20,,FE-3,,Crew Departure Prep
17:30-17:35,,FE-2,,Configuration Check for Biolab Glovebox Testing
17:35-17:45,,FE-2,,CWQMK Retrieval and Preparation
17:45-18:25,,FE-2,,CWQMK Water Sample Analysis
18:00-18:15,,FE-4,,Private Psychological Conference
18:00-19:00,,FE-5,,Physical Exercise (ARED)
18:20-19:20,,CDR,,Crew Departure Prep
18:25-18:30,,FE-6,,HAM Radio Deactivation
18:25-18:35,,FE-2,,CWQMK Data Upload
18:30-20:00,,FE-6,,Crew Quarters Activation and Checkout
18:30-18:45,,FE-4,,Private Medical Conference
