0,1,2,3
TIME,CREW,,
11:40-11:50,"CDR, FE-6",Morning Inspection,
,,Morning Inspection,
11:40-11:50,FE-4,Inspection of СМ-У connector on МНР-НС separator pump,
,,behind АСУ panel 139,
11:50-12:20,,Post-sleep,
12:20-13:10,"CDR, FE-6",BREAKFAST,
12:20-13:10,FE-4,BREAKFAST. SM ПСС [Caution & Warning Panel] Test (after breakfast),
13:10-14:10,CDR,Physical Exercise (CEVIS),
13:10-14:40,FE-6,Physical Exercise (ARED),
14:10-14:15,CDR,Opening LAB window shutters for ISSAC Ops,
15:00-16:00,,LUNCH,
16:00-16:40,FE-4,СОЖ Maintenance,
16:10-18:00,CDR,Waste and Hygiene Compartment (WHS) Urine Receptacle and Insert Filter Changeout,
16:25-17:40,FE-6,ARED Lubrication,
17:40-18:35,FE-6,Physical Exercise (T2),
18:00-19:30,FE-4,"Physical Exercise (TVIS), Day  4",
18:00-19:30,CDR,Physical Exercise (ARED),
18:35-18:40,FE-6,Shutting down data transfer application,
18:40-18:50,FE-6,FMK - Stowage,
18:50-19:20,FE-6,Emergency Equipment Relocation,
19:25-19:30,FE-6,Display Power down,
19:30-19:35,CDR,P/TV Playback Start,
19:30-21:30,"FE-4, FE-6",Pre-sleep,
19:35-21:20,CDR,Pre-sleep,
21:20-21:25,CDR,MERLIN – reminder to transfer components into recently activated MERLIN,
21:30-06:00,,SLEEP,
GMT,CREW,,
06:00-06:10,"CDR, FE-2, FE-4",Morning Inspection,
06:00-06:05,FE-3,Reaction Self Test,
06:00-06:05,FE-5,Urine Spot Test,
06:00-06:05,FE-6,Reaction Self Test,
06:05-06:10,FE-3,Morning Inspection,
06:05-06:10,FE-5,Reaction Self Test,
06:05-06:10,FE-6,Morning Inspection,
06:10-06:40,,Post-sleep,
06:40-07:30,CDR,BREAKFAST.  SM ПСС [Caution & Warning Panel] Test (after breakfast),
,"FE-2, FE-4,",,
06:40-07:30,"FE-3, FE-5,",BREAKFAST,
,FE-6,,
07:30-10:30,FE-4,Weekly Housekeeping,
,,Weekly Housekeeping,
07:30-10:30,CDR,"SM Ventilation Subsystem Preventive Maintenance, Group E Inspection of Air Conditioner [СКВ]",
,,Cleaning FGB ЦВ2 Fan,
07:30-09:45,FE-2,Weekly Housekeeping,
07:30-10:30,"FE-3, FE-5",Weekly Housekeeping,
07:30-07:40,FE-6,"CIRCADIAN RHYTHMS Module Deinstall, Clean, Stow",
07:40-10:40,FE-6,Weekly Housekeeping,
09:45-10:00,FE-2,Private Psychological Conference (VHF),
10:00-10:10,FE-2,CASKAD. Manual Mixing in Bioreactor,
10:30-11:30,FE-5,Physical Exercise (T2),
10:30-12:00,FE-4,"Physical Exercise (TVIS), Day 3",
10:30-10:35,FE-3,CGBA Status Check,
10:40-11:55,FE-2,Physical Exercise (ARED),
11:20-11:35,CDR,Private Psychological Conference (VHF),
11:55-13:25,FE-6,Physical Exercise (ARED),
12:00-12:30,FE-4,Weekly Housekeeping. Cleaning SM and FGB Potok-150MK Air Purification System Pre-filters,
12:05-12:20,FE-2,Private Family Conference (S + Ku-band),
12:10-13:10,CDR,Physical Exercise (T2),
13:10-13:25,CDR,Post-Exercise Hygiene Procedure,
13:25-13:55,,Weekly Planning Conference (S-band),
13:55-14:55,,LUNCH,
14:55-15:00,FE-6,PROK Diet Logging (Day 2-4),
14:55-15:35,FE-4,СОЖ Maintenance,
GMT,CREW,ACTIVITY,
06:00-06:10,CDR,Morning Inspection. SM ПСС [Caution & Warning Panel] Test,
06:00-06:15,FE-2,Morning Inspection,
06:00-06:05,FE-3,Urine Spot Test,
06:00-06:10,"FE-4, FE-5",Morning Inspection,
06:00-06:05,FE-6,Urine Spot Test,
06:05-06:10,FE-3,ICV-3H MAKITA Battery Changeout,
06:05-06:10,FE-6,HRF Closeout Ops,
06:10-06:35,CDR,Post-sleep,
06:10-06:20,"FE-3, FE-6",Morning Inspection,
06:10-06:40,FE-4,Post-sleep,
06:10-06:40,FE-5,Post-sleep,
06:15-06:25,FE-2,IMMUNO. Saliva Sample (Session 1),
06:20-06:50,"FE-6, FE-3",Post-sleep,
06:25-06:35,FE-2,"IMMUNO. First stress test, questionnaire data entry",
06:35-06:50,CDR,IMMUNO. Assistance in the Experiment,
06:35-06:50,FE-2,IMMUNO. Venous blood collection,
06:40-07:30,FE-4,BREAKFAST,
06:40-07:10,FE-5,BREAKFAST,
06:50-07:05,CDR,IMMUNO. Venous blood sample processing using Plasma-03 centrifuge,
06:50-07:10,FE-2,IMMUNO. Venous blood sample processing (smear),
06:50-07:40,"FE-3, FE-6",BREAKFAST,
07:05-07:10,CDR,IMMUNO. Sample Handover for MELFI Insertion,
07:10-07:40,CDR,BREAKFAST,
07:10-07:15,FE-2,IMMUNO. Equipment Stowage,
07:10-07:20,FE-5,IMMUNO Urine Sample MELFI Insertion,
07:15-07:40,FE-2,BREAKFAST,
07:20-07:40,FE-5,BREAKFAST,
