0,1,2,3,5
TIME,CREW,,,
,,Morning Inspection,,
,,Laptop RS2(1) Reboot,,
06:00-06:10,CDR,"RSS1, RSS2 Reboot  Check position of MRM2 manual Circuit Breakers [АЗС] on БВП СО and",,
,,"status of Fuses on Fuse Boxes БПП-30, БПП-36 by LED indication",,
,,"Check БПП-4, БПП-7 Fuses in MRM1",,
06:00-06:05,FE-5,Reaction Self Test,,
06:00-06:05,FE-6,Reaction Self Test,,
06:05-06:15,"FE-5, FE-6",Morning Inspection,,
06:10-06:40,CDR,Post-sleep,,
06:15-06:40,"FE-5, FE-6",Post-sleep,,
06:40-07:30,CDR,BREAKFAST. SM ПСС (Caution & Warning Panel) Test (after breakfast),,
06:40-07:30,"FE-5, FE-6",BREAKFAST,,
07:35-07:45,FE-6,O2/CO2 measurement,,
09:00-10:00,FE-5,T2 Exercise,,
10:20-10:30,FE-6,AOS window shutter close,,
10:30-11:30,FE-6,CEVIS Exercise,,
11:05-11:20,CDR,Private conference w/family and friends (Ku + S-band),,
11:30-13:00,FE-6,ARED Exercise,,
12:00-13:00,CDR,"БД-2 Exercise, Day 3",,
13:00-14:00,"CDR, FE-5, FE-6",LUNCH,,
14:00-14:40,CDR,"СОЖ Maintenance. SM and FGB СВО, СГО, СПКУ АСУ Counter, POTOK Air Purification System Data Calldowns",,
14:25-14:40,FE-6,Private Family Conference,,
10:00-11:30,FE-5,ARED Exercise,,
16:05-16:20,FE-5,Private Family Conference,,
17:00-18:30,CDR,ARED Exercise,,
17:15-17:20,FE-6,ISERV – open LAB window shutter,,
18:45-19:00,"CDR, FE-5, FE-6",Daily Planning Conference (S-band),,
19:00-19:30,"CDR, FE-5, FE-6",Evening Work Prep,,
19:30-21:30,CDR,Pre-sleep,,
19:30-21:20,FE-5,Pre-sleep,,
19:30-21:25,FE-6,Pre-sleep,,
21:20-21:25,FE-5,Reading REMINDER,,
21:25-21:30,FE-5,Reaction Self Test,,
21:25-21:30,FE-6,Reaction Self Test,,
TIME,CREW,,,
,,Morning Inspection.,,
06:00-06:10,CDR,Laptop RS2(1) Reboot,,
,,"RSS1, RSS2 Reboot SM ПСС (Caution & Warning Panel) Test",,
06:00-06:05,FE-5,Reaction Self Test,,
06:00-06:05,FE-6,Reaction Self Test,,
06:05-06:10,"FE-5, FE-6",Morning Inspection,,
06:10-06:40,,Post-sleep,,
06:40-07:30,,BREAKFAST,,
07:30-07:40,"FE-5, FE-6",Work Prep,,
07:35-07:50,CDR,Regeneration of БМП Ф1 Micropurification Cartridge (start),,
07:40-07:50,FE-5,MSG - Visual inspection and activation,,
07:40-07:50,FE-6,Gathering О2/СО2 Samples,,
07:50-08:05,,Daily Planning Conference (S-band),,
08:05-08:15,FE-6,Setup for Robotics OBT,,
08:05-08:20,CDR,Work Prep,,
08:15-08:25,FE-5,ISS - HAM Radio Activation,,
08:15-10:45,FE-6,IFM. Overhead Cleaning,,
08:20-08:40,CDR,ON MCC GO Purging Elektron-VM Liquid Unit (БЖ) after Shutdown,,
08:25-09:20,FE-5,INSP3 - Preparation Steps and Hardware Activation,,
08:40-09:30,CDR,Download Pille Dosimeter Readings,,
09:20-09:25,FE-5,ISERV - Opening window shutters in the LAB,,
09:25-10:35,FE-5,CYGNUS. Cargo Pre-gather,,
09:30-10:00,CDR,"Checkout of РО-ПрК hatch pin switch (part 1). Tagup with specialists (S-band, VHF)",,
10:00-10:10,CDR,Camcorder setup to capture БД2 exercise,,
10:10-10:20,CDR,Activation of LF Data Receiver (БПИ НЧ) for Telemetry recording,,
10:20-11:20,CDR,"БД-2 Exercise, Day 4",,
10:45-11:30,FE-6,IFM. Crew Quarters Blanket Cover Installation,,
11:10-11:20,FE-5,Food Frequency Questionnaire,,
