0,1,2,3,4,5
GMT,CREW,ACTIVITY,,,
06:00-06:10,.,Morning inspection,,,
06:10-06:40,.,Post-sleep,,,
06:40-07:30,.,BREAKFAST,,,
07:55-08:00,FE-2,IMS file auto import/export,,,
07:55-08:00,FE-1,PLANTS-2. Payload status check,,,
08:15-10:00,FE-1,Weekly station cleaning,,,
08:15-11:15,"CDR, FE-2",Weekly station cleaning,,,
10:00-10:30,FE-1,"TV session. Private family conference (To=10.03; Т1,Т2,Т3 will beinitiated by the СПП - Automated Daily Timeline))",,,
10:30-11:15,FE-1,Weekly station cleaning,,,
11:15-11:20,FE-1,СП counter status calldown,,,
11:20-11:25,FE-1,СВО status calldown,,,
11:25-11:30,FE-1,Elektron VM system: monitoring air in gas-liquid mixture (ГЖС),,,
11:30-12:30,CDR,Physical exercise (TVIS),,,
11:30-12:30,FE-1,"Physical exercise (VELO + Load Trainer 1, day 3)",,,
11:30-12:00,FE-2,CMS – transfer Heart Rate Monitor files to the MEC computer,,,
12:00-12:20,CMS – delete Heart Rate Monitor files,,,,
12:30-13:30,.,LUNCH,,,
13:40-13:55,FE-2,Private psychological conference (S-band),,,
13:55-14:10,CDR,Private psychological conference (S-band),,,
14:15-15:15,FE-2,Physical exercise (TVIS),,,
14:30-15:10,CDR,Transfer TVIS/RED/CVIS data to the МЕС,,,
15:15-16:45,FE-2,Physical exercise (RED),,,
15:20-15:35,CDR,Private family conference (S-band),,,
15:50-16:30,FE-1,СОЖ maintenance,,,
16:45-18:15,FE-1,"Physical exercise (TVIS, day 3)",,,
16:45-18:15,CDR,Physical exercise (RED),,,
17:00-17:15,FE-2,Private family conference (S-band),,,
18:15-18:45,.,Daily plan review,,,
18:45-19:00,.,Daily planning conference (S-band),,,
19:00-19:30,.,Work prep,,,
19:30-20:00,.,DINNER,,,
20:00-20:30,.,Daily food prep,,,
20:30-21:30,.,Pre-sleep,,,
21:30-06:00,.,SLEEP,,,
GMT,CREW,ACTIVITY,,,
06:00-06:10,,Morning inspection,,,
06:10-06:40,Post-sleep,,,,
06:40-07:30,BREAKFAST,,,,
07:30-07:45,FE-1,Renal: urine collection (term),,,
,CDR,Renal: food log,,,
07:45-08:00,Renal: urine collection,,,,
07:50-07:55,FE-1,PLANTS-2. Payload status check,,,
07:55-08:10,FE-2,Renal: food log,,,
08:10-09:20,FE-1,Weekly station cleaning,,,
08:10-11:10,"CDR, FE-2",,,,
09:20-09:35,FE-1,Private psychological conference (VHF),,,
09:35-11:25,Weekly station cleaning,,,,
11:15-11:30,CDR,Renal: urine collection,,,
11:30-12:30,FE-1,"Physical exercise (TVIS, day 1)",,,
11:30-12:30,CDR,Physical exercise (CEVIS),,,
12:30-13:30,,LUNCH,,,
13:30-14:00,Weekly planning conference (S-band),,,,
14:00-14:15,ISS Program Office/ISS crew conference (S-band),,,,
14:15-14:30,CDR,Renal: urine collection,,,
14:15-14:20,FE-2,IMS file auto import/export,,,
14:40-15:00,FE-1,Gas analyzer ИК0501 O2 reading correction,,,
15:00-16:30,CDR,Physical exercise (RED),,,
15:30-16:30,FE-2,Physical exercise (CEVIS),,,
16:30-18:00,Physical exercise (RED),,,,
17:30-19:00,FE-1,"Physical exercise (TVIS, day 1)",,,
19:15-19:30,CDR,Renal: urine collection,,,
19:30-20:00,,DINNER,,,
20:00-20:30,Daily food prep,,,,
20:30-21:30,Pre-sleep,,,,
21:30-06:00,SLEEP,,,,
GMT,CREW,ACTIVITY,,,
06:00-06:10,.,Morning inspection,,,
06:10-06:40,FE-1,Post-sleep,,,
06:10-06:30,CDR,,,,
06:10-06:50,FE-2,Installation of acoustic dosimeters,,,
06:30-08:00,CDR,FOOT: CDR video ops,,,
06:40-07:30,FE-1,BREAKFAST,,,
06:50-07:10,FE-2,Post-sleep,,,
07:10-08:00,BREAKFAST,,,,
07:30-07:55,FE-1,Prep for work,,,
07:55-08:00,PLANTS-2: payload status check,,,,
08:00-08:15,.,Daily planning conference,,,
08:15-08:40,FE-2,Prep for work,,,
08:15-09:15,CDR,FOOT EMG calibration,,,
08:30-10:25,FE-1,PROFILAKTIKA: Load Trainer (НС-1) test,,,
08:40-09:20,FE-2,Maintenance of СОЖ,,,
09:15-10:15,CDR,BREAKFAST,,,
09:20-10:50,FE-2,Physical exercise (RED),,,
10:15-10:45,CDR,Prep for work,,,
