0,1,2,3,4,5,6
GMT,CREW,ACTIVITY,,,,
06:00-06:10,,Morning inspection,,,,
06:10-06:40,CDR,Post-sleep,,,,
06:10-06:30,FE-1,,,,,
06:30-06:40,FE-1,Hematocrit. Hematocrit test,,,,
06:40-06:50,CDR,,,,,
06:40-06:50,FE-1,Post-sleep,,,,
06:50-07:40,BREAKFAST,,,,,
06:50-06:55,CDR,Hematocrit. Stowage.,,,,
06:55-07:45,BREAKFAST,,,,,
07:40-08:10,FE-1,Work prep,,,,
07:45-08:10,CDR,,,,,
08:10-08:25,,Daily Planning Conference (S-band),,,,
08:25-09:55,CDR,Progress 355 transfers and IMS updates,,,,
08:25-10:25,FE-1,,,,,
09:55-10:40,CDR,БСПН S/W modification for ROKVISS experiment. Tagup withspecialists (S-band),,,,
10:25-10:40,FE-1,Video hardware setup for PFE imagery,,,,
10:40-11:20,CDR,Crew time for adaptation and ISS familiarization,,,,
10:40-12:10,FE-1,Periodic fitness evaluation -Nom Ops,,,,
11:20-11:50,CDR(assists),,,,,
11:50-12:10,CDR,Crew time for adaptation and ISS familiarization,,,,
12:10-13:40,FE-1,Physical Exercise (RED),,,,
,CDR,Physical Exercise (TVIS) Day 4,,,,
13:40-14:40,,LUNCH,,,,
14:40-15:20,CDR,Photo of space behind panel 425,,,,
14:40-14:55,FE-1,Stow video hardware used for PFE imaging,,,,
14:55-15:05,CWC audit,,,,,
15:05-16:05,Crew time for adaptation and ISS familiarization,,,,,
15:20-15:50,CDR,СОЖ maintenance,,,,
16:05-16:15,FE-1,PAO hardware setup,,,,
16:15-16:25,,Crew prep for PAO,,,,
16:25-16:45,,PAO event (space.com and WKOV-TV) (Ku + S-band),,,,
16:45-16:55,FE-1,Post-PAO equipment stowage,,,,
16:45-17:45,CDR,"Physical exercise (VELO + Load Trainer/Cycle 1), day 4",,,,
16:55-17:00,FE-1,Monitoring O2 and CO2 readings,,,,
17:00-17:20,IMS update,,,,,
17:20-17:25,Closing LAB window shutters,,,,,
17:30-18:30,Physical Exercise (TVIS),,,,,
GMT,,CREW,,ACTIVITY,,
07:30-07:40,,,,Morning inspection,,
07:40-08:10,,,,Post-sleep,,
08:10-09:00,,,,BREAKFAST,,
09:00-09:15,,,,Daily Planning Conference (S-band),,
09:15-09:40,,,,Work prep,,
09:40-10:20,,CDR-13,,Electron activation Tagup with specialists (S-band),,
09:40-09:50,,"CDR-12, FE-13",,Terminate EMU Metox Regeneration,,
09:40-11:50,,FE-12,,Hardware stowage for return and disposal,,
,09:40-10:00,,SFP,,SMEK. Experiment 3 activation,
09:50-11:50,,"CDR-12, FE-13",,EMU sizing,,
,10:15-10:20,,SFP,,SMEK. Press key 2,
,10:35-10:55,,SFP,,SMEK. Experiment 3 activation,
10:50-11:30,,CDR-13,,Microbial sample collection,,
,10:55-11:35,,SFP,,DNA Repair Under Microgravity. Experiment setup.,
11:30-13:30,,CDR-13,,ETD. Experiment procedure review and ops. Tagup with specialists (S-band),,
,11:35-11:55,,SFP,,SEEDS. Photography of all kits,
11:50-12:50,,FE-13,,Physical Exercise (TVIS),,
11:50-12:45,,CDR-12,,Clearing crew personal items before Soyuz 217 departure,,
,11:55-12:15,,SFP,,GSM. Photography,
,12:15-12:35,,SFP,,SEEDS. Transfer photos to laptop,
,12:35-13:05,,SFP,,SEEDS. Hardware prepack for return,
12:45-13:45,,CDR-12,,Physical Exercise (RED),,
12:45-13:45,,FE-12,,"Physical exercise (TVIS), day -4",,
12:50-13:00,,FE-13,,Terminate charging of EMU battery,,
,13:05-13:15,,SFP,,DRM. Experiment start,
,13:30-13:40,,SFP,,CEM. Activation of cycle five,
13:40-13:45,,FE-13,,On MCC Go ISS O2 repress from Progress 355 СрПК (start),,
13:45-14:45,,.,,LUNCH,,
14:45-15:00,,CDR-13,,ANTIGEN. Dismantle BIOECOLOGY Container #13 and transfer to Soyuz,,
14:45-14:50,,FE-13,,ISS O2 repress from Progress 355 СрПК (terminate),,
14:45-15:30,,CDR-12,,Clearing crew personal items before Soyuz 217 departure,,
14:50-15:20,,FE-13,,СОЖ maintenance,,
15:00-15:15,,FE-12,,Private medical conference (Ku+S-band),,
15:00-15:15,,CDR-13,,SM air sampling using АК-1М sampler,,
,15:00-15:30,,SFP,,SMEK. Removal,
