0,1,2,3,4
GMT,,CREW,ACTIVITY,
01:20-01:30,,"CDR,FE-6",Morning Inspection,
01:20-01:25,,FE-1,Elektron-VM Aerosol Filter Inspection,
01:20-01:25,,FE-5,Bisphosphonates Pill Ingestion,
01:20-01:50,,FE-2,Post-sleep,
01:20-01:25,,FE-3,CDM Stow,
01:25-01:30,,FE-3,Morning Inspection,
01:25-01:30,,"FE-1,FE-5",Morning Inspection,
01:30-02:00,,"CDR,FE-1,FE-3,FE-5,FE-6",Post-sleep,
01:50-02:40,,FE-2,BREAKFAST,
02:00-02:50,,"CDR,FE-1,FE-3,FE-5,FE-6",BREAKFAST,
02:40-03:10,,FE-2,EVA Hygiene Break / Prebreathe /Hatch Closure,
02:50-03:20,,"CDR,FE-1,FE-3,FE-5,FE-6",Work Prep,
03:10-04:40,,"FE-2,MS1",Campout EVA Preparation,
03:20-03:25,,FE-5,VCA Relocation from Columbus to Node2,
03:20-03:25,,FE-6,HAM Radio Deactivation,
03:20-04:20,,FE-1,TVIS Digital Audio Recording to Troubleshoot Noise Source,
03:20-03:30,,CDR,JPM Lab and Cupola Window Shutter Close,
03:25-03:30,,FE-5,EVA Camera Test,
03:30-03:45,,FE-5,DOUG and IPV Laptop Setup,
03:30-03:35,,CDR,CUCU Inhibit,
03:35-05:05,,FE-6,Physical Exercise (ARED),
03:35-03:55,,FE-3,SM Ventilation System Preventive Maintenance. Group E,
03:40-04:00,,CDR,TVIS Digital Audio Recording to Troubleshoot Noise Source,
03:55-04:55,,FE-3,"Cleaning ventilation grilles on FGB interior panels (pnls. 201, 301, 401)",
04:00-04:30,,CDR,RESPIRATION. Experiment Setup,
04:00-05:00,,FE-5,Physical Exercise (CEVIS),
04:30-04:35,,CDR,IZGIB -DAKON Payload Status Check. Tagup with specialists asnecessary (S-band),
04:35-04:40,,CDR,MPC Power Up,
04:40-06:10,,FE-1,Physical Exercise T 2,
04:40-04:55,,"FE-2,MS1",EMU Purge,
04:55-05:45,,"FE-2,MS1",EMU Prebreathe Before EVA,
04:55-06:25,,FE-3,Cleaning ГЖТ4 (Gas-Liquid Heat Exchanger) ВТ-7 Fan Screen,
05:00-06:30,,FE-5,Physical Exercise (ARED),
05:00-06:20,,CDR,RESPIRATION Experiment Ops and Cleanup. Tagup with specialists (S-band),
05:05-06:05,,FE-6,Physical Exercise (CEVIS),
GMT,CREW,ACTIVITY,,
06:00-06:05,CDR,Elektron-VM Aerosol Filter Inspection,,
06:00-06:05,"FE-5, FE-6",REACTION Self Test,,
06:05-06:10,,Morning Inspection,,
06:10-06:40,,Post-sleep,,
06:40-07:30,,BREAKFAST,,
07:30-10:30,CDR,"Weekly Housekeeping SM Ventilation System Preventive Maintenance Group E, Cleaning FGB ЦВ2",,
07:30-10:30,"FE-5, FE-6",Weekly Housekeeping,,
10:30-10:40,FE-6,APXC Payload MELFI Insertion,,
10:30-11:30,FE-5,Physical Exercise Т 2,,
10:30-12:00,CDR,"Physical Exercise (TVIS), Day  4",,
11:30-12:30,FE-6,Physical Exercise Т 2,,
12:00-12:15,CDR,Private Family Conference (Ku+S-band),,
12:30-13:00,,Weekly Planning Conference (S-band),,
13:00-13:10,FE-5,USOS Window Shutter Close,,
13:00-13:05,FE-6,SSC File Server Reboot,,
13:00-13:40,CDR,СОЖ Maintenance,,
13:05-13:10,FE-6,OCA SSC Router Reboot,,
13:15-13:20,FE-6,File Server Reboot,,
13:45-14:00,,Daily Planning Conference (S-band),,
14:00-14:30,"FE-5, FE-6",Evening Work Prep,,
14:00-14:20,CDR,Evening Work Prep,,
14:20-14:25,CDR,Elektron-VM Aerosol Filter Inspection,,
14:25-14:30,CDR,Evening Work Prep,,
14:30-14:35,"FE-6, FE-5",REACTION Self Test,,
14:30-16:30,CDR,Pre-sleep,,
14:35-15:50,FE-5,Pre-sleep,,
14:35-16:30,FE-6,Pre-sleep,,
15:50-16:05,FE-5,Crew Discretionary Event (Ku+S-band),,
16:05-16:30,FE-5,Pre-sleep,,
16:30-01:00,,SLEEP,,
,,URAGAN. Observations and Photography,,
Task List,CDR,,,
,,ECON. Observations and Photography,,
GMT,,CREW,,ACTIVITY
00:20-00:25,,CDR,,Elektron-VM Aerosol Filter Inspection
00:20-00:30,,FE-1,,SONOCARD Experiment Termination
00:20-00:30,,"FE-2, FE-3",,Morning Inspection
00:20-00:25,,"FE-5, FE-6",,Reaction Crew Self Test
00:25-01:00,,FE-5,,Post-sleep
00:25-00:35,,CDR,,МО-8. Setup
00:30-00:40,,FE-1,,"Calf Volume Measurement. Calf Volume Measurement Kit (ИЗОГ) from kit94 (СМ1РО_2_MedLocker_cont3, b/c 00051905R)"
00:30-01:10,,FE-3,,Post-sleep
00:30-00:40,,FE-2,,Post-sleep
00:35-00:40,,CDR,,Body Mass Measurement
00:35-00:50,,FE-6,,Post-sleep
00:40-00:50,,CDR,,Calf Volume Measurement
00:40-00:45,,FE-1,,Body Mass Measurement
