0,1,2,3,4,5,6,7,8,9,10
Time,Crew,Activity/ Reference to procedures and r/g,,,,,,,,
09:10 - 11:10,"FE-1 ISS2, FE-2ISS2",Post-sleep activities,,,,,,,,
09:10 - 09:50,CDR ISS2,"Human parodont tissue (????????) research/? Epara.3.1, pp.3-1, 3-2",,,,,,,,
09:40 - 09:50,"CDR,FE-1,PILOT",Inspection of the station,,,,,,,,
09:50 - 10:20,"FE-1,PILOT",Post-sleep,,,,,,,,
09:50 - 10:05,CDR,Post-sleep,,,,,,,,
09:50 - 11:10,CDR ISS2,Post-sleep activities,,,,,,,,
10:10 - 10:20,CDR,Post-sleep,,,,,,,,
10:20 - 11:10,"CDR,FE-1,PILOT",Breakfast,,,,,,,,
11:10 - 11:25,.,Planning conference,,,,,,,,
11:25 - 11:50,FE-1,Prep for activities,,,,,,,,
11:25 - 12:05,CDR ISS2,Prep for activities,,,,,,,,
11:25 - 11:55,"CDR,PILOT,FE-1 ISS2",Prep for activities,,,,,,,,
11:50 - 11:55,FE-1,? ? ?   maintenance,,,,,,,,
11:55 - 12:00,FE-1,Download information from flush counter (???????? ? ? ),,,,,,,,
12:00 - 12:05,FE-1,Download information on water supply system (? ? ? ),,,,,,,,
11:55 - 12:15,CDR,Daily US payload status check,,,,,,,,
11:55 - 12:05,FE-2 ISS2,Check status of cargoes on middeck,,,,,,,,
11:55 - 12:55,FE-1 ISS2,EXERCISE,,,,,,,,
12:10 - 12:40,"PILOT,FE-2 ISS2",Sampling from internal low temperature loop,,,,,,,,
12:40 - 13:10,"FE-2 ISS2,PILOT",Sampling from internal low temperature loop,,,,,,,,
13:10 - 16:10,FE-1 ISS2,Remove and replace TVIS motor,,,,,,,,
13:10 - 13:25,PILOT,Mdreamtime - preparation,,,,,,,,
13:15 - 13:30,"CDR, CDR ISS2",Egress from MPLM,,,,,,,,
13:25 - 15:10,PILOT,Mdreamtime – documentary filming,,,,,,,,
13:30 - 13:50,"CDR, CDR ISS2",MPLM deactivation,,,,,,,,
13:40 - 15:10,FE-2 ISS2,EXERCISE,,,,,,,,
