0,1,2,3,4,5
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:25,CDR,Biochemical urine test,,,
,FE-1,Post-sleep,,,
06:25–06:40,CDR,,,,
,FE-1,Biochemical urine test,,,
06:40–06:50,UROLUX stowage,,,,
06:40–07:10,CDR,BREAKFAST,,,
06:50–07:40,FE-1,,,,
07:10–07:40,CDR,PLASMA CRYSTAL-3: video downlink,,,
07:40–08:10,,Prep for work,,,
08:10–08:25,Daily planning conference (S-band),,,,
08:25–09:05,FE-1,Maintenance of СОЖ,,,
08:25–08:40,CDR,Airflow sensors ИП-1: positioning check,,,
08:50–09:05,Video recording of fuel line purge,,,,
09:05–11:35,,Thermal Control System (СТР): removal of ЭНА electric pump unit from СПНreplaceable pump panel. Tagup w/ ground specialist (S-band),,,
11:35–11:45,FE-1,Transfer of TVIS/RED files to MEC,,,
11:45–13:00,Physical exercise (TVIS),,,,
11:55–12:00,CDR,Inspection of БРПК separator,,,
12:00–13:00,Physical exercise (VELO + Load Trainer-1 / day 4),,,,
13:00–14:00,,LUNCH,,,
14:00–16:00,Thermal Control System (СТР): removal of ЭНА electric pump unit from СПНreplaceable pump panel. Tagup w/ ground specialist (S-band),,,,
16:00–16:15,FE-1,Private medical conference (S-band),,,
16:00–16:10,CDR,On MCC GO: pressurization of ISS with O2 from Progress-247 СрПК system,,,
16:10–16:40,INTERACTIONS: questionnaire,,,,
16:25–16:55,FE-1,RED bolt maintenance,,,
16:40–16:55,CDR,Private medical conference (S-band),,,
16:55–18:25,Physical exercise (TVIS-4),,,,
16:55–17:10,FE-1,Routine inspection of RED,,,
17:10–18:25,Physical exercise (RED),,,,
18:25–18:50,,Daily plan review,,,
18:50–19:05,Daily planning conference (S-band),,,,
19:05–19:30,Prep for work,,,,
19:30–20:00,DINNER,,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
,GMT,,CREW,,ACTIVITY
,06:00-06:10,,,,Morning inspection
,06:10-06:35,,,Post-sleep,
,06:35-07:25,,CDR,,LUNCH
,06:35-07:15,,БИ-1,,
,07:15-07:25,,,PAO equipment setup,
,07:25-07:40,,,,Daily planning conference (S-band)
,07:40-09:40,,,TORU sim. Tagup with instructor (УКВ+S-band),
,09:40-09:50,,,Prep for media event,
,09:50-10:10,,,Meeting with the President and Science Minister of Germany tocommemorate 25th Anniversary of Z. Jen and V. Bykovski’s  flight(Ku+S-band),
,10:10-10:45,,FE-1,,Maintenance of СОЖ
,10:25-10:35,,CDR,,On MCC GO: ISS pressurization with O2 from Progress 259 СрПКsystem
,10:35-10:50,,,AQUARIUS-А. Equipment install and config,
,10:45-11:15,,FE-1,,PCS reload (раз в неделю)
,10:50-10:55,,CDR,,Calldown of СВО (water supply system) data
,10:55-11:00,,,Calldown of СП data,
,11:00-12:30,,,Physical Exercise (TVIS-3),
,11:15-11:20,,FE-1,,Automatic IMS file import/export
,11:30-12:45,,,Physical Exercise (RED),
,12:30-12:45,,CDR,,Regeneration of БМП absorbent bed #2 (end)
,12:45-13:00,,,,Daily planning conference (S-band)
,13:00-13:30,,,DINNER,
,13:30-14:00,,,Daily food prep,
,14:00-15:00,,,Pre-sleep,
,15:00-23:30,,,SLEEP,
GMT,CREW,ACTIVITY,,,
06:00-06:10,,Morning inspection,,,
06:10-06:40,Post-sleep,,,,
06:40-07:30,BREAKFAST,,,,
07:30-07:35,CDR,PLANTS-2. Payload status check,,,
09:20-09:25,FE -1,IMS auto import/export,,,
09:25-10:40,Physical exercise (TVIS),,,,
09:55-10:20,CDR,Maintenance of СОЖ,,,
10:20-10:25,ELECTRON-VM: monitoring free air in the gas/liquid mix,,,,
10:25-10:30,Calldown of СП counter status,,,,
10:30-10:35,Calldown of СВО water supply status,,,,
10:40-11:40,"Physical exercise (ВЕЛО+НС-1), day 4",,,,
11:40-12:40,,LUNCH,,,
12:40-12:55,CDR,Private family conference (S+Ku-band),,,
13:35-13:50,FE -1,Private psychological conference (S-band),,,
16:45-18:15,CDR,"Physical exercise (TVIS), day 4",,,
17:00-18:15,FE -1,Physical exercise (RED),,,
18:15-18:40,,Daily plan review,,,
18:40-18:55,Daily planning conference (S-band),,,,
19:00-19:30,Prep for work,,,,
19:30-20:00,DINNER,,,,
