0,1,2,3,4
GMT,,CREW,,ACTIVITY
06:00-06:10,,"CDR,FE-3",,Morning Inspection
06:00-06:05,,FE-5,,SLEEP Data Log for FE-5
06:00-06:05,,FE-2,,SLEEP Data Log for FE-2
06:00-06:05,,FE-1,,SLEEP Data Log for FE-1
06:00-06:05,,FE-4,,Pill Ingestion FE-4
06:05-06:15,,"FE-5,FE-2",,Morning Inspection
06:05-06:10,,FE-4,,SLEEP Data Log for FE-4
06:10-06:20,,"CDR,FE-3,FE-1",,Calf Volume Measurement
06:10-06:20,,FE-4,,Morning Inspection
06:15-06:45,,"FE-2,FE-5",,Post-sleep
06:20-06:50,,"CDR,FE-1,FE-4,FE-3",,Post-sleep
06:45-07:35,,"FE-2,FE-5",,BREAKFAST
06:50-07:40,,"CDR,FE-4,FE-3",,BREAKFAST
06:50-07:15,,FE-1,,BREAKFAST
07:15-07:20,,FE-1,,HAM Radio Setup
07:20-07:30,,FE-1,,HAM Radio Session
07:30-07:40,,FE-1,,BREAKFAST
07:40-08:00,,.,,Work Prep
08:05-08:30,,.,,Daily Planning Conference (S-band)
08:30-08:50,,FE-1,,LOCAD Hardware Setup
08:30-08:40,,FE-4,,ALTEA Dosimeter Activation
08:30-10:20,,CDR,,TYPOLOGY Experiment Ops (CDR). Tagup with specialists (S-band)
08:45-08:55,,FE-4,,PHS Evaluation Setup
08:50-09:00,,FE-1,,LOCAD Swab Ops With Video
08:50-09:50,,FE-2,,Physical Exercise (TVIS)
08:50-09:05,,FE-3,,TYPOLOGY Assisting CDR with the experiment
08:55-09:25,,FE-4,,Periodic Health Status - Subject
08:55-09:25,,FE-5,,Periodic Health Status - Assistance
09:00-09:10,,FE-1,,FCF Rack Doors Open
09:05-10:05,,FE-3,,Physical Exercise (ARED)
09:10-09:30,,FE-1,,FCF Bottle Removal
09:25-09:55,,FE-5,,Periodic Health Status - Subject
09:25-09:55,,FE-4,,Periodic Health Status - Assistance
09:30-09:35,,FE-1,,LOCAD Portable Test System (PTS) Data Recording Operations Phase2
09:35-09:45,,FE-1,,LOCAD Swab Ops With Video
09:45-10:00,,FE-1,,FCF Bottle Installation
09:50-11:20,,FE-2,,Physical Exercise (ARED)
09:55-10:35,,FE-4,,Periodic Health Status (PHS) Data Entry and Hardware Stow
09:55-10:00,,FE-5,,Printing out images of missing equipment
GMT,CREW,ACTIVITY,,
06:00-06:10,"CDR, FE-3",Morning Inspection,,
06:00-06:05,"FE-1, FE-2,FE-4, FE-5",SLEEP Data Log Entry,,
06:05-06:10,Morning Inspection,,,
06:10-06:40,,Post-sleep,,
06:40-07:30,BREAKFAST,,,
07:30-08:20,FE-1,Weekly Housekeeping,,
07:30-09:50,FE-2,,,
07:30-10:30,"CDR, FE-3","Weekly Housekeeping. Screen cleaning in ВПхО, ФС5, ФС6, ФС9, ВПрК,FGB ЦВ2 fan",,
07:30-10:30,FE-5,Weekly Housekeeping,,
07:30-08:20,FE-4,,,
08:20-09:20,FE-4,Physical Exercise (TVIS),,
08:50-10:20,FE-2,Physical Exercise (ARED),,
09:20-10:20,FE-1,Physical Exercise (TVIS),,
09:20-11:30,FE-4,Weekly Housekeeping,,
10:20-11:20,FE-2,Physical Exercise (CEVIS),,
10:20-11:50,FE-1,Physical Exercise (ARED),,
10:30-11:10,CDR,Candle Installation/Replacement in ТГК1 and ТГК2; Activation of two ТГК(SFOG),,
10:35-11:35,FE-5,Physical Exercise (TVIS),,
10:50-11:05,FE-3,Private Family Conference (Ku + S-band),,
11:20-11:50,FE-2,Weekly Housekeeping,,
11:35-13:05,FE-5,Physical Exercise (ARED),,
11:35-11:50,FE-4,Equipment Setup for BISE Experiment Video,,
11:35-12:35,CDR,"Physical Exercise (TVIS), day  2",,
11:50-12:20,FE-4,BISE Session,,
11:50-12:30,FE-2,VOLSCI Hardware Setup for the Experiment,,
12:05-13:05,FE-3,"Physical Exercise (VELO), day  1",,
12:30-13:05,FE-2,BISE Experiment OCHART Data Collection,,
12:35-13:05,CDR,Hygiene Procedures,,
12:50-13:05,FE-1,Waste & Hygiene Compartment (WHC) Cabin Removal,,
13:05-13:35,,Weekly Planning Conference (S-band),,
13:35-14:35,LUNCH,,,
14:35-15:15,FE-3,СОЖ Maintenance,,
14:35-14:40,CDR,SFOG (ТГК) Fan Deactivation,,
14:40-17:10,FE-2,SPHERES Session,,
14:40-18:10,FE-1,SPHERES Session,,
14:40-15:05,CDR,ТГК Candle Replacement and Activation of One ТГК (SFOG),,
14:50-15:05,FE-4,Private Psychological Conference (Ku + S-band),,
16:30-18:00,FE-4,Physical Exercise (ARED),,
GMT,CREW,ACTIVITY,,
06:00-06:05,"FE-1, FE-2,FE-4, FE-5",SLEEP Data Log Entry,,
06:00-06:10,"CDR, FE-3",Morning Inspection,,
06:05-06:10,"FE-1, FE-2,FE-4",Morning Inspection,,
06:05-06:15,FE-5,Morning Inspection,,
06:10-06:40,"CDR, FE-1,FE-2",Post-sleep,,
06:10-06:35,FE-4,Post-sleep,,
06:10-06:20,FE-3,МО-8. Setup,,
06:15-06:50,FE-5,Post-sleep,,
06:20-06:35,FE-3,Body Mass Measurement,,
06:35-06:50,FE-4,Body Mass Measurement,,
06:35-07:05,FE-3,Post-sleep,,
06:40-07:30,"CDR, FE-1,FE-2",BREAKFAST,,
06:50-07:45,FE-4,BREAKFAST,,
06:50-07:05,FE-5,Body Mass Measurement,,
07:05-07:15,FE-3,MO-8. Cleanup,,
07:05-07:45,FE-5,BREAKFAST,,
07:15-08:00,FE-3,BREAKFAST,,
07:30-07:50,"CDR, FE-1,FE-2",Work Prep,,
07:45-08:00,"FE-4, FE-5",Work Prep,,
07:50-08:00,CDR,"BAR. Terminate Kelvin Charging, Start Charging ТТМ",,
08:00-08:25,,Daily Planning Conference (S-band),,
08:25-08:45,FE-3,Work Prep,,
08:30-08:40,FE-5,CIR Align Guide Installation Prep,,
08:30-10:00,CDR,БРП-М Parameter Check. Tagup with Specialists (S-band),,
08:50-09:10,FE-4,EPO (PL) Demonstration Procedure Review,,
08:50-11:40,FE-3,"SM Ventilation System Preventive Maintenance  (ВТ1, ВТК1, ВТ2, ВТК2)",,
08:55-10:25,FE-1,Physical Exercise (ARED),,
09:10-09:25,FE-4,Educational Payload Ops (EPO) Camcorder Set Up,,
09:25-10:25,FE-2,Physical Exercise (CEVIS),,
09:25-09:50,"FE-4, FE-5",EPO P/L Demonstration,,
09:50-10:00,FE-4,Post-EPO Hardware Stow,,
10:10-11:10,FE-4,Physical Exercise (TVIS),,
10:25-11:25,FE-1,Physical Exercise (CEVIS),,
10:25-11:55,FE-2,Physical Exercise (ARED),,
11:10-12:10,CDR,"Physical Exercise (TVIS), day  2",,
GMT,,CREW,,ACTIVITY
06:00-06:10,,"CDR,FE-1,FE-3,FE-4,FE-5",,Morning Inspection
06:00-06:05,,FE-2,,SLEEP Data Log Entry
06:05-06:10,,FE-2,,Morning Inspection
06:10-06:40,,.,,Post-sleep
06:40-07:30,,,BREAKFAST,
08:10-08:30,,FE-5,,Crew Discretionary Conference (S-band)
08:30-09:30,,FE-5,,Physical Exercise (TVIS)
09:00-09:10,,FE-2,,Moon Photography Prep
09:45-10:00,,FE-2,,Moon Photography
09:30-10:30,,FE-4,,Physical Exercise (TVIS)
09:30-11:00,,FE-5,,Physical Exercise (ARED)
10:00-11:00,,FE-3,,"Physical Exercise (VELO), day 1"
10:20-11:20,,FE-2,,Physical Exercise (TVIS)
11:05-12:35,,FE-4,,Physical Exercise (ARED)
11:20-11:35,,FE-2,,Moon Photography
11:35-12:35,,CDR,,"Physical Exercise (TVIS), day 2"
11:35-11:50,,FE-2,,Moon Photography Closeout Ops
11:40-11:55,,FE-3,,Private Family Conference (S+Ku-band)
12:30-12:45,,FE-5,,Private Family Conference (S+Ku-band)
12:35-13:05,,CDR,,Hygiene Procedures
12:35-13:05,,"FE-1,FE-2,FE-4",,PMC Procedure Review
13:05-14:05,,.,,LUNCH
14:05-14:45,,CDR,,"СОЖ Maintenance. Flush Counter (СП), Water Supply System (СВО),POTOK Air Purification System Data Calldowns for SM and FGB"
14:15-14:30,,FE-2,,Private Family Conference (S+Ku-band)
14:55-15:10,,"CDR,FE-1",,Shuttle RPM Conference (S-band)
15:10-16:40,,FE-2,,Physical Exercise (ARED)
15:25-16:25,,FE-1,,Physical Exercise (CEVIS)
15:50-16:50,,FE-3,,"Physical Exercise (TVIS), day 1"
16:00-16:15,,FE-4,,Private Family Conference (S+Ku-band)
16:25-17:55,,FE-1,,Physical Exercise (ARED)
16:50-17:20,,FE-3,,Hygiene Procedures
17:20-17:45,,"CDR,FE-3",,"TV ISS-MCC, TELEPHONE (S-band) Greeting to the Pacific MeridiansFilm Festival in Vladivostok. (То= 17:20, Т1, Т2, Т3 activated fromDaily Flight Program [СПП])"
